state,district,year,dry_chillies_whole_year_yield_tonne_per_hectare
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Lalitpur,2004 - 2005,0.89
,,2005 - 2006,0.91
,,2006 - 2007,1.0
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Lucknow,2004 - 2005,0.94
,,2005 - 2006,0.91
,,2006 - 2007,0.95
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Maharajganj,2004 - 2005,0.92
,,2005 - 2006,0.92
,,2006 - 2007,0.96
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Mahoba,2004 - 2005,0.94
,,2005 - 2006,0.92
,,2006 - 2007,0.96
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Mainpuri,2004 - 2005,0.93
,,2005 - 2006,0.91
,,2006 - 2007,0.95
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Mathura,2004 - 2005,0.96
,,2005 - 2006,0.89
,,2006 - 2007,0.94
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Mau,2004 - 2005,0.86
,,2005 - 2006,1.0
,,2006 - 2007,1.0
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2016 - 2017,
,,2017 - 2018,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Meerut,2004 - 2005,0.94
,,2005 - 2006,0.91
,,2006 - 2007,0.95
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Mirzapur,2004 - 2005,0.94
,,2005 - 2006,0.91
,,2006 - 2007,0.95
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Moradabad,2004 - 2005,0.94
,,2005 - 2006,0.91
,,2006 - 2007,0.95
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Muzaffarnagar,2004 - 2005,0.94
,,2005 - 2006,0.92
,,2006 - 2007,0.95
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Pilibhit,2006 - 2007,1.0
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2022 - 2023,
,Pratapgarh,2004 - 2005,0.91
,,2005 - 2006,0.88
,,2006 - 2007,0.95
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Rae bareli,2004 - 2005,0.94
,,2005 - 2006,0.91
,,2006 - 2007,0.95
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Rampur,2004 - 2005,0.94
,,2005 - 2006,0.91
,,2006 - 2007,0.95
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Saharanpur,2004 - 2005,0.94
,,2005 - 2006,0.91
,,2006 - 2007,0.95
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Sambhal,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Sant kabeer nagar,2004 - 2005,0.93
,,2005 - 2006,0.92
,,2006 - 2007,0.95
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Sant ravidas nagar,2005 - 2006,1.0
,,2006 - 2007,1.0
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2012 - 2013,
,,2013 - 2014,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Shahjahanpur,2004 - 2005,0.94
,,2005 - 2006,0.91
,,2006 - 2007,0.96
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Shamli,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Shravasti,2004 - 2005,0.93
,,2005 - 2006,1.0
,,2006 - 2007,0.88
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2013 - 2014,
,,2014 - 2015,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Siddharth nagar,2004 - 2005,1.0
,,2005 - 2006,0.89
,,2006 - 2007,1.0
,,2007 - 2008,
,,2008 - 2009,
,Sitapur,2004 - 2005,0.94
,,2005 - 2006,0.91
,,2006 - 2007,0.95
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Sonbhadra,2004 - 2005,0.94
,,2005 - 2006,0.89
,,2006 - 2007,0.95
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Sultanpur,2004 - 2005,1.0
,,2005 - 2006,1.0
,,2006 - 2007,1.0
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Unnao,2004 - 2005,0.94
,,2005 - 2006,1.1
,,2006 - 2007,0.95
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
,Varanasi,2004 - 2005,0.94
,,2005 - 2006,0.91
,,2006 - 2007,0.95
,,2007 - 2008,
,,2008 - 2009,
,,2009 - 2010,
,,2010 - 2011,
,,2011 - 2012,
,,2012 - 2013,
,,2013 - 2014,
,,2014 - 2015,
,,2015 - 2016,
,,2016 - 2017,
,,2017 - 2018,
,,2018 - 2019,
,,2019 - 2020,
,,2020 - 2021,
,,2021 - 2022,
,,2022 - 2023,
Uttarakhand,Almora,2007 - 2008,
,Bageshwar,2007 - 2008,
,Chamoli,2007 - 2008,
,Champawat,2007 - 2008,
,Dehradun,2007 - 2008,
,Haridwar,2007 - 2008,
,Nainital,2007 - 2008,
,Pauri garhwal,2007 - 2008,
,Pithoragarh,2007 - 2008,
,Rudra prayag,2007 - 2008,
,Tehri garhwal,2007 - 2008,
,Uttar kashi,2007 - 2008,
West Bengal,paraganas north,2000 - 2001,1.14
,,2001 - 2002,1.43
,,2002 - 2003,
,,2003 - 2004,2.07
,,2004 - 2005,2.11
,,2005 - 2006,1.71
,,2006 - 2007,2.42
,,2007 - 2008,1.68
,,2008 - 2009,1.7
,paraganas south,2000 - 2001,0.52
,,2001 - 2002,0.62
,,2002 - 2003,
,,2003 - 2004,1.22
,,2004 - 2005,1.04
,,2005 - 2006,1.09
,,2006 - 2007,1.18
,,2007 - 2008,2.21
,,2008 - 2009,2.21
,Bankura,2000 - 2001,0.91
,,2001 - 2002,0.95
,,2002 - 2003,
,,2003 - 2004,1.08
,,2004 - 2005,0.96
,,2005 - 2006,1.22
,,2006 - 2007,1.08
,,2007 - 2008,1.08
,,2008 - 2009,1.09
,Birbhum,2000 - 2001,1.67
,,2001 - 2002,1.74
,,2002 - 2003,
,,2003 - 2004,0.64
,,2004 - 2005,0.64
,,2005 - 2006,0.52
,,2006 - 2007,0.67
,,2007 - 2008,0.94
,,2008 - 2009,1.47
,Coochbehar,2000 - 2001,1.08
,,2001 - 2002,1.14
,,2002 - 2003,
,,2003 - 2004,1.14
,,2004 - 2005,1.66
,,2005 - 2006,1.66
,,2006 - 2007,1.82
,,2007 - 2008,2.22
,,2008 - 2009,2.1
,Darjeeling,2000 - 2001,0.82
,,2001 - 2002,0.84
,,2002 - 2003,
,,2003 - 2004,0.85
,,2004 - 2005,0.85
,,2005 - 2006,0.85
,,2006 - 2007,0.85
,,2007 - 2008,2.19
,,2008 - 2009,1.05
,Dinajpur dakshin,2000 - 2001,0.65
,,2001 - 2002,0.65
,,2002 - 2003,
,,2003 - 2004,0.69
,,2004 - 2005,0.74
,,2005 - 2006,0.78
,,2006 - 2007,0.91
,,2007 - 2008,0.95
,,2008 - 2009,0.95
,Dinajpur uttar,2000 - 2001,0.57
,,2001 - 2002,0.59
,,2002 - 2003,
,,2003 - 2004,0.58
,,2004 - 2005,0.57
,,2005 - 2006,0.44
,,2006 - 2007,0.44
,,2007 - 2008,0.96
,,2008 - 2009,0.96
,Hooghly,2000 - 2001,0.7
,,2001 - 2002,0.74
,,2002 - 2003,
,,2003 - 2004,0.89
,,2004 - 2005,0.89
,,2005 - 2006,0.92
,,2006 - 2007,0.93
,,2007 - 2008,1.42
,,2008 - 2009,1.42
,Howrah,2000 - 2001,0.89
,,2001 - 2002,0.96
,,2002 - 2003,
,,2003 - 2004,1.08
,,2004 - 2005,0.94
,,2005 - 2006,0.89
,,2006 - 2007,1.31
,,2007 - 2008,1.19
,,2008 - 2009,1.02
,Jalpaiguri,2000 - 2001,0.92
,,2001 - 2002,0.93
,,2002 - 2003,
,,2003 - 2004,1.0
,,2004 - 2005,1.08
,,2005 - 2006,1.08
,,2006 - 2007,1.08
,,2007 - 2008,0.74
,,2008 - 2009,1.0
,Maldah,2000 - 2001,0.89
,,2001 - 2002,0.83
,,2002 - 2003,
,,2003 - 2004,0.84
,,2004 - 2005,0.81
,,2005 - 2006,0.87
,,2006 - 2007,0.88
,,2007 - 2008,1.09
,,2008 - 2009,1.09
,Medinipur east,2000 - 2001,0.83
,,2001 - 2002,0.83
,,2002 - 2003,
,,2003 - 2004,0.84
,,2004 - 2005,0.94
,,2005 - 2006,0.94
,,2006 - 2007,0.94
,,2007 - 2008,2.03
,,2008 - 2009,2.04
,Medinipur west,2000 - 2001,1.33
,,2001 - 2002,0.89
,,2002 - 2003,
,,2003 - 2004,0.84
,,2004 - 2005,0.98
,,2005 - 2006,0.87
,,2006 - 2007,1.02
,,2007 - 2008,1.11
,,2008 - 2009,1.09
,Murshidabad,2000 - 2001,1.33
,,2001 - 2002,1.45
,,2002 - 2003,
,,2003 - 2004,1.38
,,2004 - 2005,1.43
,,2005 - 2006,2.05
,,2006 - 2007,1.51
,,2007 - 2008,1.56
,,2008 - 2009,1.66
,Nadia,2000 - 2001,1.3
,,2001 - 2002,0.93
,,2002 - 2003,
,,2003 - 2004,1.09
,,2004 - 2005,1.06
,,2005 - 2006,1.13
,,2006 - 2007,1.01
,,2007 - 2008,1.65
,,2008 - 2009,1.64
,Purba bardhaman,2000 - 2001,1.12
,,2001 - 2002,1.06
,,2002 - 2003,
,,2003 - 2004,1.33
,,2004 - 2005,1.37
,,2005 - 2006,1.41
,,2006 - 2007,1.44
,,2007 - 2008,1.44
,,2008 - 2009,1.5
,Purulia,2000 - 2001,0.27
,,2001 - 2002,0.3
,,2002 - 2003,
,,2003 - 2004,0.43
,,2004 - 2005,0.63
,,2005 - 2006,0.56
,,2006 - 2007,0.58
,,2007 - 2008,1.71
,,2008 - 2009,1.71
