State,District,Year,Rice,,,,,,,,,,,,,,,,,
,,,Kharif,,,Autumn,,,Rabi,,,Summer,,,Winter,,,Whole Year,,
,,2017 - 2018,"13,315.00","29,356.93",2.2,,,,,,,,,,,,,,,
,,2018 - 2019,"12,955.00","43,644.66",3.37,,,,,,,,,,,,,,,
,,2019 - 2020,"12,966.00","27,350.00",2.11,,,,,,,,,,,,,,,
,,2020 - 2021,"12,976.00","36,939.67",2.85,,,,,,,,,,,,,,,
,11. Kupwara,2000 - 2001,"11,255.00","12,414.00",1.1,,,,,,,,,,,,,,,
,,2001 - 2002,"11,784.00","19,275.00",1.64,,,,,,,,,,,,,,,
,,2002 - 2003,"11,784.00","19,289.00",1.64,,,,,,,,,,,,,,,
,,2003 - 2004,"11,806.00","18,855.00",1.6,,,,,,,,,,,,,,,
,,2004 - 2005,"12,013.00","17,800.00",1.48,,,,,,,,,,,,,,,
,,2005 - 2006,"13,867.00","22,120.00",1.6,,,,,,,,,,,,,,,
,,2006 - 2007,"17,411.00","39,052.80",2.24,,,,,,,,,,,,,,,
,,2007 - 2008,"15,241.00","24,100.00",1.58,,,,,,,,,,,,,,,
,,2009 - 2010,"15,182.00","20,057.30",1.32,,,,,,,,,,,,,,,
,,2010 - 2011,"15,182.00","32,679.30",2.15,,,,,,,,,,,,,,,
,,2011 - 2012,"15,647.00","20,338.00",1.3,,,,,,,,,,,,,,,
,,2012 - 2013,"15,639.00","27,646.60",1.77,,,,,,,,,,,,,,,
,,2014 - 2015,"17,680.00","18,307.00",1.04,,,,,,,,,,,,,,,
,,2015 - 2016,"17,599.00","66,244.00",3.76,,,,,,,,,,,,,,,
,,2016 - 2017,"17,403.00","46,568.00",2.68,,,,,,,,,,,,,,,
,,2017 - 2018,"17,423.00","40,787.33",2.34,,,,,,,,,,,,,,,
,,2018 - 2019,"17,166.00","37,171.33",2.17,,,,,,,,,,,,,,,
,,2019 - 2020,"17,505.00","38,896.00",2.22,,,,,,,,,,,,,,,
,,2020 - 2021,"17,450.00","32,315.27",1.85,,,,,,,,,,,,,,,
,12. Poonch,2000 - 2001,"3,598.00","6,273.70",1.74,,,,,,,,,,,,,,,
,,2001 - 2002,"3,462.00","5,412.00",1.56,,,,,,,,,,,,,,,
,,2002 - 2003,"3,440.00","5,126.00",1.49,,,,,,,,,,,,,,,
,,2003 - 2004,"3,213.00","5,319.00",1.66,,,,,,,,,,,,,,,
,,2004 - 2005,"3,562.00","5,225.00",1.47,,,,,,,,,,,,,,,
,,2005 - 2006,"3,584.00","5,367.00",1.5,,,,,,,,,,,,,,,
,,2006 - 2007,"3,614.00","5,729.50",1.59,,,,,,,,,,,,,,,
,,2007 - 2008,"3,669.00","6,680.00",1.82,,,,,,,,,,,,,,,
,,2009 - 2010,"3,641.00","4,686.60",1.29,,,,,,,,,,,,,,,
,,2010 - 2011,"3,682.00","3,230.00",0.88,,,,,,,,,,,,,,,
,,2011 - 2012,"3,592.00","3,543.30",0.99,,,,,,,,,,,,,,,
,,2012 - 2013,"3,621.00","3,802.00",1.05,,,,,,,,,,,,,,,
,,2014 - 2015,"3,349.00","4,346.00",1.3,,,,,,,,,,,,,,,
,,2015 - 2016,"3,342.00","5,007.30",1.5,,,,,,,,,,,,,,,
,,2016 - 2017,"2,859.00","4,174.00",1.46,,,,,,,,,,,,,,,
,,2017 - 2018,"2,828.00","6,839.93",2.42,,,,,,,,,,,,,,,
,,2018 - 2019,"2,796.00","5,664.00",2.03,,,,,,,,,,,,,,,
,,2019 - 2020,"2,935.00","5,130.00",1.75,,,,,,,,,,,,,,,
,,2020 - 2021,"2,905.00","5,653.07",1.95,,,,,,,,,,,,,,,
,13. Pulwama,2000 - 2001,"23,330.00","29,299.70",1.26,,,,,,,,,,,,,,,
,,2001 - 2002,"22,359.00","42,734.00",1.91,,,,,,,,,,,,,,,
,,2002 - 2003,"22,328.00","38,470.00",1.72,,,,,,,,,,,,,,,
,,2003 - 2004,"25,017.00","50,737.00",2.03,,,,,,,,,,,,,,,
,,2004 - 2005,"23,029.00","60,261.00",2.62,,,,,,,,,,,,,,,
,,2005 - 2006,"22,864.00","59,487.00",2.6,,,,,,,,,,,,,,,
,,2006 - 2007,"18,288.00","51,285.60",2.8,,,,,,,,,,,,,,,
,,2007 - 2008,"16,734.00","46,067.00",2.75,,,,,,,,,,,,,,,
,,2009 - 2010,"16,408.00","32,964.00",2.01,,,,,,,,,,,,,,,
,,2010 - 2011,"16,409.00","30,472.60",1.86,,,,,,,,,,,,,,,
,,2011 - 2012,"16,576.00","42,664.00",2.57,,,,,,,,,,,,,,,
,,2012 - 2013,"16,567.00","48,553.30",2.93,,,,,,,,,,,,,,,
,,2014 - 2015,"16,100.00","6,603.00",0.41,,,,,,,,,,,,,,,
,,2015 - 2016,"12,983.00","34,130.00",2.63,,,,,,,,,,,,,,,
,,2016 - 2017,"14,237.00","38,807.30",2.73,,,,,,,,,,,,,,,
,,2017 - 2018,"12,014.00","20,756.33",1.73,,,,,,,,,,,,,,,
,,2018 - 2019,"12,360.00","28,103.33",2.27,,,,,,,,,,,,,,,
,,2019 - 2020,"11,889.00","32,205.33",2.71,,,,,,,,,,,,,,,
,,2020 - 2021,"11,649.00","27,626.67",2.37,,,,,,,,,,,,,,,
,14. Rajauri,2000 - 2001,"6,418.00","8,476.20",1.32,,,,,,,,,,,,,,,
,,2001 - 2002,"5,609.00","10,692.00",1.91,,,,,,,,,,,,,,,
,,2002 - 2003,"6,100.00","11,647.00",1.91,,,,,,,,,,,,,,,
,,2003 - 2004,"8,493.00","14,603.00",1.72,,,,,,,,,,,,,,,
,,2004 - 2005,"5,719.00","10,231.00",1.79,,,,,,,,,,,,,,,
,,2005 - 2006,"6,759.00","12,587.00",1.86,,,,,,,,,,,,,,,
,,2006 - 2007,"5,661.00","9,358.00",1.65,,,,,,,,,,,,,,,
,,2007 - 2008,"15,684.00","24,853.00",1.58,,,,,,,,,,,,,,,
,,2009 - 2010,"5,313.00","8,094.00",1.52,,,,,,,,,,,,,,,
,,2010 - 2011,"5,454.00","7,724.60",1.42,,,,,,,,,,,,,,,
,,2011 - 2012,"5,291.00","6,332.60",1.2,,,,,,,,,,,,,,,
,,2012 - 2013,"4,991.00","7,182.60",1.44,,,,,,,,,,,,,,,
,,2014 - 2015,"5,035.00","4,059.00",0.81,,,,,,,,,,,,,,,
,,2015 - 2016,"9,135.00","10,251.30",1.12,,,,,,,,,,,,,,,
,,2016 - 2017,"4,410.00","4,519.30",1.02,,,,,,,,,,,,,,,
,,2017 - 2018,"4,402.00","7,674.27",1.74,,,,,,,,,,,,,,,
,,2018 - 2019,"4,812.00","8,390.66",1.74,,,,,,,,,,,,,,,
,,2019 - 2020,"4,689.00","5,851.33",1.25,,,,,,,,,,,,,,,
,,2020 - 2021,"4,813.00","6,460.13",1.34,,,,,,,,,,,,,,,
,15. Ramban,2007 - 2008,"1,261.00","1,187.00",0.94,,,,,,,,,,,,,,,
,,2009 - 2010,"1,261.00","1,880.60",1.49,,,,,,,,,,,,,,,
,,2010 - 2011,"1,366.00","2,210.00",1.62,,,,,,,,,,,,,,,
,,2011 - 2012,"1,386.00","4,553.30",3.29,,,,,,,,,,,,,,,
,,2012 - 2013,"1,386.00","3,003.30",2.17,,,,,,,,,,,,,,,
,,2014 - 2015,"1,173.00",546,0.47,,,,,,,,,,,,,,,
,,2015 - 2016,"6,043.00","9,775.30",1.62,,,,,,,,,,,,,,,
,,2016 - 2017,"5,280.00","6,674.00",1.26,,,,,,,,,,,,,,,
,,2017 - 2018,"1,217.00","1,117.47",0.92,,,,,,,,,,,,,,,
,,2018 - 2019,984,"1,350.00",1.37,,,,,,,,,,,,,,,
,,2019 - 2020,"3,301.00","2,234.00",0.68,,,,,,,,,,,,,,,
,,2020 - 2021,"3,302.00","3,354.13",1.02,,,,,,,,,,,,,,,
,16. Reasi,2007 - 2008,"1,721.00","2,027.00",1.18,,,,,,,,,,,,,,,
,,2009 - 2010,"1,625.00","1,548.60",0.95,,,,,,,,,,,,,,,
,,2010 - 2011,"3,691.00","3,560.60",0.96,,,,,,,,,,,,,,,
,,2011 - 2012,"1,451.00","1,441.30",0.99,,,,,,,,,,,,,,,
,,2012 - 2013,"1,452.00","1,756.00",1.21,,,,,,,,,,,,,,,
,,2014 - 2015,"4,454.00","2,851.00",0.64,,,,,,,,,,,,,,,
,,2015 - 2016,699,482,0.69,,,,,,,,,,,,,,,
,,2016 - 2017,"1,126.00","1,510.00",1.34,,,,,,,,,,,,,,,
,,2017 - 2018,"1,122.00","1,846.93",1.65,,,,,,,,,,,,,,,
,,2018 - 2019,836,"1,376.00",1.65,,,,,,,,,,,,,,,
,,2019 - 2020,"5,824.00","9,297.33",1.6,,,,,,,,,,,,,,,
,,2020 - 2021,964,"1,816.07",1.88,,,,,,,,,,,,,,,
,17. Samba,2007 - 2008,"11,236.00","20,800.00",1.85,,,,,,,,,,,,,,,
,,2009 - 2010,"11,387.00","7,529.30",0.66,,,,,,,,,,,,,,,
,,2010 - 2011,"11,070.00","19,543.30",1.77,,,,,,,,,,,,,,,
,,2011 - 2012,"10,851.00","20,344.60",1.87,,,,,,,,,,,,,,,
,,2012 - 2013,"10,859.00","20,910.00",1.93,,,,,,,,,,,,,,,
,,2014 - 2015,"9,123.00","15,145.00",1.66,,,,,,,,,,,,,,,
,,2015 - 2016,"16,994.00","26,839.30",1.58,,,,,,,,,,,,,,,
,,2016 - 2017,"19,328.00","29,968.00",1.55,,,,,,,,,,,,,,,
,,2017 - 2018,"18,905.00","33,182.47",1.76,,,,,,,,,,,,,,,
,,2018 - 2019,"18,968.00","32,574.66",1.72,,,,,,,,,,,,,,,
,,2019 - 2020,"18,881.00","27,627.33",1.46,,,,,,,,,,,,,,,
,,2020 - 2021,"19,153.00","28,184.60",1.47,,,,,,,,,,,,,,,
,18. Shopian,2007 - 2008,556,"1,533.00",2.76,,,,,,,,,,,,,,,
,,2009 - 2010,556,"1,738.60",3.13,,,,,,,,,,,,,,,
,,2010 - 2011,556,"1,282.00",2.31,,,,,,,,,,,,,,,
,,2011 - 2012,556,"1,838.60",3.31,,,,,,,,,,,,,,,
,,2012 - 2013,556,"1,598.00",2.87,,,,,,,,,,,,,,,
,,2015 - 2016,348,"1,134.60",3.26,,,,,,,,,,,,,,,
,,2016 - 2017,307,"1,000.60",3.26,,,,,,,,,,,,,,,
,,2017 - 2018,307,"1,049.93",3.42,,,,,,,,,,,,,,,
,,2018 - 2019,307,"1,096.66",3.57,,,,,,,,,,,,,,,
,,2019 - 2020,246,661.33,2.69,,,,,,,,,,,,,,,
,,2020 - 2021,246,629.07,2.56,,,,,,,,,,,,,,,
,19. Srinagar,2000 - 2001,"12,022.00","30,701.30",2.55,,,,,,,,,,,,,,,
,,2001 - 2002,"12,022.00","26,550.00",2.21,,,,,,,,,,,,,,,
,,2002 - 2003,"10,346.00","24,421.00",2.36,,,,,,,,,,,,,,,
,,2003 - 2004,"12,022.00","32,797.00",2.73,,,,,,,,,,,,,,,
,,2004 - 2005,"11,736.00","31,402.00",2.68,,,,,,,,,,,,,,,
,,2005 - 2006,"11,736.00","35,813.00",3.05,,,,,,,,,,,,,,,
,,2006 - 2007,"10,282.00","32,856.40",3.2,,,,,,,,,,,,,,,
,,2007 - 2008,"2,100.00","5,607.00",2.67,,,,,,,,,,,,,,,
,,2009 - 2010,"2,441.00","6,349.33",2.6,,,,,,,,,,,,,,,
,,2010 - 2011,"2,389.00","5,023.30",2.1,,,,,,,,,,,,,,,
,,2011 - 2012,"3,757.00","10,076.60",2.68,,,,,,,,,,,,,,,
,,2012 - 2013,"3,709.00","3,794.60",1.02,,,,,,,,,,,,,,,
,,2014 - 2015,"3,977.00","11,779.00",2.96,,,,,,,,,,,,,,,
,,2015 - 2016,"2,905.00","7,103.30",2.45,,,,,,,,,,,,,,,
,,2016 - 2017,"2,904.00","7,647.30",2.63,,,,,,,,,,,,,,,
,,2017 - 2018,"2,902.00","7,240.80",2.5,,,,,,,,,,,,,,,
,,2018 - 2019,"2,903.00","7,387.33",2.54,,,,,,,,,,,,,,,
,,2019 - 2020,"2,903.00","6,651.33",2.29,,,,,,,,,,,,,,,
,,2020 - 2021,"4,099.00","10,479.80",2.56,,,,,,,,,,,,,,,
,20. Udhampur,2000 - 2001,"9,801.00","14,683.20",1.5,,,,,,,,,,,,,,,
,,2001 - 2002,"9,880.00","11,272.00",1.14,,,,,,,,,,,,,,,
,,2002 - 2003,"5,856.00","6,187.00",1.06,,,,,,,,,,,,,,,
,,2003 - 2004,"9,540.00","10,338.00",1.08,,,,,,,,,,,,,,,
,,2004 - 2005,"10,307.00","12,100.00",1.17,,,,,,,,,,,,,,,
,,2005 - 2006,"13,319.00","15,120.00",1.14,,,,,,,,,,,,,,,
,,2006 - 2007,"10,110.00","10,085.00",1,,,,,,,,,,,,,,,
,,2007 - 2008,"8,649.00","10,180.00",1.18,,,,,,,,,,,,,,,
,,2009 - 2010,"7,336.00","5,478.00",0.75,,,,,,,,,,,,,,,
,,2010 - 2011,"7,406.00","9,012.60",1.22,,,,,,,,,,,,,,,
,,2011 - 2012,"9,247.00","11,746.60",1.27,,,,,,,,,,,,,,,
,,2012 - 2013,"7,201.00","8,254.60",1.15,,,,,,,,,,,,,,,
,,2014 - 2015,"6,604.00","6,737.00",1.02,,,,,,,,,,,,,,,
,,2015 - 2016,"6,296.00","9,340.60",1.48,,,,,,,,,,,,,,,
,,2016 - 2017,"8,325.00","10,673.30",1.28,,,,,,,,,,,,,,,
,,2017 - 2018,"8,325.00","14,571.93",1.75,,,,,,,,,,,,,,,
,,2018 - 2019,"6,685.00","9,663.33",1.45,,,,,,,,,,,,,,,
,,2019 - 2020,"29,743.00","34,078.00",1.15,,,,,,,,,,,,,,,
,,2020 - 2021,"7,206.00","9,663.00",1.34,,,,,,,,,,,,,,,
16. Jharkhand,1. Bokaro,2002 - 2003,,,,,,,,,,,,,"31,891.35","22,642.85",0.71,,,
,,2003 - 2004,,,,,,,,,,,,,"31,904.26","29,990.01",0.94,,,
,,2004 - 2005,,,,,,,,,,,,,"16,103.97","10,897.03",0.68,,,
,,2005 - 2006,,,,,,,,,,,,,"16,243.80","5,403.77",0.33,,,
,,2006 - 2007,,,,547.09,470.67,0.86,,,,,,,305.95,226,0.74,,,
,,2007 - 2008,,,,"1,363.19","1,060.67",0.78,,,,,,,"35,616.41","43,832.00",1.23,,,
,,2008 - 2009,,,,"4,888.61","4,628.00",0.95,,,,,,,"36,863.74","33,792.00",0.92,,,
,,2009 - 2010,,,,"4,880.00","3,312.00",0.68,,,,,,,"20,763.00","8,790.00",0.42,,,
,,2011 - 2012,,,,"1,602.00","1,456.00",0.91,,,,,,,"33,111.00","52,404.00",1.58,,,
,,2012 - 2013,,,,388,476.66,1.23,,,,,,,"30,042.00","54,216.00",1.8,,,
,,2013 - 2014,,,,460,511.33,1.11,,,,,,,"28,008.00","59,994.66",2.14,,,
,,2014 - 2015,,,,432,575.33,1.33,,,,,,,"28,194.00","48,494.00",1.72,,,
,,2015 - 2016,,,,233,246.66,1.06,,,,,,,"23,362.00","15,200.66",0.65,,,
,,2016 - 2017,,,,193,132.66,0.69,,,,,,,"33,001.00","47,257.33",1.43,,,
,,2017 - 2018,"33,958.00","90,554.00",2.67,,,,,,,,,,,,,,,
,,2018 - 2019,"20,245.00","20,245.00",1,,,,,,,,,,,,,,,
,,2019 - 2020,"15,926.00","39,815.00",2.5,,,,,,,,,,,,,,,
,,2020 - 2021,"33,659.00","1,14,441.00",3.4,,,,,,,,,,,,,,,
,,2021 - 2022,"31,367.00","1,03,511.00",3.3,,,,,,,,,,,,,,,
,,2022 - 2023,"18,193.00","36,386.00",2,,,,"11,341.00","22,682.00",2,,,,,,,,,
,2. Chatra,2002 - 2003,,,,,,,,,,,,,"27,827.15","34,283.05",1.23,,,
,,2003 - 2004,,,,,,,,,,,,,"25,537.40","27,359.67",1.07,,,
,,2004 - 2005,,,,,,,,,,,,,"22,058.68","7,867.59",0.36,,,
,,2005 - 2006,,,,,,,,,,,,,"14,629.77","4,954.61",0.34,,,
,,2006 - 2007,,,,"2,738.22","2,354.67",0.86,,,,,,,"18,560.23","22,185.33",1.2,,,
,,2007 - 2008,,,,"2,210.49","2,041.33",0.92,,,,,,,"19,476.96","21,801.33",1.12,,,
,,2008 - 2009,,,,"2,065.37","1,882.00",0.91,,,,,,,"18,594.72","11,218.66",0.6,,,
,,2009 - 2010,,,,"2,060.00","1,045.33",0.51,,,,,,,"14,965.00","2,324.66",0.16,,,
,,2011 - 2012,,,,"1,531.00","1,282.00",0.84,,,,,,,"20,874.00","28,889.33",1.38,,,
,,2012 - 2013,,,,643,713.33,1.11,,,,,,,"18,591.00","27,836.66",1.5,,,
,,2013 - 2014,,,,326,262.66,0.81,,,,,,,"17,878.00","30,404.66",1.7,,,
,,2014 - 2015,,,,,,,,,,,,,"16,047.00","28,082.00",1.75,,,
,,2015 - 2016,,,,,,,,,,,,,"36,080.00","24,558.66",0.68,,,
,,2016 - 2017,,,,,,,,,,,,,"20,492.00","51,270.66",2.5,,,
,,2017 - 2018,"36,170.00","96,453.00",2.67,,,,,,,,,,,,,,,
,,2018 - 2019,"31,698.00","57,056.00",1.8,,,,,,,,,,,,,,,
,,2019 - 2020,"29,523.00","98,902.00",3.35,,,,,,,,,,,,,,,
,,2020 - 2021,"35,990.00","1,20,567.00",3.35,,,,,,,,,,,,,,,
,,2021 - 2022,"36,408.00","1,21,967.00",3.35,,,,,,,,,,,,,,,
,,2022 - 2023,"5,406.00","18,110.00",3.35,,,,"5,960.00","18,774.00",3.15,,,,,,,,,
,3. Deoghar,2002 - 2003,,,,"1,955.12","1,772.64",0.91,,,,,,,"65,362.28","79,750.50",1.22,,,
,,2003 - 2004,,,,"4,794.94","4,593.55",0.96,,,,,,,"51,821.80","51,234.49",0.99,,,
,,2004 - 2005,,,,"2,523.42","1,963.22",0.78,,,,,,,"45,340.94","58,610.72",1.29,,,
,,2005 - 2006,,,,"1,361.46",234.17,0.17,,,,,,,"42,757.54","8,209.45",0.19,,,
,,2006 - 2007,,,,"1,621.25","1,553.33",0.96,,,,,,,"46,232.26","86,238.67",1.87,,,
,,2007 - 2008,,,,"1,754.25","2,284.00",1.3,,,,,,,"46,093.35","85,272.67",1.85,,,
,,2008 - 2009,,,,"1,723.75","1,266.66",0.73,,,,,,,"41,625.43","60,634.66",1.46,,,
,,2009 - 2010,,,,"1,596.00",770.66,0.48,,,,,,,"32,411.00","15,644.00",0.48,,,
,,2011 - 2012,,,,611,749.33,1.23,,,,,,,"29,639.00","56,709.33",1.91,,,
,,2012 - 2013,,,,100,42.66,0.43,,,,,,,"27,675.00","18,284.00",0.66,,,
,,2013 - 2014,,,,"1,571.00","1,240.00",0.79,,,,,,,"29,989.00","36,666.66",1.22,,,
,,2014 - 2015,,,,239,328,1.37,,,,,,,"35,797.00","44,603.33",1.25,,,
,,2015 - 2016,,,,205,70,0.34,,,,,,,"31,731.00","27,542.66",0.87,,,
,,2016 - 2017,,,,224,246.66,1.1,,,,,,,"36,740.00","92,290.66",2.51,,,
,,2017 - 2018,"51,076.00","1,39,608.00",2.73,,,,,,,,,,,,,,,
,,2018 - 2019,"34,744.00","61,184.00",1.76,,,,,,,,,,,,,,,
,,2019 - 2020,"33,522.00","1,25,708.00",3.75,,,,,,,,,,,,,,,
,,2020 - 2021,"51,103.00","1,91,636.00",3.75,,,,,,,,,,,,,,,
,,2021 - 2022,"51,274.00","1,99,969.00",3.9,,,,,,,,,,,,,,,
,,2022 - 2023,"10,329.00","40,283.00",3.9,,,,"34,089.00","1,32,947.00",3.9,,,,,,,,,
,4. Dhanbad,2002 - 2003,,,,,,,,,,,,,"21,245.00","22,024.03",1.04,,,
,,2003 - 2004,,,,,,,,,,,,,"29,170.02","44,066.18",1.51,,,
,,2004 - 2005,,,,,,,,,,,,,"29,158.22","32,287.87",1.11,,,
,,2005 - 2006,,,,,,,,,,,,,"16,996.32","12,667.93",0.75,,,
,,2006 - 2007,,,,2.78,2.67,0.96,,,,,,,"19,596.01","34,632.67",1.77,,,
,,2007 - 2008,,,,,,,,,,,,,"23,172.81","38,698.67",1.67,,,
,,2008 - 2009,,,,,,,,,,,,,"20,628.97","33,941.33",1.65,,,
,,2009 - 2010,,,,,,,,,,,,,"8,785.00","7,280.00",0.83,,,
,,2011 - 2012,,,,,,,,,,,,,"8,939.00","20,750.66",2.32,,,
,,2012 - 2013,,,,,,,,,,,,,"13,141.00","9,969.33",0.76,,,
,,2013 - 2014,,,,,,,,,,,,,"12,702.00","19,848.66",1.56,,,
,,2014 - 2015,,,,,,,,,,,,,"11,404.00","19,098.00",1.67,,,
,,2015 - 2016,,,,2,1.33,0.67,,,,,,,"7,356.00","5,482.66",0.75,,,
,,2016 - 2017,,,,,,,,,,,,,"9,374.00","16,242.00",1.73,,,
,,2017 - 2018,"42,070.00","83,580.00",1.99,,,,,,,,,,,,,,,
,,2018 - 2019,"35,495.00","35,282.00",0.99,,,,,,,,,,,,,,,
,,2019 - 2020,"31,781.00","90,131.00",2.84,,,,,,,,,,,,,,,
,,2020 - 2021,"42,154.00","1,11,287.00",2.64,,,,,,,,,,,,,,,
,,2021 - 2022,"42,155.00","1,15,926.00",2.75,,,,,,,,,,,,,,,
,,2022 - 2023,"2,461.00","3,815.00",1.55,,,,"7,130.00","18,895.00",2.65,,,,,,,,,
,5. Dumka,2002 - 2003,,,,"4,763.68","6,347.45",1.33,,,,,,,"75,492.94","1,08,055.60",1.43,,,
,,2003 - 2004,,,,"8,310.89","7,175.07",0.86,,,,,,,"74,874.82","89,051.12",1.19,,,
,,2004 - 2005,,,,"3,159.57","3,096.38",0.98,,,,,,,"64,976.73","98,201.50",1.51,,,
,,2005 - 2006,,,,"2,965.40","3,843.16",1.3,,,,,,,"69,111.70","68,282.36",0.99,,,
,,2006 - 2007,,,,"3,012.14","3,154.67",1.05,,,,,,,"56,210.70","71,950.00",1.28,,,
,,2007 - 2008,,,,"3,428.10","3,455.33",1.01,,,,,,,"55,701.19","75,344.67",1.35,,,
,,2008 - 2009,,,,"4,806.35","4,883.33",1.02,,,,,,,"56,266.84","78,436.00",1.39,,,
,,2009 - 2010,,,,"3,053.00",893.33,0.29,,,,,,,"61,328.00","44,728.66",0.73,,,
,,2011 - 2012,,,,"5,928.00","3,035.33",0.51,,,,,,,"44,647.00","71,554.00",1.6,,,
,,2012 - 2013,,,,"5,888.00",765.33,0.13,,,,,,,"59,960.00","1,07,768.00",1.8,,,
,,2013 - 2014,,,,"4,542.00","4,184.66",0.92,,,,,,,"59,207.00","83,284.66",1.41,,,
,,2014 - 2015,,,,"4,567.00","4,704.00",1.03,,,,,,,"59,923.00","77,620.00",1.3,,,
,,2015 - 2016,,,,"5,382.00","3,060.66",0.57,,,,,,,"54,020.00","25,317.33",0.47,,,
,,2016 - 2017,,,,"5,504.00","5,999.33",1.09,,,,,,,"56,745.00","1,68,759.33",2.97,,,
,,2017 - 2018,"1,09,874.00","2,30,730.00",2.1,,,,,,,,,,,,,,,
,,2018 - 2019,"98,124.00","2,13,420.00",2.18,,,,,,,,,,,,,,,
,,2019 - 2020,"93,715.00","2,70,836.00",2.89,,,,,,,,,,,,,,,
,,2020 - 2021,"1,07,287.00","2,84,311.00",2.65,,,,,,,,,,,,,,,
,,2021 - 2022,"1,12,593.00","2,25,186.00",2,,,,,,,,,,,,,,,
,,2022 - 2023,"5,262.00","10,524.00",2,,,,"11,238.00","25,286.00",2.25,,,,,,,,,
,6. East singhbum,2002 - 2003,,,,"2,525.35","1,870.44",0.74,,,,,,,"86,624.52","83,506.03",0.96,,,
,,2003 - 2004,,,,"2,07,599.95","1,58,468.00",0.76,,,,,,,"84,048.56","92,957.71",1.11,,,
,,2004 - 2005,,,,"2,370.03","2,528.32",1.07,,,,,,,"1,16,810.64","89,554.82",0.77,,,
,,2005 - 2006,,,,"2,278.47","1,127.08",0.49,,,,,,,"86,438.35","45,236.07",0.52,,,
,,2006 - 2007,,,,"2,449.49","1,986.00",0.81,,,,,,,"86,471.07","91,140.67",1.05,,,
,,2007 - 2008,,,,"2,458.62","1,866.67",0.76,,,,,,,"92,333.02","96,457.33",1.04,,,
,,2008 - 2009,,,,"1,996.72","1,650.66",0.83,,,,,,,"87,418.05","99,306.66",1.14,,,
,,2009 - 2010,,,,"2,206.00","1,680.66",0.76,,,,,,,"62,970.00","33,542.00",0.53,,,
,,2011 - 2012,,,,"1,772.00","1,432.66",0.81,,,,,,,"90,481.00","1,38,194.66",1.53,,,
,,2012 - 2013,,,,"1,691.00",946,0.56,,,,,,,"78,991.00","1,54,296.00",1.95,,,
,,2013 - 2014,,,,"1,018.00",674,0.66,,,,,,,"73,328.00","1,31,061.33",1.79,,,
,,2014 - 2015,,,,764,720.66,0.94,,,,,,,"74,922.00","1,43,550.66",1.92,,,
,,2015 - 2016,,,,691,522.66,0.76,,,,,,,"88,089.00","95,371.33",1.08,,,
,,2016 - 2017,,,,745,472.66,0.63,,,,,,,"56,382.00","81,566.00",1.45,,,
,,2017 - 2018,"1,07,800.00","2,20,560.00",2.05,,,,,,,,,,,,,,,
,,2018 - 2019,"1,01,200.00","2,77,288.00",2.74,,,,,,,,,,,,,,,
,,2019 - 2020,"78,100.00","2,49,920.00",3.2,,,,,,,,,,,,,,,
,,2020 - 2021,"1,01,200.00","3,64,320.00",3.6,,,,,,,,,,,,,,,
,,2021 - 2022,"1,08,075.00","3,78,263.00",3.5,,,,,,,,,,,,,,,
,,2022 - 2023,"77,908.00","2,80,469.00",3.6,,,,"78,183.00","1,95,458.00",2.5,,,,,,,,,
,7. Garhwa,2002 - 2003,,,,,,,,,,,,,"16,368.26","15,757.17",0.96,,,
,,2003 - 2004,,,,"12,032.50","9,642.05",0.8,,,,,,,"19,919.18","20,144.93",1.01,,,
,,2004 - 2005,,,,"6,381.61","3,075.94",0.48,,,,,,,"13,462.19","5,223.33",0.39,,,
,,2005 - 2006,,,,"4,781.84","1,801.16",0.38,,,,,,,"11,249.58","2,752.40",0.24,,,
,,2006 - 2007,,,,"4,851.82","3,716.67",0.77,,,,,,,"12,053.24","10,679.33",0.89,,,
,,2007 - 2008,,,,"4,713.97","2,068.00",0.44,,,,,,,"12,270.47","8,000.67",0.65,,,
,,2008 - 2009,,,,"4,599.43","2,278.00",0.5,,,,,,,"6,178.23","3,006.66",0.49,,,
,,2009 - 2010,,,,"4,580.00","1,480.66",0.32,,,,,,,"7,024.00","1,297.33",0.18,,,
,,2011 - 2012,,,,"8,109.00","8,649.33",1.07,,,,,,,"18,565.00","26,646.66",1.44,,,
,,2012 - 2013,,,,"8,749.00","6,100.66",0.7,,,,,,,"22,599.00","30,689.33",1.36,,,
,,2013 - 2014,,,,"5,361.00","5,600.66",1.04,,,,,,,"14,055.00","15,390.60",1.1,,,
,,2014 - 2015,,,,"1,914.00","1,810.66",0.95,,,,,,,"8,653.00","8,941.33",1.03,,,
,,2015 - 2016,,,,"2,706.00","1,122.00",0.41,,,,,,,"20,980.00","10,630.00",0.51,,,
,,2016 - 2017,,,,"1,981.00",994.66,0.5,,,,,,,"26,673.00","63,179.33",2.37,,,
,,2017 - 2018,"50,969.00","1,03,630.00",2.03,,,,,,,,,,,,,,,
,,2018 - 2019,"43,746.00","68,900.00",1.58,,,,,,,,,,,,,,,
,,2019 - 2020,"40,260.00","1,06,689.00",2.65,,,,,,,,,,,,,,,
,,2020 - 2021,"50,985.00","1,49,386.00",2.93,,,,,,,,,,,,,,,
,,2021 - 2022,"52,330.00","1,53,327.00",2.93,,,,,,,,,,,,,,,
,,2022 - 2023,"4,802.00","7,683.00",1.6,,,,"17,946.00","32,303.00",1.8,,,,,,,,,
