State,District,Year,Cotton(lint),,,,,,,,,,,
,,2012 - 2013,477,909,1.91,328,409,1.25,,,,,,
,,2013 - 2014,606,"1,795.00",2.96,354,653,1.84,,,,,,
,,2014 - 2015,"3,299.00","8,996.00",2.73,210,334,1.59,,,,350,663,1.89
,,2015 - 2016,"1,618.00","6,401.00",3.96,200,239,1.2,,,,2,4,2
,,2016 - 2017,794,"1,664.00",2.1,210,67,0.32,,,,,,
,,2017 - 2018,"1,389.00","4,859.00",3.5,143,108,0.76,,,,,,
,,2018 - 2019,"1,006.00","1,973.00",1.96,,,,,,,,,
,,2019 - 2020,"1,052.00","3,039.00",2.89,169,122,0.72,,,,,,
,,2020 - 2021,"2,433.00","6,998.00",2.88,242,144,0.6,,,,,,
,,2021 - 2022,"1,606.00","4,743.00",2.95,262,209,0.8,,,,,,
,,2022 - 2023,"2,536.00","8,280.00",3.26,209,188,0.9,,,,,,
,2. Bangalore rural,2013 - 2014,2,6,3,,,,,,,,,
,,2015 - 2016,2,4,2,,,,,,,,,
,,2018 - 2019,3,6,2,,,,,,,,,
,,2019 - 2020,2,6,3,1,1,1,,,,,,
,,2020 - 2021,2,6,3,,,,,,,,,
,,2021 - 2022,1,3,3,,,,,,,,,
,,2022 - 2023,2,6,3,,,,,,,,,
,3. Belgaum,2000 - 2001,"49,186.00","94,627.00",1.92,,,,,,,,,
,,2001 - 2002,"40,767.00","50,651.00",1.24,,,,,,,,,
,,2002 - 2003,"29,028.00","31,313.00",1.08,,,,,,,,,
,,2003 - 2004,"18,749.00","13,700.00",0.73,,,,,,,,,
,,2004 - 2005,"37,659.00","62,440.00",1.66,,,,,,,,,
,,2005 - 2006,,,,,,,"28,359.00","41,840.00",1.48,,,
,,2006 - 2007,,,,,,,"28,247.00","50,807.00",1.8,,,
,,2007 - 2008,,,,,,,"21,050.00","51,444.00",2.44,,,
,,2008 - 2009,,,,,,,"20,041.00","38,609.00",1.93,,,
,,2009 - 2010,,,,,,,"30,046.00","63,454.00",2.11,,,
,,2010 - 2011,"37,660.00","83,178.00",2.21,671,"1,277.00",1.9,,,,,,
,,2011 - 2012,"37,618.00","84,884.00",2.26,394,744,1.89,,,,,,
,,2012 - 2013,"22,513.00","41,389.00",1.84,,,,,,,162,449,2.77
,,2013 - 2014,"29,844.00","83,384.00",2.79,"1,256.00","2,316.00",1.84,,,,265,955,3.6
,,2014 - 2015,"39,811.00","1,08,785.00",2.73,470,749,1.59,,,,29,55,1.9
,,2015 - 2016,"39,429.00","58,828.00",1.49,110,132,1.2,,,,39,83,2.13
,,2016 - 2017,"54,634.00","1,45,320.00",2.66,90,29,0.32,,,,,,
,,2017 - 2018,"30,997.00","1,01,675.00",3.28,,,,,,,,,
,,2018 - 2019,"63,580.00","1,67,339.00",2.63,,,,,,,,,
,,2019 - 2020,"42,272.00","92,597.00",2.19,"1,020.00",735,0.72,,,,,,
,,2020 - 2021,"39,046.00","95,088.00",2.44,"1,104.00",656,0.59,,,,,,
,,2021 - 2022,"22,435.00","54,768.00",2.44,"1,463.00","1,171.00",0.8,,,,,,
,,2022 - 2023,"30,394.00","69,012.00",2.27,"1,933.00","1,739.00",0.9,,,,,,
,4. Bellary,2000 - 2001,"52,037.00","68,670.00",1.32,,,,,,,,,
,,2001 - 2002,"51,505.00","69,414.00",1.35,,,,,,,,,
,,2002 - 2003,"35,188.00","38,941.00",1.11,,,,,,,,,
,,2003 - 2004,"26,088.00","21,825.00",0.84,,,,,,,,,
,,2004 - 2005,"42,373.00","48,777.00",1.15,,,,,,,,,
,,2005 - 2006,,,,,,,"26,690.00","35,262.00",1.32,,,
,,2006 - 2007,,,,,,,"19,167.00","28,963.00",1.51,,,
,,2007 - 2008,,,,,,,"26,604.00","48,546.00",1.82,,,
,,2008 - 2009,,,,,,,"19,627.00","36,344.00",1.85,,,
,,2009 - 2010,,,,,,,"25,269.00","47,008.00",1.86,,,
,,2010 - 2011,"37,118.00","1,00,359.00",2.7,"7,774.00","20,933.00",2.69,,,,,,
,,2011 - 2012,"37,717.00","80,774.00",2.14,"4,654.00","7,285.00",1.57,,,,,,
,,2012 - 2013,"62,710.00","1,71,708.00",2.74,"1,869.00","2,026.00",1.08,,,,922,"2,555.00",2.77
,,2013 - 2014,"72,108.00","1,84,949.00",2.56,"1,096.00","2,021.00",1.84,,,,"1,095.00","3,947.00",3.6
,,2014 - 2015,"78,646.00","2,42,150.00",3.08,"2,687.00","4,369.00",1.63,,,,"1,010.00","1,913.00",1.89
,,2015 - 2016,"65,890.00","1,42,491.00",2.16,"1,171.00","2,716.00",2.32,,,,989,"2,095.00",2.12
,,2016 - 2017,"48,032.00","1,33,665.00",2.78,28,9,0.32,,,,,,
,,2017 - 2018,"58,997.00","1,98,794.00",3.37,164,124,0.76,,,,,,
,,2018 - 2019,"45,465.00","1,19,916.00",2.64,155,74,0.48,,,,,,
,,2019 - 2020,"55,927.00","1,71,886.00",3.07,971,700,0.72,,,,,,
,,2020 - 2021,"49,105.00","1,67,246.00",3.41,"1,211.00",719,0.59,,,,,,
,,2021 - 2022,"32,812.00","98,823.00",3.01,"2,187.00","1,750.00",0.8,,,,,,
,,2022 - 2023,"34,739.00","1,21,791.00",3.51,"1,238.00","1,114.00",0.9,,,,,,
,5. Bengaluru urban,2018 - 2019,14,27,1.93,,,,,,,,,
,,2019 - 2020,3,9,3,,,,,,,,,
,,2022 - 2023,2,6,3,,,,,,,,,
,6. Bidar,2000 - 2001,"1,373.00","1,994.00",1.45,,,,,,,,,
,,2001 - 2002,"1,843.00","1,668.00",0.91,,,,,,,,,
,,2002 - 2003,"1,477.00","2,410.00",1.63,,,,,,,,,
,,2003 - 2004,"1,321.00","1,373.00",1.04,,,,,,,,,
,,2004 - 2005,"1,914.00","2,194.00",1.15,,,,,,,,,
,,2005 - 2006,,,,,,,"1,505.00","1,279.00",0.85,,,
,,2006 - 2007,,,,,,,"1,430.00","1,151.00",0.8,,,
,,2007 - 2008,,,,,,,"1,307.00","1,066.00",0.82,,,
,,2008 - 2009,,,,,,,"1,384.00","1,270.00",0.92,,,
,,2009 - 2010,,,,,,,"1,165.00","1,115.00",0.96,,,
,,2010 - 2011,787,901,1.14,,,,,,,,,
,,2011 - 2012,632,"1,286.00",2.03,,,,,,,,,
,,2012 - 2013,549,"1,261.00",2.3,,,,,,,,,
,,2013 - 2014,319,945,2.96,,,,,,,,,
,,2014 - 2015,291,794,2.73,,,,,,,,,
,,2015 - 2016,283,520,1.84,,,,,,,,,
,,2016 - 2017,51,107,2.1,,,,,,,,,
,,2017 - 2018,490,"1,714.00",3.5,,,,,,,,,
,,2018 - 2019,446,875,1.96,,,,,,,,,
,,2019 - 2020,"3,087.00","8,918.00",2.89,11,8,0.73,,,,,,
,,2020 - 2021,"3,396.00","9,768.00",2.88,13,8,0.62,,,,,,
,,2021 - 2022,"2,560.00","7,559.00",2.95,45,36,0.8,,,,,,
,,2022 - 2023,"3,543.00","8,107.00",2.29,,,,,,,,,
,7. Bijapur,2000 - 2001,"14,718.00","27,539.00",1.87,,,,,,,,,
,,2001 - 2002,"11,094.00","14,634.00",1.32,,,,,,,,,
,,2002 - 2003,"2,851.00","3,673.00",1.29,,,,,,,,,
,,2003 - 2004,"1,226.00","1,753.00",1.43,,,,,,,,,
,,2004 - 2005,"3,043.00","7,663.00",2.52,,,,,,,,,
,,2005 - 2006,,,,,,,"1,863.00","5,568.00",2.99,,,
,,2006 - 2007,,,,,,,"1,746.00","3,317.00",1.9,,,
,,2007 - 2008,,,,,,,"4,100.00","10,326.00",2.52,,,
,,2008 - 2009,,,,,,,"5,553.00","12,932.00",2.33,,,
,,2009 - 2010,,,,,,,"3,669.00","7,636.00",2.08,,,
,,2010 - 2011,"9,599.00","26,525.00",2.76,925,"1,882.00",2.03,,,,,,
,,2011 - 2012,"11,130.00","29,346.00",2.64,691,672,0.97,,,,,,
,,2012 - 2013,"11,247.00","25,893.00",2.3,"1,492.00","1,843.00",1.24,,,,208,577,2.77
,,2013 - 2014,"9,881.00","23,301.00",2.36,446,"1,201.00",2.69,,,,92,332,3.61
,,2014 - 2015,"14,303.00","32,450.00",2.27,224,357,1.59,,,,37,70,1.89
,,2015 - 2016,"7,578.00","11,264.00",1.49,130,155,1.19,,,,9,19,2.11
,,2016 - 2017,"10,272.00","27,322.00",2.66,46,15,0.33,,,,,,
,,2017 - 2018,"12,003.00","32,262.00",2.69,117,88,0.75,,,,,,
,,2018 - 2019,"34,297.00","59,029.00",1.72,272,131,0.48,,,,,,
,,2019 - 2020,"50,936.00","1,04,459.00",2.05,570,411,0.72,,,,,,
,,2020 - 2021,"46,446.00","98,356.00",2.12,775,460,0.59,,,,,,
,,2021 - 2022,"35,046.00","99,159.00",2.83,611,488,0.8,,,,,,
,,2022 - 2023,"83,073.00","2,46,775.00",2.97,"2,365.00","2,128.00",0.9,,,,,,
,8. Chamarajanagar,2000 - 2001,"9,652.00","7,944.00",0.82,,,,,,,,,
,,2001 - 2002,"10,547.00","7,085.00",0.67,,,,,,,,,
,,2002 - 2003,"5,271.00",928,0.18,,,,,,,,,
,,2003 - 2004,"5,420.00","1,143.00",0.21,,,,,,,,,
,,2004 - 2005,"14,169.00","3,485.00",0.25,,,,,,,,,
,,2005 - 2006,,,,,,,"6,842.00","3,169.00",0.46,,,
,,2006 - 2007,,,,,,,"1,511.00",731,0.48,,,
,,2007 - 2008,,,,,,,"2,248.00","1,772.00",0.79,,,
,,2008 - 2009,,,,,,,443,423,0.95,,,
,,2009 - 2010,,,,,,,754,683,0.91,,,
,,2010 - 2011,"2,593.00","2,531.00",0.98,45,98,2.18,,,,,,
,,2011 - 2012,"6,522.00","10,277.00",1.58,60,113,1.88,,,,,,
,,2012 - 2013,"7,319.00","6,298.00",0.86,,,,,,,55,152,2.76
,,2013 - 2014,"10,166.00","30,108.00",2.96,,,,,,,,,
,,2014 - 2015,"15,063.00","17,592.00",1.17,,,,,,,,,
,,2015 - 2016,"13,584.00","14,271.00",1.05,,,,,,,,,
,,2016 - 2017,"8,975.00","2,307.00",0.26,,,,,,,,,
,,2017 - 2018,"10,014.00","22,215.00",2.22,,,,,,,,,
,,2018 - 2019,"7,097.00","8,526.00",1.2,,,,,,,,,
,,2019 - 2020,"10,031.00","12,724.00",1.27,60,43,0.72,,,,,,
,,2020 - 2021,"8,906.00","11,997.00",1.35,278,165,0.59,,,,,,
,,2021 - 2022,"7,074.00","13,065.00",1.85,272,218,0.8,,,,,,
,,2022 - 2023,"8,593.00","16,528.00",1.92,54,49,0.91,,,,,,
,9. Chikballapur,2010 - 2011,93,244,2.62,134,291,2.17,,,,,,
,,2011 - 2012,136,416,3.06,60,113,1.88,,,,,,
,,2012 - 2013,120,276,2.3,,,,,,,35,97,2.77
,,2013 - 2014,160,474,2.96,,,,,,,,,
,,2014 - 2015,67,183,2.73,,,,,,,,,
,,2015 - 2016,107,197,1.84,,,,,,,,,
,,2016 - 2017,109,228,2.09,,,,,,,,,
,,2017 - 2018,40,140,3.5,,,,,,,,,
,,2018 - 2019,118,231,1.96,,,,,,,,,
,,2019 - 2020,182,526,2.89,41,30,0.73,,,,,,
,,2020 - 2021,83,239,2.88,60,36,0.6,,,,,,
,,2021 - 2022,117,344,2.94,95,76,0.8,,,,,,
,,2022 - 2023,97,317,3.27,401,361,0.9,,,,,,
,10. Chikmagalur,2000 - 2001,"1,969.00","2,906.00",1.48,,,,,,,,,
,,2001 - 2002,"1,537.00","1,271.00",0.83,,,,,,,,,
,,2002 - 2003,"1,711.00","1,950.00",1.14,,,,,,,,,
,,2003 - 2004,392,407,1.04,,,,,,,,,
,,2004 - 2005,"2,037.00","2,504.00",1.23,,,,,,,,,
,,2005 - 2006,,,,,,,"2,157.00","1,796.00",0.83,,,
,,2006 - 2007,,,,,,,"2,023.00","2,227.00",1.1,,,
,,2007 - 2008,,,,,,,"1,868.00","3,372.00",1.81,,,
,,2008 - 2009,,,,,,,"1,202.00","1,364.00",1.13,,,
,,2009 - 2010,,,,,,,"1,028.00","1,425.00",1.39,,,
,,2010 - 2011,877,"2,044.00",2.33,,,,,,,,,
,,2011 - 2012,"1,026.00","1,181.00",1.15,,,,,,,,,
,,2012 - 2013,"1,159.00",952,0.82,,,,,,,,,
,,2013 - 2014,"1,299.00","1,386.00",1.07,,,,,,,,,
,,2014 - 2015,"1,843.00","3,018.00",1.64,,,,,,,,,
,,2015 - 2016,"1,364.00","1,867.00",1.37,,,,,,,,,
,,2016 - 2017,"1,570.00","1,009.00",0.64,,,,,,,,,
,,2017 - 2018,"1,883.00","3,893.00",2.07,,,,,,,,,
,,2018 - 2019,"1,689.00","2,775.00",1.64,,,,,,,,,
,,2019 - 2020,"1,063.00","2,020.00",1.9,5,4,0.8,,,,,,
,,2020 - 2021,993,"5,888.00",5.93,3,2,0.67,,,,,,
,,2021 - 2022,"1,687.00","4,464.00",2.65,61,49,0.8,,,,,,
,,2022 - 2023,"3,703.00","8,845.00",2.39,43,39,0.91,,,,,,
,11. Chitradurga,2000 - 2001,"16,297.00","27,965.00",1.72,,,,,,,,,
,,2001 - 2002,"17,762.00","16,460.00",0.93,,,,,,,,,
,,2002 - 2003,"7,553.00","9,979.00",1.32,,,,,,,,,
,,2003 - 2004,"4,092.00","4,300.00",1.05,,,,,,,,,
,,2004 - 2005,"15,420.00","24,022.00",1.56,,,,,,,,,
,,2005 - 2006,,,,,,,"15,383.00","26,687.00",1.73,,,
,,2006 - 2007,,,,,,,"8,535.00","12,117.00",1.42,,,
,,2007 - 2008,,,,,,,"10,648.00","24,767.00",2.33,,,
,,2008 - 2009,,,,,,,"4,372.00","7,054.00",1.61,,,
,,2009 - 2010,,,,,,,"10,513.00","14,749.00",1.4,,,
,,2010 - 2011,"14,514.00","32,813.00",2.26,"1,600.00","2,305.00",1.44,,,,,,
,,2011 - 2012,"20,190.00","37,180.00",1.84,211,399,1.89,,,,,,
,,2012 - 2013,"17,637.00","25,526.00",1.45,"1,785.00","2,204.00",1.23,,,,,,
,,2013 - 2014,"20,250.00","34,287.00",1.69,716,"1,320.00",1.84,,,,,,
,,2014 - 2015,"28,366.00","48,504.00",1.71,91,141,1.55,,,,84,159,1.89
,,2015 - 2016,"16,703.00","22,121.00",1.32,44,53,1.2,,,,11,23,2.09
,,2016 - 2017,"8,788.00","8,004.00",0.91,,,,,,,,,
,,2017 - 2018,"10,255.00","19,656.00",1.92,59,45,0.76,,,,,,
,,2018 - 2019,"9,459.00","16,544.00",1.75,24,12,0.5,,,,,,
,,2019 - 2020,"17,023.00","30,440.00",1.79,878,633,0.72,,,,,,
,,2020 - 2021,"11,119.00","26,555.00",2.39,192,114,0.59,,,,,,
,,2021 - 2022,"10,822.00","23,363.00",2.16,,,,,,,,,
,,2022 - 2023,"21,067.00","33,459.00",1.59,"2,765.00","2,488.00",0.9,,,,,,
,12. Dakshin kannad,2012 - 2013,2,3,1.5,,,,,,,,,
,13. Davangere,2000 - 2001,"6,321.00","8,061.00",1.28,,,,,,,,,
,,2001 - 2002,"10,159.00","9,014.00",0.89,,,,,,,,,
,,2002 - 2003,"4,660.00","4,327.00",0.93,,,,,,,,,
,,2003 - 2004,"3,590.00","2,961.00",0.82,,,,,,,,,
,,2004 - 2005,"6,869.00","12,610.00",1.84,,,,,,,,,
,,2005 - 2006,,,,,,,"6,364.00","8,361.00",1.31,,,
,,2006 - 2007,,,,,,,"4,976.00","10,089.00",2.03,,,
,,2007 - 2008,,,,,,,"6,174.00","17,914.00",2.9,,,
,,2008 - 2009,,,,,,,"8,051.00","15,797.00",1.96,,,
,,2009 - 2010,,,,,,,"16,843.00","28,211.00",1.67,,,
,,2010 - 2011,"22,871.00","50,664.00",2.22,"1,016.00","1,759.00",1.73,,,,,,
,,2011 - 2012,"22,930.00","58,939.00",2.57,427,794,1.86,,,,,,
,,2012 - 2013,"14,903.00","26,399.00",1.77,174,215,1.24,,,,356,987,2.77
,,2013 - 2014,"19,895.00","25,348.00",1.27,131,242,1.85,,,,552,"1,990.00",3.61
,,2014 - 2015,"20,325.00","29,075.00",1.43,259,412,1.59,,,,130,246,1.89
,,2015 - 2016,"15,483.00","37,376.00",2.41,205,245,1.2,,,,,,
,,2016 - 2017,"9,109.00","10,638.00",1.17,48,15,0.31,,,,,,
,,2017 - 2018,"4,740.00","6,728.00",1.42,28,21,0.75,,,,,,
,,2018 - 2019,"3,038.00","5,636.00",1.86,,,,,,,,,
,,2019 - 2020,"2,580.00","4,642.00",1.8,245,177,0.72,,,,,,
,,2020 - 2021,"1,654.00","3,940.00",2.38,102,61,0.6,,,,,,
,,2021 - 2022,"1,026.00","1,998.00",1.95,233,187,0.8,,,,,,
,,2022 - 2023,"2,071.00","3,204.00",1.55,152,137,0.9,,,,,,
,14. Dharwad,2000 - 2001,"92,898.00","1,18,695.00",1.28,,,,,,,,,
,,2001 - 2002,"1,05,429.00","49,539.00",0.47,,,,,,,,,
,,2002 - 2003,"91,357.00","39,526.00",0.43,,,,,,,,,
,,2003 - 2004,"51,899.00","30,814.00",0.59,,,,,,,,,
,,2004 - 2005,"86,481.00","70,947.00",0.82,,,,,,,,,
,,2005 - 2006,,,,,,,"76,994.00","71,552.00",0.93,,,
,,2006 - 2007,,,,,,,"74,021.00","85,558.00",1.16,,,
,,2007 - 2008,,,,,,,"72,612.00","91,219.00",1.26,,,
,,2008 - 2009,,,,,,,"71,221.00","1,18,158.00",1.66,,,
,,2009 - 2010,,,,,,,"83,461.00","1,30,437.00",1.56,,,
,,2010 - 2011,"44,413.00","95,992.00",2.16,"43,927.00","42,621.00",0.97,,,,,,
,,2011 - 2012,"48,647.00","88,766.00",1.82,"20,322.00","18,078.00",0.89,,,,,,
,,2012 - 2013,"24,211.00","35,040.00",1.45,"16,699.00","12,131.00",0.73,,,,,,
,,2013 - 2014,"60,529.00","79,824.00",1.32,"29,968.00","55,262.00",1.84,,,,,,
,,2014 - 2015,"80,222.00","1,67,657.00",2.09,"16,962.00","18,388.00",1.08,,,,,,
,,2015 - 2016,"55,443.00","52,669.00",0.95,"11,445.00","10,872.00",0.95,,,,,,
,,2016 - 2017,"64,507.00","89,395.00",1.39,"5,765.00","3,157.00",0.55,,,,,,
,,2017 - 2018,"34,189.00","58,652.00",1.72,"8,444.00","5,473.00",0.65,,,,,,
,,2018 - 2019,"51,001.00","75,808.00",1.49,"2,004.00",784,0.39,,,,,,
,,2019 - 2020,"80,677.00","1,64,550.00",2.04,"2,118.00","1,491.00",0.7,,,,,,
,,2020 - 2021,"84,861.00","1,57,242.00",1.85,"4,107.00","2,319.00",0.56,,,,,,
,,2021 - 2022,"53,479.00","1,01,609.00",1.9,"2,419.00","1,309.00",0.54,,,,,,
,,2022 - 2023,"46,840.00","85,139.00",1.82,"2,194.00","1,807.00",0.82,,,,,,
,15. Gadag,2000 - 2001,"67,713.00","97,437.00",1.44,,,,,,,,,
,,2001 - 2002,"77,125.00","50,442.00",0.65,,,,,,,,,
,,2002 - 2003,"45,540.00","20,497.00",0.45,,,,,,,,,
,,2003 - 2004,"37,175.00","7,485.00",0.2,,,,,,,,,
,,2004 - 2005,"59,863.00","42,548.00",0.71,,,,,,,,,
,,2005 - 2006,,,,,,,"55,846.00","44,817.00",0.8,,,
,,2006 - 2007,,,,,,,"37,817.00","17,854.00",0.47,,,
,,2007 - 2008,,,,,,,"49,518.00","76,528.00",1.55,,,
,,2008 - 2009,,,,,,,"41,834.00","95,198.00",2.28,,,
,,2009 - 2010,,,,,,,"62,015.00","82,054.00",1.32,,,
,,2010 - 2011,"24,843.00","57,340.00",2.31,"48,527.00","54,557.00",1.12,,,,,,
,,2011 - 2012,"24,721.00","43,291.00",1.75,"34,985.00","16,915.00",0.48,,,,,,
,,2012 - 2013,"12,863.00","20,413.00",1.59,"20,231.00","37,420.00",1.85,,,,,,
,,2013 - 2014,"25,670.00","1,00,411.00",3.91,"32,535.00","59,632.00",1.83,,,,,,
,,2014 - 2015,"64,795.00","1,98,055.00",3.06,"33,366.00","65,817.00",1.97,,,,,,
,,2015 - 2016,"31,488.00","62,464.00",1.98,"17,358.00","23,279.00",1.34,,,,,,
,,2016 - 2017,"36,249.00","67,857.00",1.87,"16,878.00","4,244.00",0.25,,,,,,
,,2017 - 2018,"22,095.00","88,773.00",4.02,"13,135.00","10,790.00",0.82,,,,,,
,,2018 - 2019,"24,238.00","32,235.00",1.33,"1,433.00",657,0.46,,,,,,
,,2019 - 2020,"30,731.00","81,398.00",2.65,"4,627.00","3,387.00",0.73,,,,,,
,,2020 - 2021,"31,224.00","71,999.00",2.31,"3,631.00","2,307.00",0.64,,,,,,
,,2021 - 2022,"19,395.00","50,656.00",2.61,"2,176.00","2,355.00",1.08,,,,,,
,,2022 - 2023,"19,992.00","38,102.00",1.91,"2,657.00","2,563.00",0.96,,,,,,
,16. Gulbarga,2000 - 2001,"10,595.00","28,167.00",2.66,,,,,,,,,
,,2001 - 2002,"28,394.00","53,835.00",1.9,,,,,,,,,
,,2002 - 2003,"16,443.00","43,235.00",2.63,,,,,,,,,
,,2003 - 2004,"17,295.00","48,613.00",2.81,,,,,,,,,
,,2004 - 2005,"27,881.00","73,916.00",2.65,,,,,,,,,
,,2005 - 2006,,,,,,,"28,773.00","1,03,776.00",3.61,,,
,,2006 - 2007,,,,,,,"23,582.00","85,067.00",3.61,,,
,,2007 - 2008,,,,,,,"26,010.00","1,06,214.00",4.08,,,
,,2008 - 2009,,,,,,,"50,976.00","1,85,757.00",3.64,,,
,,2009 - 2010,,,,,,,"23,502.00","55,471.00",2.36,,,
,,2010 - 2011,"13,759.00","38,254.00",2.78,,,,,,,,,
,,2011 - 2012,"26,496.00","1,07,190.00",4.05,,,,,,,,,
,,2012 - 2013,"39,523.00","90,771.00",2.3,,,,,,,,,
,,2013 - 2014,"47,273.00","2,69,445.00",5.7,,,,,,,,,
,,2014 - 2015,"82,637.00","3,38,020.00",4.09,,,,,,,,,
,,2015 - 2016,"49,322.00","1,03,630.00",2.1,,,,,,,,,
,,2016 - 2017,"32,830.00","1,07,321.00",3.27,,,,,,,,,
,,2017 - 2018,"62,289.00","3,24,402.00",5.21,,,,,,,,,
,,2018 - 2019,"68,183.00","2,03,077.00",2.98,,,,,,,,,
,,2019 - 2020,"1,00,845.00","3,79,250.00",3.76,439,316,0.72,,,,,,
,,2020 - 2021,"1,06,528.00","2,53,787.00",2.38,"1,254.00",745,0.59,,,,,,
,,2021 - 2022,"67,065.00","2,05,930.00",3.07,441,353,0.8,,,,,,
,,2022 - 2023,"1,32,631.00","4,33,002.00",3.26,"1,702.00","1,532.00",0.9,,,,,,
,17. Hassan,2000 - 2001,"3,462.00","5,608.00",1.62,,,,,,,,,
,,2001 - 2002,"2,326.00","4,147.00",1.78,,,,,,,,,
,,2002 - 2003,"1,802.00",957,0.53,,,,,,,,,
,,2003 - 2004,169,133,0.79,,,,,,,,,
,,2004 - 2005,"1,809.00","1,795.00",0.99,,,,,,,,,
,,2005 - 2006,,,,,,,"1,249.00","1,221.00",0.98,,,
,,2006 - 2007,,,,,,,"3,106.00","2,551.00",0.82,,,
,,2007 - 2008,,,,,,,"1,108.00",966,0.87,,,
,,2008 - 2009,,,,,,,815,"1,303.00",1.6,,,
,,2009 - 2010,,,,,,,297,453,1.53,,,
,,2010 - 2011,106,234,2.21,,,,,,,,,
,,2011 - 2012,88,178,2.02,,,,,,,,,
,,2012 - 2013,64,147,2.3,,,,,,,,,
,,2013 - 2014,281,832,2.96,,,,,,,,,
,,2014 - 2015,400,"1,091.00",2.73,,,,,,,,,
,,2015 - 2016,354,651,1.84,,,,,,,,,
,,2016 - 2017,97,94,0.97,,,,,,,,,
,,2017 - 2018,125,416,3.33,,,,,,,,,
,,2018 - 2019,48,54,1.13,,,,,,,,,
,,2019 - 2020,347,"1,002.00",2.89,6,4,0.67,,,,,,
,,2020 - 2021,418,"1,180.00",2.82,8,5,0.63,,,,,,
,,2021 - 2022,650,"1,643.00",2.53,14,11,0.79,,,,,,
,,2022 - 2023,"1,538.00","3,790.00",2.46,22,19,0.86,,,,,,
,18. Haveri,2000 - 2001,"67,008.00","1,19,094.00",1.78,,,,,,,,,
,,2001 - 2002,"80,825.00","79,106.00",0.98,,,,,,,,,
,,2002 - 2003,"59,585.00","49,612.00",0.83,,,,,,,,,
,,2003 - 2004,"47,319.00","31,332.00",0.66,,,,,,,,,
,,2004 - 2005,"63,400.00","92,471.00",1.46,,,,,,,,,
,,2005 - 2006,,,,,,,"59,771.00","96,519.00",1.61,,,
,,2006 - 2007,,,,,,,"76,459.00","1,29,621.00",1.7,,,
,,2007 - 2008,,,,,,,"78,900.00","1,52,978.00",1.94,,,
,,2008 - 2009,,,,,,,"91,934.00","1,63,838.00",1.78,,,
,,2009 - 2010,,,,,,,"1,09,231.00","1,43,134.00",1.31,,,
,,2010 - 2011,"1,00,887.00","2,77,675.00",2.75,"3,843.00","2,921.00",0.76,,,,,,
,,2011 - 2012,"1,04,276.00","3,04,176.00",2.92,"1,865.00","1,710.00",0.92,,,,,,
,,2012 - 2013,"64,332.00","1,44,873.00",2.25,"1,327.00","1,112.00",0.84,,,,,,
,,2013 - 2014,"96,977.00","1,92,919.00",1.99,821,"1,514.00",1.84,,,,,,
,,2014 - 2015,"1,05,249.00","2,11,727.00",2.01,244,281,1.15,,,,534,"1,012.00",1.9
,,2015 - 2016,"84,065.00","1,78,977.00",2.13,312,134,0.43,,,,47,100,2.13
,,2016 - 2017,"74,804.00","95,305.00",1.27,96,31,0.32,,,,,,
,,2017 - 2018,"69,947.00","2,09,112.00",2.99,240,181,0.75,,,,,,
,,2018 - 2019,"80,839.00","1,54,491.00",1.91,83,260,3.13,,,,,,
,,2019 - 2020,"54,770.00","75,596.00",1.38,,,,,,,,,
,,2020 - 2021,"39,410.00","79,052.00",2.01,,,,,,,,,
,,2021 - 2022,"25,572.00","60,771.00",2.38,,,,,,,,,
,,2022 - 2023,"29,104.00","22,770.00",0.78,438,394,0.9,,,,,,
,19. Kodagu,2020 - 2021,1,3,3,,,,,,,,,
,20. Kolar,2019 - 2020,,,,3,2,0.67,,,,,,
,,2020 - 2021,3,9,3,13,8,0.62,,,,,,
,,2021 - 2022,11,32,2.91,9,7,0.78,,,,,,
,,2022 - 2023,1,3,3,121,108,0.89,,,,,,
,21. Koppal,2000 - 2001,"25,417.00","20,690.00",0.81,,,,,,,,,
,,2001 - 2002,"35,991.00","38,735.00",1.08,,,,,,,,,
,,2002 - 2003,"4,684.00","4,337.00",0.93,,,,,,,,,
,,2003 - 2004,"12,569.00","5,093.00",0.41,,,,,,,,,
,,2004 - 2005,"29,156.00","26,932.00",0.92,,,,,,,,,
,,2005 - 2006,,,,,,,"11,560.00","4,788.00",0.41,,,
,,2006 - 2007,,,,,,,"3,779.00","1,940.00",0.51,,,
,,2007 - 2008,,,,,,,"12,819.00","9,164.00",0.71,,,
,,2008 - 2009,,,,,,,"10,878.00","15,302.00",1.41,,,
,,2009 - 2010,,,,,,,"17,514.00","7,430.00",0.42,,,
,,2010 - 2011,"2,575.00","5,108.00",1.98,"18,792.00","23,661.00",1.26,,,,,,
,,2011 - 2012,"4,252.00","10,621.00",2.5,"6,910.00","3,128.00",0.45,,,,,,
,,2012 - 2013,"4,919.00","15,393.00",3.13,"4,310.00","2,071.00",0.48,,,,,,
,,2013 - 2014,"4,447.00","12,077.00",2.72,"7,653.00","14,112.00",1.84,,,,,,
,,2014 - 2015,"12,128.00","36,529.00",3.01,"10,772.00","13,182.00",1.22,,,,,,
,,2015 - 2016,"17,294.00","11,113.00",0.64,"10,471.00","11,702.00",1.12,,,,,,
,,2016 - 2017,"1,598.00","2,411.00",1.51,"1,451.00",300,0.21,,,,,,
