state,district,year,small_millets_kharif_area_hectare,small_millets_kharif_production_tonne,small_millets_kharif_yield_tonne_per_hectare,small_millets_rabi_area_hectare,small_millets_rabi_production_tonne,small_millets_rabi_yield_tonne_per_hectare,small_millets_whole_year_area_hectare,small_millets_whole_year_production_tonne,small_millets_whole_year_yield_tonne_per_hectare,small_millets_summer_area_hectare,small_millets_summer_production_tonne,small_millets_summer_yield_tonne_per_hectare,small_millets_autumn_area_hectare,small_millets_autumn_production_tonne,small_millets_autumn_yield_tonne_per_hectare
,,2017 - 2018,,,,14.0,18.0,1.29,,,,,,,,,
,Gir somnath,2021 - 2022,,,,,,1.9,,,,,,,,,
,,2022 - 2023,,,,,,2.4,,,,,,,,,
,Junagadh,2000 - 2001,,200.0,0.2,500.0,200.0,0.4,,,,,,,,,
,,2001 - 2002,,,,,300.0,0.3,,,,,,,,,
,,2002 - 2003,100.0,,0.0,200.0,100.0,0.5,,,,,,,,,
,,2003 - 2004,,,,900.0,300.0,0.33,,,,,,,,,
,,2004 - 2005,,,,,400.0,0.33,,,,,,,,,
,,2014 - 2015,,,,,,1.11,,,,,,,,,
,,2015 - 2016,,,,925.0,,1.15,,,,,,,,,
,,2018 - 2019,,,,,,1.3,,,,,,,,,
,,2019 - 2020,,,,250.0,338.0,1.35,,,,,,,,,
,,2020 - 2021,,,,769.0,,1.55,,,,,,,,,
,,2021 - 2022,,,,400.0,585.0,1.46,,,,,,,,,
,Kheda,2002 - 2003,300.0,100.0,0.33,800.0,200.0,0.25,,,,,,,,,
,,2014 - 2015,,,,,,1.36,,,,,,,,,
,,2015 - 2016,,,,,,1.34,,,,,,,,,
,,2017 - 2018,,,,,,2.0,,,,,,,,,
,,2018 - 2019,,,,901.0,,2.0,,,,,,,,,
,,2019 - 2020,,,,,,1.8,,,,,,,,,
,,2020 - 2021,,,,870.0,653.0,0.75,,,,,,,,,
,,2021 - 2022,,,,550.0,780.0,1.42,,,,,,,,,
,,2022 - 2023,,,,460.0,,3.18,,,,,,,,,
,Mahesana,2000 - 2001,,400.0,0.25,100.0,0.0,0.0,,,,,,,,,
,,2001 - 2002,,700.0,0.33,,,,,,,,,,,,
,,2002 - 2003,,500.0,0.42,,,,,,,,,,,,
,,2004 - 2005,200.0,100.0,0.5,,,,,,,,,,,,
,,2014 - 2015,,,,,,1.1,,,,,,,,,
,,2015 - 2016,,,,475.0,527.0,1.11,,,,,,,,,
,,2017 - 2018,,,,108.0,324.0,3.0,,,,,,,,,
,,2021 - 2022,,,,460.0,668.0,1.45,,,,,,,,,
,,2022 - 2023,,,,275.0,688.0,2.5,,,,,,,,,
,Mahisagar,2014 - 2015,,,,35.0,108.0,3.09,,,,,,,,,
,Morbi,2014 - 2015,,,,685.0,759.0,1.11,,,,,,,,,
,,2015 - 2016,,,,,,1.15,,,,,,,,,
,,2017 - 2018,,,,,,1.87,,,,,,,,,
,,2018 - 2019,,,,,,1.88,,,,,,,,,
,,2019 - 2020,,,,,,1.7,,,,,,,,,
,,2020 - 2021,,,,,,2.1,,,,,,,,,
,Narmada,2014 - 2015,,,,60.0,44.0,0.73,,,,,,,,,
,,2015 - 2016,,,,265.0,183.0,0.69,,,,,,,,,
,,2017 - 2018,,,,7.0,5.0,0.71,,,,,,,,,
,,2022 - 2023,,,,80.0,198.0,2.48,,,,,,,,,
,Navsari,2003 - 2004,,,,,400.0,0.33,,,,,,,,,
,Panch mahals,2000 - 2001,700.0,200.0,0.29,,,,,,,,,,,,
,,2001 - 2002,,300.0,0.23,100.0,0.0,0.0,,,,,,,,,
,,2002 - 2003,,500.0,0.19,,,,,,,,,,,,
,,2003 - 2004,400.0,100.0,0.25,,,,,,,,,,,,
,,2004 - 2005,700.0,300.0,0.43,,,,,,,,,,,,
,,2017 - 2018,,,,70.0,56.0,0.8,,,,,,,,,
,,2018 - 2019,,,,157.0,126.0,0.8,,,,,,,,,
,Patan,2003 - 2004,,,0.45,,,,,,,,,,,,
,,2004 - 2005,,700.0,0.44,,,,,,,,,,,,
,,2015 - 2016,,,,345.0,411.0,1.19,,,,,,,,,
,,2021 - 2022,,,,300.0,437.0,1.46,,,,,,,,,
,,2022 - 2023,,,,400.0,660.0,1.65,,,,,,,,,
,Rajkot,2015 - 2016,,,,450.0,450.0,1.0,,,,,,,,,
,Sabar kantha,2002 - 2003,100.0,100.0,1.0,,,,,,,,,,,,
,Surat,2002 - 2003,100.0,,0.0,,,,,,,,,,,,
,,2003 - 2004,600.0,100.0,0.17,,,,,,,,,,,,
,,2004 - 2005,200.0,100.0,0.5,,,,,,,,,,,,
,,2014 - 2015,,,,811.0,,1.92,,,,,,,,,
,,2015 - 2016,,,,178.0,365.0,2.05,,,,,,,,,
,,2017 - 2018,,,,220.0,117.0,0.53,,,,,,,,,
,,2018 - 2019,,,,17.0,9.0,0.53,,,,,,,,,
,,2022 - 2023,,,,5.0,11.0,2.2,,,,,,,,,
,Surendranagar,2003 - 2004,,,,,500.0,0.33,,,,,,,,,
,,2004 - 2005,,,,,600.0,0.33,,,,,,,,,
,,2015 - 2016,,,,125.0,151.0,1.21,,,,,,,,,
,,2020 - 2021,,,,600.0,,1.7,,,,,,,,,
,Tapi,2020 - 2021,,,,2.0,2.0,1.0,,,,,,,,,
,Vadodara,2001 - 2002,100.0,,0.0,,,,,,,,,,,,
,,2003 - 2004,,,,,,0.38,,,,,,,,,
,,2004 - 2005,200.0,100.0,0.5,,,0.39,,,,,,,,,
,,2017 - 2018,,,,4.0,6.0,1.5,,,,,,,,,
,,2018 - 2019,,,,11.0,16.0,1.45,,,,,,,,,
,,2019 - 2020,,,,8.0,12.0,1.5,,,,,,,,,
,,2022 - 2023,,,,2.0,3.0,1.5,,,,,,,,,
,Valsad,2000 - 2001,400.0,100.0,0.25,,,,,,,,,,,,
,,2001 - 2002,500.0,200.0,0.4,100.0,100.0,1.0,,,,,,,,,
,,2002 - 2003,500.0,200.0,0.4,,,,,,,,,,,,
,,2003 - 2004,400.0,100.0,0.25,,,,,,,,,,,,
,,2004 - 2005,800.0,400.0,0.5,,,,,,,,,,,,
Himachal Pradesh,Bilaspur,2019 - 2020,38.0,28.65,0.75,,,,,,,,,,,,
,Chamba,2000 - 2001,,365.0,0.21,,,,,,,,,,,,
,,2001 - 2002,,458.0,0.25,,,,,,,,,,,,
,,2002 - 2003,,251.0,0.14,,,,,,,,,,,,
,,2005 - 2006,,107.0,0.07,,,,,,,,,,,,
,,2006 - 2007,,424.0,0.3,,,,,,,,,,,,
,,2007 - 2008,,458.0,0.3,,,,,,,,,,,,
,,2008 - 2009,,356.0,0.3,,,,,,,,,,,,
,,2009 - 2010,956.0,138.0,0.14,,,,,,,,,,,,
,,2010 - 2011,,242.0,0.23,,,,,,,,,,,,
,,2011 - 2012,,695.0,0.67,,,,,,,,,,,,
,,2012 - 2013,968.0,267.0,0.28,,,,,,,,,,,,
,,2013 - 2014,806.0,235.0,0.29,,,,,,,,,,,,
,,2014 - 2015,798.0,233.0,0.29,,,,,,,,,,,,
,,2015 - 2016,987.0,401.0,0.41,,,,,,,,,,,,
,,2016 - 2017,977.0,285.0,0.29,,,,,,,,,,,,
,,2017 - 2018,987.0,421.0,0.43,,,,,,,,,,,,
,,2018 - 2019,,966.0,0.88,,,,,,,,,,,,
,,2019 - 2020,,,0.98,,,,,,,,,,,,
,,2020 - 2021,7.0,7.0,1.0,30.0,30.0,1.0,,,,,,,,,
,,2021 - 2022,583.0,440.0,0.75,,,,,,,,,,,,
,,2022 - 2023,559.0,423.0,0.76,,,,,,,,,,,,
,Hamirpur,2001 - 2002,3.0,2.0,0.67,,,,,,,,,,,,
,,2002 - 2003,2.0,1.0,0.5,,,,,,,,,,,,
,,2019 - 2020,25.0,22.25,0.89,,,,,,,,,,,,
,Kangra,2000 - 2001,309.0,43.0,0.14,,,,,,,,,,,,
,,2001 - 2002,282.0,71.0,0.25,,,,,,,,,,,,
,,2002 - 2003,360.0,47.0,0.13,,,,,,,,,,,,
,,2005 - 2006,217.0,47.0,0.22,,,,,,,,,,,,
,,2006 - 2007,215.0,69.0,0.32,,,,,,,,,,,,
,,2007 - 2008,158.0,123.0,0.78,,,,,,,,,,,,
,,2008 - 2009,148.0,115.0,0.78,,,,,,,,,,,,
,,2009 - 2010,100.0,45.0,0.45,,,,,,,,,,,,
,,2010 - 2011,109.0,78.0,0.72,,,,,,,,,,,,
,,2011 - 2012,108.0,98.0,0.91,,,,,,,,,,,,
,,2012 - 2013,102.0,86.0,0.84,,,,,,,,,,,,
,,2013 - 2014,85.0,76.0,0.89,,,,,,,,,,,,
,,2014 - 2015,84.0,75.0,0.89,,,,,,,,,,,,
,,2015 - 2016,103.0,93.0,0.9,,,,,,,,,,,,
,,2016 - 2017,102.0,92.0,0.9,,,,,,,,,,,,
,,2017 - 2018,103.0,97.0,0.94,,,,,,,,,,,,
,,2018 - 2019,96.0,85.0,0.89,,,,,,,,,,,,
,,2019 - 2020,102.0,93.0,0.91,,,,,,,,,,,,
,Kinnaur,2000 - 2001,,974.0,0.41,,,,,,,,,,,,
,,2001 - 2002,,956.0,0.41,,,,,,,,,,,,
,,2002 - 2003,,982.0,0.44,,,,,,,,,,,,
,,2005 - 2006,,637.0,0.41,,,,,,,,,,,,
,,2006 - 2007,,771.0,0.49,,,,,,,,,,,,
,,2007 - 2008,,777.0,0.49,,,,,,,,,,,,
,,2008 - 2009,,692.0,0.49,,,,,,,,,,,,
,,2009 - 2010,,266.0,0.22,,,,,,,,,,,,
,,2010 - 2011,,467.0,0.36,,,,,,,,,,,,
,,2011 - 2012,,742.0,0.58,,,,,,,,,,,,
,,2012 - 2013,,515.0,0.4,,,,,,,,,,,,
,,2013 - 2014,,453.0,0.45,,,,,,,,,,,,
,,2014 - 2015,990.0,449.0,0.45,,,,,,,,,,,,
,,2015 - 2016,,755.0,0.62,,,,,,,,,,,,
,,2016 - 2017,,549.0,0.45,,,,,,,,,,,,
,,2017 - 2018,,,0.92,,,,,,,,,,,,
,,2018 - 2019,,584.0,0.44,,,,,,,,,,,,
,,2019 - 2020,,874.0,0.65,,,,,,,,,,,,
,,2020 - 2021,739.0,619.0,0.84,,,,,,,,,,,,
,Kullu,2000 - 2001,,259.0,0.16,,,,,,,,,,,,
,,2001 - 2002,,297.0,0.2,,,,,,,,,,,,
,,2002 - 2003,,43.0,0.03,,,,,,,,,,,,
,,2005 - 2006,561.0,187.0,0.33,,,,,,,,,,,,
,,2006 - 2007,627.0,184.0,0.29,,,,,,,,,,,,
,,2007 - 2008,10.0,6.0,0.6,,,,,,,,,,,,
,,2008 - 2009,30.0,19.0,0.63,,,,,,,,,,,,
,,2009 - 2010,14.0,7.0,0.5,,,,,,,,,,,,
,,2010 - 2011,15.0,12.0,0.8,,,,,,,,,,,,
,,2011 - 2012,15.0,15.0,1.0,,,,,,,,,,,,
,,2012 - 2013,14.0,14.0,1.0,,,,,,,,,,,,
,,2013 - 2014,11.0,11.0,1.0,,,,,,,,,,,,
,,2014 - 2015,11.0,11.0,1.0,,,,,,,,,,,,
,,2015 - 2016,14.0,14.0,1.0,,,,,,,,,,,,
,,2016 - 2017,14.0,14.0,1.0,,,,,,,,,,,,
,,2017 - 2018,14.0,14.0,1.0,,,,,,,,,,,,
,,2018 - 2019,103.0,102.0,0.99,,,,,,,,,,,,
,,2019 - 2020,133.0,133.0,1.0,,,,,,,,,,,,
,,2020 - 2021,42.0,23.0,0.55,,,,,,,,,,,,
,,2021 - 2022,36.0,20.0,0.56,,,,,,,,,,,,
,,2022 - 2023,34.0,19.0,0.56,,,,,,,,,,,,
,Lahul and spiti,2000 - 2001,149.0,61.0,0.41,,,,,,,,,,,,
,,2001 - 2002,72.0,29.0,0.4,,,,,,,,,,,,
,,2002 - 2003,51.0,21.0,0.41,,,,,,,,,,,,
,,2018 - 2019,26.0,16.0,0.62,,,,,,,,,,,,
,,2019 - 2020,45.0,29.0,0.64,,,,,,,,,,,,
,,2021 - 2022,89.0,117.0,1.31,,,,,,,,,,,,
,,2022 - 2023,23.0,30.0,1.3,,,,,,,,,,,,
,Mandi,2000 - 2001,,360.0,0.18,,,,,,,,,,,,
,,2001 - 2002,,257.0,0.15,,,,,,,,,,,,
,,2002 - 2003,,674.0,0.4,,,,,,,,,,,,
,,2005 - 2006,458.0,372.0,0.81,,,,,,,,,,,,
,,2006 - 2007,470.0,479.0,1.02,,,,,,,,,,,,
,,2007 - 2008,322.0,251.0,0.78,,,,,,,,,,,,
,,2008 - 2009,85.0,66.0,0.78,,,,,,,,,,,,
,,2009 - 2010,41.0,23.0,0.56,,,,,,,,,,,,
,,2010 - 2011,45.0,40.0,0.89,,,,,,,,,,,,
,,2011 - 2012,44.0,49.0,1.11,,,,,,,,,,,,
,,2012 - 2013,42.0,44.0,1.05,,,,,,,,,,,,
,,2013 - 2014,34.0,38.0,1.12,,,,,,,,,,,,
,,2014 - 2015,34.0,38.0,1.12,,,,,,,,,,,,
,,2015 - 2016,42.0,47.0,1.12,,,,,,,,,,,,
,,2016 - 2017,42.0,47.0,1.12,,,,,,,,,,,,
,,2017 - 2018,42.0,47.0,1.12,,,,,,,,,,,,
,,2018 - 2019,646.0,757.0,1.17,,,,,,,,,,,,
,,2019 - 2020,652.0,815.0,1.25,,,,,,,,,,,,
,,2020 - 2021,776.0,755.0,0.97,,,,,,,,,,,,
,,2021 - 2022,167.0,93.0,0.56,,,,,,,,,,,,
,,2022 - 2023,152.0,113.0,0.74,,,,,,,,,,,,
,Shimla,2000 - 2001,,,0.63,,,,,,,,,,,,
,,2001 - 2002,,,0.96,,,,,,,,,,,,
,,2002 - 2003,,,0.64,,,,,,,,,,,,
,,2005 - 2006,,,1.02,,,,,,,,,,,,
,,2006 - 2007,,,1.02,,,,,,,,,,,,
,,2007 - 2008,,,1.02,,,,,,,,,,,,
,,2008 - 2009,,,1.02,,,,,,,,,,,,
,,2009 - 2010,,,0.5,,,,,,,,,,,,
,,2010 - 2011,,,0.81,,,,,,,,,,,,
,,2011 - 2012,,,0.57,,,,,,,,,,,,
,,2012 - 2013,,,0.96,,,,,,,,,,,,
,,2013 - 2014,,,1.01,,,,,,,,,,,,
,,2014 - 2015,,,1.01,,,,,,,,,,,,
,,2015 - 2016,,,0.95,,,,,,,,,,,,
,,2016 - 2017,,,1.01,,,,,,,,,,,,
,,2017 - 2018,,,0.96,,,,,,,,,,,,
,,2018 - 2019,,,0.95,,,,,,,,,,,,
,,2019 - 2020,,,1.01,,,,,,,,,,,,
,,2020 - 2021,760.0,424.0,0.56,,,,,,,,,,,,
,,2021 - 2022,729.0,407.0,0.56,,,,,,,,,,,,
,,2022 - 2023,739.0,412.0,0.56,,,,,,,,,,,,
,Sirmaur,2000 - 2001,666.0,440.0,0.66,,,,,,,,,,,,
,,2001 - 2002,492.0,822.0,1.67,,,,,,,,,,,,
,,2002 - 2003,465.0,241.0,0.52,,,,,,,,,,,,
,,2005 - 2006,140.0,142.0,1.01,,,,,,,,,,,,
,,2006 - 2007,124.0,49.0,0.4,,,,,,,,,,,,
,,2007 - 2008,144.0,91.0,0.63,,,,,,,,,,,,
,,2008 - 2009,114.0,84.0,0.74,,,,,,,,,,,,
,,2009 - 2010,89.0,18.0,0.2,,,,,,,,,,,,
,,2010 - 2011,97.0,32.0,0.33,,,,,,,,,,,,
,,2011 - 2012,97.0,39.0,0.4,,,,,,,,,,,,
,,2012 - 2013,90.0,35.0,0.39,,,,,,,,,,,,
,,2013 - 2014,75.0,30.0,0.4,,,,,,,,,,,,
,,2014 - 2015,74.0,30.0,0.41,,,,,,,,,,,,
,,2015 - 2016,92.0,38.0,0.41,,,,,,,,,,,,
,,2016 - 2017,91.0,37.0,0.41,,,,,,,,,,,,
,,2017 - 2018,92.0,38.0,0.41,,,,,,,,,,,,
,,2018 - 2019,114.0,46.0,0.4,,,,,,,,,,,,
,,2019 - 2020,119.0,73.0,0.61,,,,,,,,,,,,
,,2020 - 2021,51.0,38.0,0.75,,,,,,,,,,,,
,,2021 - 2022,33.0,25.0,0.76,,,,,,,,,,,,
,,2022 - 2023,79.0,60.0,0.76,,,,,,,,,,,,
,Solan,2019 - 2020,45.0,37.8,0.84,,,,,,,,,,,,
,Una,2019 - 2020,65.0,55.9,0.86,,,,,,,,,,,,
Jammu and Kashmir,Badgam,2021 - 2022,,,,40.0,22.2,0.56,,,,,,,,,
,,2022 - 2023,,,,40.0,20.3,0.51,,,,,,,,,
,Bandipora,2010 - 2011,290.0,198.8,0.69,,,,,,,,,,,,
,,2011 - 2012,496.0,336.1,0.68,,,,,,,,,,,,
,,2012 - 2013,335.0,253.1,0.76,,,,,,,,,,,,
,,2015 - 2016,392.0,161.7,0.41,,,,,,,,,,,,
,,2016 - 2017,130.0,84.9,0.65,,,,,,,,,,,,
,,2017 - 2018,100.0,57.9,0.58,,,,,,,,,,,,
,,2018 - 2019,151.0,58.8,0.39,,,,,,,,,,,,
,,2019 - 2020,188.0,66.8,0.36,,,,,,,,,,,,
,,2020 - 2021,187.0,65.8,0.35,,,,,,,,,,,,
,Baramulla,2002 - 2003,220.0,40.0,0.18,,,,,,,,,,,,
,,2003 - 2004,468.0,186.0,0.4,,,,,,,,,,,,
,,2010 - 2011,473.0,203.0,0.43,,,,,,,,,,,,
,,2011 - 2012,473.0,203.0,0.43,,,,,,,,,,,,
,,2012 - 2013,473.0,203.0,0.43,3.0,2.2,0.73,,,,,,,,,
,,2015 - 2016,51.0,20.2,0.4,,,,,,,,,,,,
,,2016 - 2017,50.0,19.8,0.4,,,,,,,,,,,,
,,2017 - 2018,51.0,20.2,0.4,,,,,,,,,,,,
,,2019 - 2020,51.0,20.2,0.4,,,,,,,,,,,,
,,2020 - 2021,51.0,20.2,0.4,,,,,,,,,,,,
,Doda,2002 - 2003,250.0,50.0,0.2,,,,,,,,,,,,
,,2003 - 2004,,987.0,0.31,,,,,,,,,,,,
,,2016 - 2017,16.0,7.8,0.49,,,,,,,,,,,,
,,2017 - 2018,2.0,,0.0,,,,,,,,,,,,
,Ganderbal,2010 - 2011,45.0,17.8,0.4,,,,,,,,,,,,
,,2011 - 2012,45.0,17.8,0.4,,,,,,,,,,,,
,,2012 - 2013,45.0,17.8,0.4,,,,,,,,,,,,
,,2015 - 2016,25.0,9.9,0.4,,,,,,,,,,,,
,,2016 - 2017,24.0,9.5,0.4,,,,,,,,,,,,
,,2017 - 2018,24.0,9.5,0.4,,,,,,,,,,,,
,,2019 - 2020,24.0,8.4,0.35,,,,,,,,,,,,
,,2020 - 2021,20.0,7.0,0.35,,,,,,,,,,,,
,Jammu,2015 - 2016,,,,2.0,1.4,0.7,,,,,,,,,
,,2016 - 2017,,,,5.0,2.8,0.56,,,,,,,,,
,,2018 - 2019,,,,4.0,2.8,0.7,,,,,,,,,
,,2019 - 2020,,,,3.0,2.1,0.7,,,,,,,,,
,,2022 - 2023,,,,5.0,3.4,0.68,,,,,,,,,
,Kargil,2003 - 2004,516.0,287.0,0.56,,,,,,,,,,,,
,,2010 - 2011,574.0,317.3,0.55,,,,,,,,,,,,
,,2011 - 2012,577.0,319.6,0.55,,,,,,,,,,,,
,,2012 - 2013,577.0,319.7,0.55,,,,,,,,,,,,
,,2015 - 2016,817.0,464.1,0.57,,,,,,,,,,,,
,,2016 - 2017,980.0,559.1,0.57,,,,,,,,,,,,
,,2017 - 2018,,724.2,0.57,,,,,,,,,,,,
,,2018 - 2019,351.0,192.1,0.55,,,,,,,,,,,,
,Kathua,2003 - 2004,26.0,130.0,5.0,,,,,,,,,,,,
,,2010 - 2011,42.0,17.9,0.43,,,,,,,,,,,,
,,2011 - 2012,20.0,8.3,0.42,,,,,,,,,,,,
,,2012 - 2013,24.0,10.0,0.42,,,,,,,,,,,,
,,2015 - 2016,18.0,6.7,0.37,7.0,4.9,0.7,,,,,,,,,
,,2016 - 2017,22.0,9.4,0.43,,,,,,,,,,,,
,,2017 - 2018,20.0,8.8,0.44,,,,,,,,,,,,
,,2018 - 2019,21.0,9.0,0.43,3.0,2.1,0.7,,,,,,,,,
,,2019 - 2020,16.0,6.7,0.42,,,,,,,,,,,,
,,2020 - 2021,12.0,4.9,0.41,11.0,7.7,0.7,,,,,,,,,
,,2021 - 2022,,,,11.0,7.7,0.7,,,,,,,,,
,,2022 - 2023,,,,6.0,4.2,0.7,,,,,,,,,
,Kishtwar,2010 - 2011,,837.0,0.34,,,,,,,,,,,,
,,2011 - 2012,,914.5,0.37,,,,,,,,,,,,
,,2012 - 2013,,814.0,0.37,,,,,,,,,,,,
,,2015 - 2016,,475.7,0.38,,,,,,,,,,,,
,,2016 - 2017,,607.6,0.39,,,,,,,,,,,,
,,2017 - 2018,,637.6,0.39,,,,,,,,,,,,
,,2018 - 2019,680.0,264.3,0.39,,,,,,,,,,,,
,,2019 - 2020,,514.9,0.38,,,,,,,,,,,,
,,2020 - 2021,,579.1,0.37,,,,,,,,,,,,
,,2022 - 2023,,,,1.0,0.5,0.5,,,,,,,,,
,Kupwara,2003 - 2004,87.0,52.0,0.6,,,,,,,,,,,,
,,2010 - 2011,87.0,54.6,0.63,,,,,,,,,,,,
,,2011 - 2012,419.0,263.0,0.63,,,,,,,,,,,,
,,2012 - 2013,830.0,520.9,0.63,,,,,,,,,,,,
,,2015 - 2016,218.0,136.7,0.63,,,,,,,,,,,,
,,2016 - 2017,32.0,20.0,0.63,,,,,,,,,,,,
,,2017 - 2018,32.0,20.0,0.63,,,,,,,,,,,,
,,2018 - 2019,32.0,20.0,0.63,,,,,,,,,,,,
,,2019 - 2020,32.0,10.8,0.34,,,,,,,,,,,,
,,2020 - 2021,32.0,10.8,0.34,,,,,,,,,,,,
,Leh ladakh,2002 - 2003,3.0,1.0,0.33,,,,,,,,,,,,
,,2003 - 2004,,,0.57,,,,,,,,,,,,
,,2010 - 2011,270.0,162.0,0.6,,,,,,,,,,,,
,,2011 - 2012,560.0,336.0,0.6,,,,,,,,,,,,
,,2012 - 2013,547.0,328.2,0.6,,,,,,,,,,,,
,,2015 - 2016,544.0,326.1,0.6,27.0,24.3,0.9,,,,,,,,,
,,2016 - 2017,544.0,326.1,0.6,,,,,,,,,,,,
,,2017 - 2018,536.0,318.1,0.59,,,,,,,,,,,,
,,2018 - 2019,211.0,126.6,0.6,6.0,5.4,0.9,,,,,,,,,
,Rajauri,2012 - 2013,14.0,10.1,0.72,,,,,,,,,,,,
,,2019 - 2020,2.0,0.8,0.4,,,,,,,,,,,,
,Reasi,2011 - 2012,1.0,0.3,0.3,,,,,,,,,,,,
,Samba,2015 - 2016,,,,71.0,49.7,0.7,,,,,,,,,
,,2016 - 2017,,,,69.0,48.3,0.7,,,,,,,,,
,,2018 - 2019,22.0,7.0,0.32,,,,,,,,,,,,
,Srinagar,2003 - 2004,36.0,36.0,1.0,,,,,,,,,,,,
,Udhampur,2010 - 2011,7.0,1.9,0.27,,,,,,,,,,,,
,,2011 - 2012,16.0,4.4,0.28,,,,,,,,,,,,
,,2012 - 2013,12.0,3.3,0.28,1.0,0.8,0.8,,,,,,,,,
,,2015 - 2016,7.0,2.3,0.33,,,,,,,,,,,,
,,2016 - 2017,10.0,4.7,0.47,,,,,,,,,,,,
,,2017 - 2018,10.0,4.1,0.41,,,,,,,,,,,,
,,2018 - 2019,6.0,2.0,0.33,17.0,11.9,0.7,,,,,,,,,
,,2019 - 2020,17.0,8.2,0.48,4.0,2.8,0.7,,,,,,,,,
,,2020 - 2021,8.0,3.4,0.43,2.0,1.4,0.7,,,,,,,,,
,,2021 - 2022,,,,2.0,1.4,0.7,,,,,,,,,
,,2022 - 2023,,,,2.0,1.4,0.7,,,,,,,,,
Karnataka,Bagalkot,2000 - 2001,,723.0,0.63,,,,,,,,,,,,
,,2001 - 2002,43.0,16.0,0.37,,,,,,,,,,,,
,,2002 - 2003,271.0,67.0,0.25,,,,,,,,,,,,
,,2003 - 2004,67.0,39.0,0.58,,,,,,,,,,,,
,,2004 - 2005,54.0,19.0,0.35,,,,,,,,,,,,
,,2005 - 2006,121.0,34.0,0.28,,,,,,,,,,,,
,,2006 - 2007,52.0,14.0,0.27,,,,,,,,,,,,
,,2007 - 2008,69.0,23.0,0.33,,,,,,,,,,,,
,,2009 - 2010,54.0,15.0,0.28,,,,,,,,,,,,
,,2010 - 2011,26.0,10.0,0.38,,,,,,,,,,,,
,,2011 - 2012,25.0,8.0,0.32,,,,,,,,,,,,
,,2012 - 2013,1.0,,0.0,,,,,,,,,,,,
,,2016 - 2017,12.0,3.0,0.25,,,,,,,,,,,,
,,2017 - 2018,220.0,120.0,0.55,,,,,,,,,,,,
,,2018 - 2019,155.0,63.0,0.41,,,,,,,,,,,,
,,2019 - 2020,463.0,180.0,0.39,,,,,,,,,,,,
,,2020 - 2021,313.0,282.0,0.9,,,,,,,,,,,,
,,2021 - 2022,256.0,222.0,0.87,,,,,,,,,,,,
,,2022 - 2023,86.0,30.0,0.35,,,,,,,,,,,,
,Bangalore rural,2000 - 2001,456.0,243.0,0.53,,,,,,,,,,,,
,,2001 - 2002,445.0,383.0,0.86,,,,,,,,,,,,
,,2005 - 2006,183.0,136.0,0.74,,,,,,,,,,,,
,,2006 - 2007,33.0,21.0,0.64,,,,,,,,,,,,
,,2007 - 2008,12.0,6.0,0.5,,,,,,,,,,,,
,,2009 - 2010,8.0,4.0,0.5,,,,,,,,,,,,
,,2010 - 2011,15.0,7.0,0.47,,,,,,,,,,,,
,,2011 - 2012,11.0,5.0,0.45,,,,,,,,,,,,
,,2012 - 2013,9.0,4.0,0.44,,,,,,,,,,,,
,,2013 - 2014,11.0,7.0,0.64,,,,,,,,,,,,
,,2014 - 2015,17.0,11.0,0.65,,,,,,,,,,,,
,,2015 - 2016,70.0,22.0,0.31,,,,,,,,,,,,
,,2017 - 2018,23.0,13.0,0.57,,,,,,,,,,,,
,,2018 - 2019,3.0,3.0,1.0,,,,,,,,,,,,
,,2019 - 2020,25.0,14.0,0.56,,,,,,,,,,,,
,,2020 - 2021,27.0,32.0,1.19,,,,,,,,,,,,
,,2021 - 2022,17.0,18.0,1.06,,,,,,,,,,,,
,,2022 - 2023,22.0,0.41,0.02,,,,,,,,,,,,
,Belgaum,2000 - 2001,,,0.61,,,,,,,,,,,,
,,2001 - 2002,,,0.64,,,,,,,,,,,,
,,2002 - 2003,,,0.81,,,,,,,,,,,,
,,2003 - 2004,,,0.41,,,,,,,,,,,,
,,2004 - 2005,,,0.6,,,,,,,,,,,,
,,2005 - 2006,,,0.95,,,,,,,,,,,,
,,2006 - 2007,,,0.78,,,,,,,,,,,,
,,2007 - 2008,,,0.52,,,,,,,,,,,,
,,2009 - 2010,,,0.81,,,,,,,,,,,,
,,2010 - 2011,,,1.07,,,,,,,,,,,,
,,2011 - 2012,,,0.66,,,,,,,,,,,,
,,2012 - 2013,,393.0,0.39,,,,,,,,,,,,
,,2013 - 2014,,549.0,0.37,,,,,,,,,,,,
,,2014 - 2015,,,0.87,,,,,,,,,,,,
,,2015 - 2016,781.0,255.0,0.33,,,,,,,,,,,,
,,2016 - 2017,571.0,268.0,0.47,,,,,,,,,,,,
,,2017 - 2018,,,1.56,,,,,,,,,,,,
,,2018 - 2019,623.0,551.0,0.88,,,,,,,,,,,,
,,2019 - 2020,,734.0,0.45,,,,,,,,,,,,
,,2020 - 2021,,,1.11,,,,,,,,,,,,
,,2021 - 2022,975.0,980.0,1.01,,,,,,,,,,,,
,,2022 - 2023,607.0,64.0,0.11,,,,,,,,,,,,
,Bellary,2000 - 2001,,,0.64,,,,,,,,,,,,
,,2001 - 2002,,,0.37,,,,,,,,,,,,
,,2002 - 2003,,,0.22,,,,,,,,,,,,
,,2003 - 2004,,,0.45,,,,,,,,,,,,
,,2004 - 2005,,,0.38,,,,,,,,,,,,
