state,district,year,ragi_kharif_area_hectare,ragi_kharif_production_tonne,ragi_kharif_yield_tonne_per_hectare,ragi_rabi_area_hectare,ragi_rabi_production_tonne,ragi_rabi_yield_tonne_per_hectare,ragi_autumn_area_hectare,ragi_autumn_production_tonne,ragi_autumn_yield_tonne_per_hectare,ragi_summer_area_hectare,ragi_summer_production_tonne,ragi_summer_yield_tonne_per_hectare,ragi_whole_year_area_hectare,ragi_whole_year_production_tonne,ragi_whole_year_yield_tonne_per_hectare,ragi_winter_area_hectare,ragi_winter_production_tonne,ragi_winter_yield_tonne_per_hectare
,Giridih,2002 - 2003,,,,,,,,,0.37,,,,,,,,,
,,2003 - 2004,,,,,,,,,0.42,,,,,,,,,
,,2004 - 2005,,,,,,,,923.76,0.41,,,,,,,,,
,,2005 - 2006,,,,,,,,,0.82,,,,,,,,,
,,2006 - 2007,,,,,,,,,1.26,,,,,,,,,
,,2007 - 2008,,,,,,,,,1.74,,,,,,,,,
,,2008 - 2009,,,,,,,323.67,192.0,0.59,,,,,,,,,
,,2009 - 2010,,,,,,,,422.0,0.29,,,,,,,,,
,,2011 - 2012,,,,,,,,898.0,0.75,,,,,,,,,
,,2012 - 2013,,,,,,,,883.0,0.48,,,,,,,,,
,,2013 - 2014,,,,,,,,481.0,0.35,,,,,,,,,
,,2014 - 2015,,,,,,,,755.0,0.55,,,,,,,,,
,,2015 - 2016,,,,,,,,553.0,0.4,,,,,,,,,
,,2016 - 2017,,,,,,,,452.0,0.41,,,,,,,,,
,,2019 - 2020,845.0,304.0,0.36,,,,,,,,,,,,,,,
,,2020 - 2021,,420.0,0.38,,,,,,,,,,,,,,,
,,2021 - 2022,,591.0,0.41,,,,,,,,,,,,,,,
,,2022 - 2023,637.0,264.0,0.41,,,,,,,,,,,,,,,
,Godda,2006 - 2007,,,,,,,198.54,157.0,0.79,,,,,,,,,
,,2007 - 2008,,,,,,,194.46,105.0,0.54,,,,,,,,,
,,2008 - 2009,,,,,,,22.5,17.0,0.76,,,,,,,,,
,,2009 - 2010,,,,,,,83.0,23.0,0.28,,,,,,,,,
,,2011 - 2012,,,,,,,106.0,84.0,0.79,,,,,,,,,
,,2012 - 2013,,,,,,,28.0,25.0,0.89,,,,,,,,,
,,2013 - 2014,,,,,,,28.0,21.0,0.75,,,,,,,,,
,,2014 - 2015,,,,,,,25.0,23.0,0.92,,,,,,,,,
,,2015 - 2016,,,,,,,28.0,19.0,0.68,,,,,,,,,
,,2019 - 2020,120.0,131.0,1.09,,,,,,,,,,,,,,,
,,2020 - 2021,30.0,18.0,0.6,,,,,,,,,,,,,,,
,,2021 - 2022,800.0,600.0,0.75,,,,,,,,,,,,,,,
,,2022 - 2023,251.0,163.0,0.65,,,,,,,,,,,,,,,
,Gumla,2002 - 2003,,,,,,,,,2.42,,,,,,,,,
,,2003 - 2004,,,,,,,,,0.63,,,,,,,,,
,,2004 - 2005,,,,,,,,,0.93,,,,,,,,,
,,2005 - 2006,,,,,,,,,1.12,,,,,,,,,
,,2006 - 2007,,,,,,,,,0.8,,,,,,,,,
,,2007 - 2008,,,,,,,,,0.87,,,,,,,,,
,,2008 - 2009,,,,,,,,,0.75,,,,,,,,,
,,2009 - 2010,,,,,,,,,0.68,,,,,,,,,
,,2011 - 2012,,,,,,,,,0.92,,,,,,,,,
,,2012 - 2013,,,,,,,,,0.89,,,,,,,,,
,,2013 - 2014,,,,,,,,,0.53,,,,,,,,,
,,2014 - 2015,,,,,,,,,1.24,,,,,,,,,
,,2015 - 2016,,,,,,,,,1.37,,,,,,,,,
,,2016 - 2017,,,,,,,,,1.56,,,,,,,,,
,,2017 - 2018,,,1.38,,,,,,,,,,,,,,,
,,2018 - 2019,,,1.35,,,,,,,,,,,,,,,
,,2019 - 2020,,,1.38,,,,,,,,,,,,,,,
,,2020 - 2021,,,1.35,,,,,,,,,,,,,,,
,,2021 - 2022,,,1.22,,,,,,,,,,,,,,,
,,2022 - 2023,,,0.79,,,,,,,,,,,,,,,
,Hazaribagh,2002 - 2003,,,,,,,,,1.01,,,,,,,,,
,,2003 - 2004,,,,,,,,,1.06,,,,,,,,,
,,2004 - 2005,,,,,,,,,1.1,,,,,,,,,
,,2005 - 2006,,,,,,,,875.86,0.85,,,,,,,,,
,,2006 - 2007,,,,,,,993.85,,1.06,,,,,,,,,
,,2007 - 2008,,,,,,,964.98,845.0,0.88,,,,,,,,,
,,2008 - 2009,,,,,,,812.2,981.0,1.21,,,,,,,,,
,,2009 - 2010,,,,,,,484.0,302.0,0.62,,,,,,,,,
,,2011 - 2012,,,,,,,669.0,566.0,0.85,,,,,,,,,
,,2012 - 2013,,,,,,,653.0,741.0,1.13,,,,,,,,,
,,2013 - 2014,,,,,,,736.0,852.0,1.16,,,,,,,,,
,,2014 - 2015,,,,,,,805.0,955.0,1.19,,,,,,,,,
,,2015 - 2016,,,,,,,803.0,672.0,0.84,,,,,,,,,
,,2016 - 2017,,,,,,,634.0,600.0,0.95,,,,,,,,,
,,2017 - 2018,,925.0,0.71,,,,,,,,,,,,,,,
,,2018 - 2019,242.0,172.0,0.71,,,,,,,,,,,,,,,
,,2019 - 2020,187.0,129.0,0.69,,,,,,,,,,,,,,,
,,2020 - 2021,526.0,349.0,0.66,,,,,,,,,,,,,,,
,,2021 - 2022,,,0.69,,,,,,,,,,,,,,,
,,2022 - 2023,994.0,686.0,0.69,,,,,,,,,,,,,,,
,Jamtara,2006 - 2007,,,,,,,107.37,85.0,0.79,,,,,,,,,
,,2007 - 2008,,,,,,,97.93,53.0,0.54,,,,,,,,,
,,2008 - 2009,,,,,,,29.9,23.0,0.77,,,,,,,,,
,,2009 - 2010,,,,,,,25.0,7.0,0.28,,,,,,,,,
,,2011 - 2012,,,,,,,41.0,32.0,0.78,,,,,,,,,
,,2012 - 2013,,,,,,,43.0,38.0,0.88,,,,,,,,,
,,2013 - 2014,,,,,,,103.0,778.0,7.55,,,,,,,,,
,,2014 - 2015,,,,,,,45.0,41.0,0.91,,,,,,,,,
,,2021 - 2022,100.0,150.0,1.5,,,,,,,,,,,,,,,
,,2022 - 2023,,,1.0,,,,,,,,,,,,,,,
,Khunti,2008 - 2009,,,,,,,,,0.93,,,,,,,,,
,,2009 - 2010,,,,,,,,,0.51,,,,,,,,,
,,2011 - 2012,,,,,,,,,0.76,,,,,,,,,
,,2012 - 2013,,,,,,,,,0.85,,,,,,,,,
,,2013 - 2014,,,,,,,,,0.87,,,,,,,,,
,,2014 - 2015,,,,,,,,,0.8,,,,,,,,,
,,2015 - 2016,,,,,,,,,0.76,,,,,,,,,
,,2016 - 2017,,,,,,,,,0.84,,,,,,,,,
,,2017 - 2018,,,1.9,,,,,,,,,,,,,,,
,,2018 - 2019,,,1.18,,,,,,,,,,,,,,,
,,2019 - 2020,,,0.9,,,,,,,,,,,,,,,
,,2020 - 2021,,,0.9,,,,,,,,,,,,,,,
,,2021 - 2022,,,0.9,,,,,,,,,,,,,,,
,,2022 - 2023,,,0.9,,,,,,,,,,,,,,,
,Koderma,2002 - 2003,,,,,,,627.4,766.05,1.22,,,,,,,,,
,,2003 - 2004,,,,,,,,,1.41,,,,,,,,,
,,2004 - 2005,,,,,,,144.48,158.49,1.1,,,,,,,,,
,,2005 - 2006,,,,,,,542.1,535.05,0.99,,,,,,,,,
,,2006 - 2007,,,,,,,838.8,285.0,0.34,,,,,,,,,
,,2007 - 2008,,,,,,,868.25,978.0,1.13,,,,,,,,,
,,2008 - 2009,,,,,,,553.89,374.0,0.68,,,,,,,,,
,,2009 - 2010,,,,,,,285.0,343.0,1.2,,,,,,,,,
,,2011 - 2012,,,,,,,330.0,351.0,1.06,,,,,,,,,
,,2012 - 2013,,,,,,,481.0,473.0,0.98,,,,,,,,,
,,2013 - 2014,,,,,,,450.0,407.0,0.9,,,,,,,,,
,,2014 - 2015,,,,,,,469.0,527.0,1.12,,,,,,,,,
,,2015 - 2016,,,,,,,395.0,428.0,1.08,,,,,,,,,
,,2016 - 2017,,,,,,,361.0,220.0,0.61,,,,,,,,,
,,2017 - 2018,642.0,385.0,0.6,,,,,,,,,,,,,,,
,,2018 - 2019,674.0,404.0,0.6,,,,,,,,,,,,,,,
,,2019 - 2020,544.0,326.0,0.6,,,,,,,,,,,,,,,
,,2020 - 2021,582.0,349.0,0.6,,,,,,,,,,,,,,,
,,2021 - 2022,575.0,460.0,0.8,,,,,,,,,,,,,,,
,,2022 - 2023,582.0,466.0,0.8,,,,,,,,,,,,,,,
,Latehar,2004 - 2005,,,,,,,580.87,228.86,0.39,,,,,,,,,
,,2005 - 2006,,,,,,,464.28,269.28,0.58,,,,,,,,,
,,2006 - 2007,,,,,,,609.16,470.0,0.77,,,,,,,,,
,,2007 - 2008,,,,,,,591.14,639.0,1.08,,,,,,,,,
,,2008 - 2009,,,,,,,572.11,314.0,0.55,,,,,,,,,
,,2009 - 2010,,,,,,,561.0,246.0,0.44,,,,,,,,,
,,2011 - 2012,,,,,,,281.0,215.0,0.77,,,,,,,,,
,,2012 - 2013,,,,,,,462.0,206.0,0.45,,,,,,,,,
,,2013 - 2014,,,,,,,358.0,223.0,0.62,,,,,,,,,
,,2014 - 2015,,,,,,,339.0,171.0,0.5,,,,,,,,,
,,2015 - 2016,,,,,,,341.0,379.0,1.11,,,,,,,,,
,,2016 - 2017,,,,,,,255.0,296.0,1.16,,,,,,,,,
,,2017 - 2018,275.0,311.0,1.13,,,,,,,,,,,,,,,
,,2018 - 2019,22.0,25.0,1.14,,,,,,,,,,,,,,,
,,2019 - 2020,327.0,376.0,1.15,,,,,,,,,,,,,,,
,,2020 - 2021,325.0,374.0,1.15,,,,,,,,,,,,,,,
,,2021 - 2022,476.0,545.0,1.14,,,,,,,,,,,,,,,
,,2022 - 2023,63.0,72.0,1.14,,,,,,,,,,,,,,,
,Lohardaga,2002 - 2003,,,,,,,,,0.56,,,,,,,,,
,,2003 - 2004,,,,,,,,,0.52,,,,,,,,,
,,2004 - 2005,,,,,,,,867.91,0.74,,,,,,,,,
,,2005 - 2006,,,,,,,,973.75,0.83,,,,,,,,,
,,2006 - 2007,,,,,,,,,0.81,,,,,,,,,
,,2007 - 2008,,,,,,,,,1.02,,,,,,,,,
,,2008 - 2009,,,,,,,,,1.2,,,,,,,,,
,,2009 - 2010,,,,,,,,,0.77,,,,,,,,,
,,2011 - 2012,,,,,,,,,1.1,,,,,,,,,
,,2012 - 2013,,,,,,,,984.0,0.96,,,,,,,,,
,,2013 - 2014,,,,,,,990.0,812.0,0.82,,,,,,,,,
,,2014 - 2015,,,,,,,857.0,770.0,0.9,,,,,,,,,
,,2015 - 2016,,,,,,,954.0,695.0,0.73,,,,,,,,,
,,2016 - 2017,,,,,,,,,1.24,,,,,,,,,
,,2017 - 2018,,939.0,0.65,,,,,,,,,,,,,,,
,,2018 - 2019,,525.0,0.4,,,,,,,,,,,,,,,
,,2019 - 2020,,432.0,0.4,,,,,,,,,,,,,,,
,,2020 - 2021,,671.0,0.59,,,,,,,,,,,,,,,
,,2021 - 2022,750.0,450.0,0.6,,,,,,,,,,,,,,,
,,2022 - 2023,,455.0,0.4,,,,,,,,,,,,,,,
,Pakur,2006 - 2007,,,,,,,8.67,7.0,0.81,,,,,,,,,
,,2012 - 2013,,,,,,,2.0,2.0,1.0,,,,,,,,,
,Palamu,2002 - 2003,,,,,,,741.37,710.97,0.96,,,,,,,,,
,,2006 - 2007,,,,,,,503.23,388.0,0.77,,,,,,,,,
,,2007 - 2008,,,,,,,517.39,406.0,0.78,,,,,,,,,
,,2008 - 2009,,,,,,,510.95,310.0,0.61,,,,,,,,,
,,2009 - 2010,,,,,,,331.0,130.0,0.39,,,,,,,,,
,,2011 - 2012,,,,,,,117.0,57.0,0.49,,,,,,,,,
,,2012 - 2013,,,,,,,307.0,197.0,0.64,,,,,,,,,
,,2013 - 2014,,,,,,,226.0,110.0,0.49,,,,,,,,,
,,2014 - 2015,,,,,,,95.0,60.0,0.63,,,,,,,,,
,,2015 - 2016,,,,,,,135.0,60.0,0.44,,,,,,,,,
,,2016 - 2017,,,,,,,97.0,113.0,1.16,,,,,,,,,
,,2018 - 2019,184.0,50.0,0.27,,,,,,,,,,,,,,,
,,2019 - 2020,844.0,658.0,0.78,,,,,,,,,,,,,,,
,,2020 - 2021,175.0,141.0,0.81,,,,,,,,,,,,,,,
,,2021 - 2022,479.0,379.0,0.79,,,,,,,,,,,,,,,
,Ramgarh,2008 - 2009,,,,,,,86.93,129.0,1.48,,,,,,,,,
,,2009 - 2010,,,,,,,85.0,74.0,0.87,,,,,,,,,
,,2011 - 2012,,,,,,,46.0,19.0,0.41,,,,,,,,,
,,2012 - 2013,,,,,,,43.0,38.0,0.88,,,,,,,,,
,,2013 - 2014,,,,,,,46.0,46.0,1.0,,,,,,,,,
,,2014 - 2015,,,,,,,12.0,17.0,1.42,,,,,,,,,
,,2015 - 2016,,,,,,,26.0,26.0,1.0,,,,,,,,,
,,2017 - 2018,620.0,428.0,0.69,,,,,,,,,,,,,,,
,,2018 - 2019,92.0,63.0,0.68,,,,,,,,,,,,,,,
,,2019 - 2020,96.0,66.0,0.69,,,,,,,,,,,,,,,
,,2020 - 2021,235.0,162.0,0.69,,,,,,,,,,,,,,,
,,2021 - 2022,721.0,469.0,0.65,,,,,,,,,,,,,,,
,,2022 - 2023,671.0,436.0,0.65,,,,,,,,,,,,,,,
,Ranchi,2002 - 2003,,,,,,,,,0.8,,,,,,,,,
,,2003 - 2004,,,,,,,,,0.67,,,,,,,,,
,,2004 - 2005,,,,,,,,,0.59,,,,,,,,,
,,2005 - 2006,,,,,,,,,0.6,,,,,,,,,
,,2006 - 2007,,,,,,,,,0.88,,,,,,,,,
,,2007 - 2008,,,,,,,,,0.81,,,,,,,,,
,,2008 - 2009,,,,,,,,,1.24,,,,,,,,,
,,2009 - 2010,,,,,,,,,0.94,,,,,,,,,
,,2011 - 2012,,,,,,,,,1.23,,,,,,,,,
,,2012 - 2013,,,,,,,,,1.15,,,,,,,,,
,,2013 - 2014,,,,,,,,,0.78,,,,,,,,,
,,2014 - 2015,,,,,,,,,0.84,,,,,,,,,
,,2015 - 2016,,,,,,,,,0.48,,,,,,,,,
,,2016 - 2017,,,,,,,,,0.98,,,,,,,,,
,,2017 - 2018,,,0.75,,,,,,,,,,,,,,,
,,2018 - 2019,,,0.75,,,,,,,,,,,,,,,
,,2019 - 2020,,,0.81,,,,,,,,,,,,,,,
,,2020 - 2021,,,0.81,,,,,,,,,,,,,,,
,,2021 - 2022,,,0.81,,,,,,,,,,,,,,,
,,2022 - 2023,,,0.8,,,,,,,,,,,,,,,
,Sahebganj,2006 - 2007,,,,,,,2.57,2.0,0.78,,,,,,,,,
,,2007 - 2008,,,,,,,2.08,1.0,0.48,,,,,,,,,
,,2011 - 2012,,,,,,,24.0,19.0,0.79,,,,,,,,,
,,2021 - 2022,46.0,28.0,0.61,,,,,,,,,,,,,,,
,Saraikela kharsawan,2006 - 2007,,,,,,,842.88,667.0,0.79,,,,,,,,,
,,2017 - 2018,444.0,333.0,0.75,,,,,,,,,,,,,,,
,,2018 - 2019,624.0,406.0,0.65,,,,,,,,,,,,,,,
,,2020 - 2021,117.0,76.0,0.65,,,,,,,,,,,,,,,
,,2021 - 2022,90.0,59.0,0.66,,,,,,,,,,,,,,,
,,2022 - 2023,120.0,78.0,0.65,,,,,,,,,,,,,,,
,Simdega,2003 - 2004,,,,,,,,,0.82,,,,,,,,,
,,2004 - 2005,,,,,,,,,1.23,,,,,,,,,
,,2005 - 2006,,,,,,,,,0.78,,,,,,,,,
,,2006 - 2007,,,,,,,,,0.29,,,,,,,,,
,,2007 - 2008,,,,,,,,,0.8,,,,,,,,,
,,2008 - 2009,,,,,,,,,0.89,,,,,,,,,
,,2009 - 2010,,,,,,,,,1.14,,,,,,,,,
,,2011 - 2012,,,,,,,,,0.89,,,,,,,,,
,,2012 - 2013,,,,,,,,,0.72,,,,,,,,,
,,2013 - 2014,,,,,,,,,0.79,,,,,,,,,
,,2014 - 2015,,,,,,,,,0.96,,,,,,,,,
,,2015 - 2016,,,,,,,,,0.62,,,,,,,,,
,,2016 - 2017,,,,,,,,,1.28,,,,,,,,,
,,2017 - 2018,,,0.8,,,,,,,,,,,,,,,
,,2018 - 2019,,,0.8,,,,,,,,,,,,,,,
,,2019 - 2020,,,0.8,,,,,,,,,,,,,,,
,,2020 - 2021,,,0.8,,,,,,,,,,,,,,,
,,2021 - 2022,,,1.2,,,,,,,,,,,,,,,
,,2022 - 2023,,,1.0,,,,,,,,,,,,,,,
,West singhbhum,2006 - 2007,,,,,,,656.79,520.0,0.79,,,,,,,,,
,,2008 - 2009,,,,,,,632.24,449.0,0.71,,,,,,,,,
,,2009 - 2010,,,,,,,520.0,320.0,0.62,,,,,,,,,
,,2011 - 2012,,,,,,,554.0,524.0,0.95,,,,,,,,,
,,2012 - 2013,,,,,,,314.0,270.0,0.86,,,,,,,,,
,,2013 - 2014,,,,,,,396.0,300.0,0.76,,,,,,,,,
,,2014 - 2015,,,,,,,359.0,331.0,0.92,,,,,,,,,
,,2015 - 2016,,,,,,,319.0,283.0,0.89,,,,,,,,,
,,2016 - 2017,,,,,,,310.0,360.0,1.16,,,,,,,,,
,,2017 - 2018,,,0.59,,,,,,,,,,,,,,,
,,2018 - 2019,,906.0,0.58,,,,,,,,,,,,,,,
,,2019 - 2020,202.0,118.0,0.58,,,,,,,,,,,,,,,
,,2020 - 2021,181.0,105.0,0.58,,,,,,,,,,,,,,,
,,2021 - 2022,,,0.58,,,,,,,,,,,,,,,
,,2022 - 2023,,969.0,0.58,,,,,,,,,,,,,,,
Karnataka,Bagalkot,2018 - 2019,24.0,29.0,1.21,,,,,,,,,,,,,,,
,,2019 - 2020,46.0,80.0,1.74,76.0,108.0,1.42,,,,,,,,,,,,
,,2020 - 2021,59.0,104.0,1.76,71.0,109.0,1.54,,,,,,,,,,,,
,,2021 - 2022,60.0,79.0,1.32,36.0,49.0,1.36,,,,,,,,,,,,
,,2022 - 2023,12.0,17.0,1.42,,,,,,,,,,,,,,,
,Bangalore rural,2000 - 2001,,,2.06,282.0,438.0,1.55,,,,,,1.94,,,,,,
,,2001 - 2002,,,1.94,168.0,230.0,1.37,,,,645.0,,1.76,,,,,,
,,2002 - 2003,,,0.93,427.0,671.0,1.57,,,,426.0,489.0,1.15,,,,,,
,,2003 - 2004,,,1.89,245.0,225.0,0.92,,,,449.0,534.0,1.19,,,,,,
,,2004 - 2005,,,2.55,145.0,238.0,1.64,,,,521.0,830.0,1.59,,,,,,
,,2005 - 2006,,,2.07,150.0,436.0,2.91,,,,508.0,,2.18,,,,,,
,,2006 - 2007,,,1.13,257.0,513.0,2.0,,,,255.0,542.0,2.13,,,,,,
,,2007 - 2008,,,2.33,108.0,234.0,2.17,,,,139.0,289.0,2.08,,,,,,
,,2008 - 2009,,,2.3,211.0,441.0,2.09,,,,217.0,432.0,1.99,,,,,,
,,2009 - 2010,,,2.22,143.0,335.0,2.34,,,,143.0,268.0,1.87,,,,,,
,,2010 - 2011,,,2.62,203.0,421.0,2.07,,,,117.0,229.0,1.96,,,,,,
,,2011 - 2012,,,2.35,155.0,312.0,2.01,,,,103.0,198.0,1.92,,,,,,
,,2012 - 2013,,,2.33,123.0,177.0,1.44,,,,91.0,136.0,1.49,,,,,,
,,2013 - 2014,,,2.57,177.0,258.0,1.46,,,,36.0,71.0,1.97,,,,,,
,,2014 - 2015,,,2.57,76.0,123.0,1.62,,,,42.0,75.0,1.79,,,,,,
,,2015 - 2016,,,2.04,111.0,187.0,1.68,,,,48.0,82.0,1.71,,,,,,
,,2016 - 2017,,,1.21,188.0,195.0,1.04,,,,160.0,289.0,1.81,,,,,,
,,2017 - 2018,,,2.52,105.0,168.0,1.6,,,,39.0,68.0,1.74,,,,,,
,,2018 - 2019,,,1.64,141.0,196.0,1.39,,,,40.0,72.0,1.8,,,,,,
,,2019 - 2020,,,2.18,159.0,225.0,1.42,,,,32.0,57.0,1.78,,,,,,
,,2020 - 2021,,,2.21,773.0,,1.54,,,,63.0,117.0,1.86,,,,,,
,,2021 - 2022,,,1.74,327.0,441.0,1.35,,,,25.0,44.0,1.76,,,,,,
,,2022 - 2023,,,1.91,524.0,712.0,1.36,,,,53.0,91.0,1.72,,,,,,
,Belgaum,2000 - 2001,,,1.36,,,,,,,,,,,,,,,
,,2001 - 2002,,,0.96,,,,,,,,,,,,,,,
,,2002 - 2003,,,0.58,,,,,,,,,,,,,,,
,,2003 - 2004,,,0.79,,,,,,,,,,,,,,,
,,2004 - 2005,,,1.16,,,,,,,,,,,,,,,
,,2005 - 2006,,756.0,0.48,,,,,,,,,,,,,,,
,,2006 - 2007,,941.0,0.06,,,,,,,,,,,,,,,
,,2007 - 2008,,496.0,0.45,,,,,,,,,,,,,,,
,,2008 - 2009,969.0,326.0,0.34,,,,,,,,,,,,,,,
,,2009 - 2010,,589.0,0.37,,,,,,,,,,,,,,,
,,2010 - 2011,,867.0,0.64,,,,,,,,,,,,,,,
,,2011 - 2012,525.0,371.0,0.71,,,,,,,,,,,,,,,
,,2012 - 2013,903.0,672.0,0.74,,,,,,,,,,,,,,,
,,2013 - 2014,,,0.88,62.0,90.0,1.45,,,,,,,,,,,,
,,2014 - 2015,,,1.17,101.0,164.0,1.62,,,,,,,,,,,,
,,2015 - 2016,145.0,30.0,0.21,101.0,171.0,1.69,,,,,,,,,,,,
,,2016 - 2017,,,1.36,133.0,138.0,1.04,,,,,,,,,,,,
,,2017 - 2018,433.0,597.0,1.38,,,,,,,,,,,,,,,
,,2018 - 2019,,,1.24,,,,,,,,,,,,,,,
,,2019 - 2020,,,1.18,98.0,139.0,1.42,,,,,,,,,,,,
,,2020 - 2021,,,1.31,119.0,183.0,1.54,,,,14.0,26.0,1.86,,,,,,
,,2021 - 2022,,,1.33,68.0,91.0,1.34,,,,32.0,58.0,1.81,,,,,,
,,2022 - 2023,647.0,783.0,1.21,88.0,120.0,1.36,,,,12.0,20.0,1.67,,,,,,
,Bellary,2000 - 2001,,,1.07,,,,,,,10.0,20.0,2.0,,,,,,
,,2001 - 2002,,,1.38,10.0,11.0,1.1,,,,,,,,,,,,
,,2002 - 2003,,,0.44,10.0,16.0,1.6,,,,14.0,16.0,1.14,,,,,,
,,2003 - 2004,,,0.82,211.0,29.0,0.14,,,,15.0,18.0,1.2,,,,,,
,,2004 - 2005,,,0.83,8.0,13.0,1.63,,,,44.0,70.0,1.59,,,,,,
,,2005 - 2006,,,0.87,,,,,,,82.0,179.0,2.18,,,,,,
,,2006 - 2007,,,0.45,,,,,,,84.0,179.0,2.13,,,,,,
,,2007 - 2008,,,0.72,,,,,,,63.0,131.0,2.08,,,,,,
,,2008 - 2009,,,0.5,54.0,79.0,1.46,,,,69.0,137.0,1.99,,,,,,
,,2009 - 2010,,,0.32,25.0,35.0,1.4,,,,68.0,128.0,1.88,,,,,,
,,2010 - 2011,,,0.6,,,,,,,38.0,74.0,1.95,,,,,,
,,2011 - 2012,,,0.69,13.0,24.0,1.85,,,,149.0,287.0,1.93,,,,,,
,,2012 - 2013,,,0.49,6.0,9.0,1.5,,,,66.0,99.0,1.5,,,,,,
,,2013 - 2014,,,0.72,149.0,217.0,1.46,,,,187.0,367.0,1.96,,,,,,
,,2014 - 2015,,,0.7,67.0,109.0,1.63,,,,189.0,337.0,1.78,,,,,,
,,2015 - 2016,,,0.58,10.0,17.0,1.7,,,,227.0,388.0,1.71,,,,,,
,,2016 - 2017,,,1.05,312.0,323.0,1.04,,,,79.0,143.0,1.81,,,,,,
,,2017 - 2018,,,1.35,281.0,450.0,1.6,,,,682.0,,1.74,,,,,,
,,2018 - 2019,,,0.74,,,1.56,,,,684.0,,1.8,,,,,,
,,2019 - 2020,,,1.21,,,1.36,,,,875.0,,1.31,,,,,,
,,2020 - 2021,,,1.33,,,1.74,,,,954.0,,1.66,,,,,,
,,2021 - 2022,,,1.1,,,1.47,,,,,,1.53,,,,,,
,,2022 - 2023,832.0,456.0,0.55,,,1.36,,,,218.0,374.0,1.72,,,,,,
,Bengaluru urban,2000 - 2001,,,2.32,175.0,272.0,1.55,,,,362.0,718.0,1.98,,,,,,
,,2001 - 2002,,,2.34,152.0,208.0,1.37,,,,179.0,274.0,1.53,,,,,,
,,2002 - 2003,,,1.08,349.0,548.0,1.57,,,,146.0,168.0,1.15,,,,,,
,,2003 - 2004,,,1.78,133.0,122.0,0.92,,,,78.0,93.0,1.19,,,,,,
,,2004 - 2005,,,2.92,43.0,71.0,1.65,,,,68.0,108.0,1.59,,,,,,
,,2005 - 2006,,,2.45,54.0,157.0,2.91,,,,140.0,306.0,2.19,,,,,,
,,2006 - 2007,,,1.01,150.0,299.0,1.99,,,,246.0,523.0,2.13,,,,,,
,,2007 - 2008,,,2.47,147.0,318.0,2.16,,,,123.0,256.0,2.08,,,,,,
,,2008 - 2009,,,2.45,142.0,297.0,2.09,,,,97.0,193.0,1.99,,,,,,
,,2009 - 2010,,,2.25,87.0,204.0,2.34,,,,82.0,154.0,1.88,,,,,,
,,2010 - 2011,,,2.58,80.0,166.0,2.08,,,,113.0,221.0,1.96,,,,,,
,,2011 - 2012,,,2.87,122.0,245.0,2.01,,,,110.0,212.0,1.93,,,,,,
,,2012 - 2013,,,2.2,43.0,62.0,1.44,,,,95.0,142.0,1.49,,,,,,
,,2013 - 2014,,,3.15,104.0,152.0,1.46,,,,72.0,141.0,1.96,,,,,,
,,2014 - 2015,,,2.8,116.0,188.0,1.62,,,,34.0,61.0,1.79,,,,,,
,,2015 - 2016,,,2.26,19.0,32.0,1.68,,,,32.0,55.0,1.72,,,,,,
,,2016 - 2017,,,0.48,164.0,170.0,1.04,,,,63.0,114.0,1.81,,,,,,
,,2017 - 2018,,,1.84,132.0,211.0,1.6,,,,49.0,85.0,1.73,,,,,,
,,2018 - 2019,,,1.59,30.0,42.0,1.4,,,,20.0,36.0,1.8,,,,,,
,,2019 - 2020,,,2.05,376.0,533.0,1.42,,,,8.0,14.0,1.75,,,,,,
,,2020 - 2021,,,2.45,158.0,244.0,1.54,,,,3.0,6.0,2.0,,,,,,
,,2021 - 2022,,,1.7,112.0,151.0,1.35,,,,10.0,18.0,1.8,,,,,,
,,2022 - 2023,,,1.81,428.0,582.0,1.36,,,,,,,,,,,,
,Bidar,2018 - 2019,12.0,14.0,1.17,,,,,,,,,,,,,,,
,,2019 - 2020,36.0,63.0,1.75,24.0,34.0,1.42,,,,,,,,,,,,
,,2020 - 2021,75.0,132.0,1.76,21.0,32.0,1.52,,,,,,,,,,,,
,,2021 - 2022,48.0,63.0,1.31,17.0,22.0,1.29,,,,4.0,7.0,1.75,,,,,,
,,2022 - 2023,5.0,7.0,1.4,,,,,,,,,,,,,,,
,Bijapur,2018 - 2019,76.0,91.0,1.2,,,,,,,,,,,,,,,
,,2019 - 2020,110.0,192.0,1.75,89.0,126.0,1.42,,,,,,,,,,,,
,,2020 - 2021,56.0,99.0,1.77,120.0,185.0,1.54,,,,,,,,,,,,
,,2021 - 2022,53.0,70.0,1.32,86.0,116.0,1.35,,,,,,,,,,,,
,,2022 - 2023,49.0,70.0,1.43,64.0,87.0,1.36,,,,,,,,,,,,
,Chamarajanagar,2000 - 2001,,,1.55,105.0,163.0,1.55,,,,708.0,,1.94,,,,,,
,,2001 - 2002,,,1.62,,,1.17,,,,900.0,,1.76,,,,,,
,,2002 - 2003,,,1.31,,,1.57,,,,866.0,994.0,1.15,,,,,,
,,2003 - 2004,,,0.63,,,0.78,,,,,,1.19,,,,,,
,,2004 - 2005,,,1.45,546.0,914.0,1.67,,,,505.0,804.0,1.59,,,,,,
,,2005 - 2006,,,1.33,514.0,,2.76,,,,608.0,,1.69,,,,,,
