state,district,year,sannhamp_whole_year_area_hectare,sannhamp_whole_year_production_tonne,sannhamp_whole_year_yield_tonne_per_hectare,sannhamp_kharif_area_hectare,sannhamp_kharif_production_tonne,sannhamp_kharif_yield_tonne_per_hectare,sannhamp_rabi_area_hectare,sannhamp_rabi_production_tonne,sannhamp_rabi_yield_tonne_per_hectare,sannhamp_winter_area_hectare,sannhamp_winter_production_tonne,sannhamp_winter_yield_tonne_per_hectare
,,2009 - 2010,,,,13.0,2.0,0.15,,,,,,
,,2010 - 2011,,,,2.0,1.0,0.5,,,,,,
,,2011 - 2012,,,,1.0,,0.0,,,,,,
,,2014 - 2015,,,,6.0,2.0,0.33,,,,,,
,Banda,2002 - 2003,531.0,167.0,0.31,,,,,,,,,
,,2003 - 2004,615.0,185.0,0.3,,,,,,,,,
,,2004 - 2005,,,,468.0,130.0,0.28,,,,,,
,,2005 - 2006,,,,543.0,188.0,0.35,,,,,,
,,2006 - 2007,,,,409.0,114.0,0.28,,,,,,
,,2007 - 2008,,,,403.0,78.0,0.19,,,,,,
,,2008 - 2009,,,,346.0,111.0,0.32,,,,,,
,,2009 - 2010,,,,286.0,53.0,0.19,,,,,,
,,2010 - 2011,,,,423.0,138.0,0.33,,,,,,
,,2011 - 2012,,,,279.0,77.0,0.28,,,,,,
,,2012 - 2013,,,,277.0,102.0,0.37,,,,,,
,,2013 - 2014,,,,172.0,49.0,0.28,,,,,,
,,2014 - 2015,,,,177.0,68.0,0.38,,,,,,
,,2015 - 2016,,,,139.0,40.0,0.29,,,,,,
,,2016 - 2017,,,,278.0,65.0,0.23,,,,,,
,,2017 - 2018,,,,230.0,44.0,0.19,,,,,,
,,2018 - 2019,,,,196.0,38.0,0.19,,,,,,
,,2019 - 2020,,,,187.0,53.0,0.28,,,,,,
,,2020 - 2021,,,,255.0,70.0,0.27,,,,,,
,,2021 - 2022,,,,124.0,73.0,0.59,,,,,,
,,2022 - 2023,,,,267.0,156.0,0.58,,,,,,
,Barabanki,2002 - 2003,3.0,1.0,0.33,,,,,,,,,
,,2003 - 2004,4.0,1.0,0.25,,,,,,,,,
,Bareilly,2003 - 2004,1.0,,0.0,,,,,,,,,
,,2004 - 2005,,,,1.0,,0.0,,,,,,
,,2005 - 2006,,,,2.0,1.0,0.5,,,,,,
,,2007 - 2008,,,,4.0,1.0,0.25,,,,,,
,,2009 - 2010,,,,9.0,2.0,0.22,,,,,,
,Bijnor,2002 - 2003,2.0,1.0,0.5,,,,,,,,,
,,2003 - 2004,2.0,,0.0,,,,,,,,,
,,2004 - 2005,,,,4.0,1.0,0.25,,,,,,
,,2005 - 2006,,,,2.0,1.0,0.5,,,,,,
,,2008 - 2009,,,,1.0,1.0,1.0,,,,,,
,Budaun,2003 - 2004,1.0,,0.0,,,,,,,,,
,,2004 - 2005,,,,2.0,1.0,0.5,,,,,,
,,2006 - 2007,,,,3.0,1.0,0.33,,,,,,
,,2007 - 2008,,,,4.0,1.0,0.25,,,,,,
,,2010 - 2011,,,,2.0,1.0,0.5,,,,,,
,,2012 - 2013,,,,6.0,2.0,0.33,,,,,,
,,2014 - 2015,,,,1.0,1.0,1.0,,,,,,
,Bulandshahr,2002 - 2003,2.0,1.0,0.5,,,,,,,,,
,,2003 - 2004,2.0,1.0,0.5,,,,,,,,,
,,2008 - 2009,,,,9.0,3.0,0.33,,,,,,
,,2013 - 2014,,,,8.0,2.0,0.25,,,,,,
,,2016 - 2017,,,,2.0,1.0,0.5,,,,,,
,,2017 - 2018,,,,8.0,2.0,0.25,,,,,,
,,2018 - 2019,,,,4.0,1.0,0.25,,,,,,
,,2019 - 2020,,,,5.0,1.0,0.2,,,,,,
,,2020 - 2021,,,,1.0,0.0,0.0,,,,,,
,,2021 - 2022,,,,4.0,2.0,0.5,,,,,,
,,2022 - 2023,,,,5.0,3.0,0.6,,,,,,
,Chandauli,2002 - 2003,20.0,6.0,0.3,,,,,,,,,
,,2003 - 2004,12.0,4.0,0.33,,,,,,,,,
,,2004 - 2005,,,,11.0,3.0,0.27,,,,,,
,,2005 - 2006,,,,12.0,4.0,0.33,,,,,,
,,2007 - 2008,,,,12.0,2.0,0.17,,,,,,
,,2009 - 2010,,,,15.0,3.0,0.2,,,,,,
,,2011 - 2012,,,,16.0,4.0,0.25,,,,,,
,,2012 - 2013,,,,3.0,1.0,0.33,,,,,,
,,2013 - 2014,,,,3.0,1.0,0.33,,,,,,
,,2016 - 2017,,,,3.0,1.0,0.33,,,,,,
,,2017 - 2018,,,,3.0,1.0,0.33,,,,,,
,,2018 - 2019,,,,3.0,,0.0,,,,,,
,,2019 - 2020,,,,3.0,1.0,0.33,,,,,,
,,2020 - 2021,,,,2.0,1.0,0.5,,,,,,
,,2022 - 2023,,,,3.0,2.0,0.67,,,,,,
,Chitrakoot,2002 - 2003,100.0,31.0,0.31,,,,,,,,,
,,2003 - 2004,148.0,45.0,0.3,,,,,,,,,
,,2004 - 2005,,,,105.0,29.0,0.28,,,,,,
,,2005 - 2006,,,,151.0,52.0,0.34,,,,,,
,,2006 - 2007,,,,98.0,27.0,0.28,,,,,,
,,2007 - 2008,,,,141.0,27.0,0.19,,,,,,
,,2008 - 2009,,,,115.0,36.0,0.31,,,,,,
,,2009 - 2010,,,,27.0,5.0,0.19,,,,,,
,,2010 - 2011,,,,103.0,34.0,0.33,,,,,,
,,2011 - 2012,,,,80.0,22.0,0.28,,,,,,
,,2012 - 2013,,,,84.0,31.0,0.37,,,,,,
,,2013 - 2014,,,,49.0,14.0,0.29,,,,,,
,,2014 - 2015,,,,25.0,10.0,0.4,,,,,,
,,2015 - 2016,,,,108.0,31.0,0.29,,,,,,
,,2016 - 2017,,,,11.0,2.0,0.18,,,,,,
,,2017 - 2018,,,,54.0,10.0,0.19,,,,,,
,,2018 - 2019,,,,54.0,10.0,0.19,,,,,,
,,2019 - 2020,,,,54.0,15.0,0.28,,,,,,
,,2021 - 2022,,,,77.0,45.0,0.58,,,,,,
,,2022 - 2023,,,,54.0,32.0,0.59,,,,,,
,Deoria,2002 - 2003,1.0,,0.0,,,,,,,,,
,,2003 - 2004,3.0,1.0,0.33,,,,,,,,,
,Etah,2002 - 2003,24.0,8.0,0.33,,,,,,,,,
,,2003 - 2004,20.0,6.0,0.3,,,,,,,,,
,,2004 - 2005,,,,6.0,2.0,0.33,,,,,,
,,2005 - 2006,,,,18.0,6.0,0.33,,,,,,
,,2006 - 2007,,,,5.0,2.0,0.4,,,,,,
,,2007 - 2008,,,,21.0,4.0,0.19,,,,,,
,,2008 - 2009,,,,1.0,1.0,1.0,,,,,,
,,2009 - 2010,,,,1.0,,0.0,,,,,,
,,2010 - 2011,,,,2.0,1.0,0.5,,,,,,
,,2011 - 2012,,,,16.0,4.0,0.25,,,,,,
,,2012 - 2013,,,,16.0,6.0,0.38,,,,,,
,,2013 - 2014,,,,13.0,4.0,0.31,,,,,,
,,2015 - 2016,,,,1.0,,0.0,,,,,,
,,2016 - 2017,,,,27.0,6.0,0.22,,,,,,
,,2017 - 2018,,,,25.0,5.0,0.2,,,,,,
,,2018 - 2019,,,,20.0,4.0,0.2,,,,,,
,,2019 - 2020,,,,12.0,3.0,0.25,,,,,,
,,2020 - 2021,,,,29.0,8.0,0.28,,,,,,
,,2021 - 2022,,,,32.0,19.0,0.59,,,,,,
,,2022 - 2023,,,,17.0,10.0,0.59,,,,,,
,Etawah,2002 - 2003,2.0,1.0,0.5,,,,,,,,,
,,2004 - 2005,,,,3.0,1.0,0.33,,,,,,
,,2007 - 2008,,,,3.0,1.0,0.33,,,,,,
,,2009 - 2010,,,,4.0,1.0,0.25,,,,,,
,,2010 - 2011,,,,1.0,,0.0,,,,,,
,,2012 - 2013,,,,1.0,,0.0,,,,,,
,Farrukhabad,2002 - 2003,10.0,3.0,0.3,,,,,,,,,
,,2003 - 2004,4.0,1.0,0.25,,,,,,,,,
,,2004 - 2005,,,,13.0,4.0,0.31,,,,,,
,,2005 - 2006,,,,5.0,2.0,0.4,,,,,,
,,2006 - 2007,,,,15.0,4.0,0.27,,,,,,
,,2007 - 2008,,,,2.0,,0.0,,,,,,
,,2009 - 2010,,,,1.0,,0.0,,,,,,
,,2011 - 2012,,,,3.0,1.0,0.33,,,,,,
,,2013 - 2014,,,,3.0,1.0,0.33,,,,,,
,,2014 - 2015,,,,2.0,1.0,0.5,,,,,,
,,2015 - 2016,,,,6.0,2.0,0.33,,,,,,
,,2016 - 2017,,,,11.0,2.0,0.18,,,,,,
,,2017 - 2018,,,,4.0,1.0,0.25,,,,,,
,,2018 - 2019,,,,4.0,1.0,0.25,,,,,,
,,2019 - 2020,,,,4.0,1.0,0.25,,,,,,
,,2021 - 2022,,,,4.0,2.0,0.5,,,,,,
,,2022 - 2023,,,,4.0,2.0,0.5,,,,,,
,Fatehpur,2002 - 2003,189.0,59.0,0.31,,,,,,,,,
,,2003 - 2004,149.0,45.0,0.3,,,,,,,,,
,,2004 - 2005,,,,120.0,33.0,0.28,,,,,,
,,2005 - 2006,,,,206.0,71.0,0.34,,,,,,
,,2006 - 2007,,,,113.0,31.0,0.27,,,,,,
,,2007 - 2008,,,,62.0,12.0,0.19,,,,,,
,,2008 - 2009,,,,42.0,13.0,0.31,,,,,,
,,2009 - 2010,,,,53.0,10.0,0.19,,,,,,
,,2010 - 2011,,,,15.0,5.0,0.33,,,,,,
,,2011 - 2012,,,,36.0,10.0,0.28,,,,,,
,,2012 - 2013,,,,22.0,8.0,0.36,,,,,,
,,2013 - 2014,,,,24.0,7.0,0.29,,,,,,
,,2014 - 2015,,,,25.0,10.0,0.4,,,,,,
,,2015 - 2016,,,,3.0,1.0,0.33,,,,,,
,,2016 - 2017,,,,24.0,6.0,0.25,,,,,,
,,2017 - 2018,,,,21.0,4.0,0.19,,,,,,
,,2019 - 2020,,,,22.0,6.0,0.27,,,,,,
,,2020 - 2021,,,,22.0,6.0,0.27,,,,,,
,,2022 - 2023,,,,22.0,13.0,0.59,,,,,,
,Firozabad,2002 - 2003,11.0,4.0,0.36,,,,,,,,,
,,2003 - 2004,3.0,1.0,0.33,,,,,,,,,
,,2004 - 2005,,,,5.0,1.0,0.2,,,,,,
,,2005 - 2006,,,,7.0,2.0,0.29,,,,,,
,,2006 - 2007,,,,5.0,1.0,0.2,,,,,,
,,2007 - 2008,,,,1.0,,0.0,,,,,,
,,2008 - 2009,,,,4.0,1.0,0.25,,,,,,
,,2009 - 2010,,,,10.0,2.0,0.2,,,,,,
,Ghaziabad,2002 - 2003,2.0,1.0,0.5,,,,,,,,,
,Ghazipur,2002 - 2003,10.0,3.0,0.3,,,,,,,,,
,,2003 - 2004,12.0,4.0,0.33,,,,,,,,,
,,2004 - 2005,,,,5.0,1.0,0.2,,,,,,
,,2005 - 2006,,,,8.0,3.0,0.38,,,,,,
,,2006 - 2007,,,,6.0,2.0,0.33,,,,,,
,,2007 - 2008,,,,18.0,4.0,0.22,,,,,,
,,2008 - 2009,,,,4.0,1.0,0.25,,,,,,
,,2009 - 2010,,,,32.0,6.0,0.19,,,,,,
,,2010 - 2011,,,,5.0,2.0,0.4,,,,,,
,,2011 - 2012,,,,9.0,3.0,0.33,,,,,,
,,2012 - 2013,,,,21.0,8.0,0.38,,,,,,
,,2013 - 2014,,,,11.0,3.0,0.27,,,,,,
,,2014 - 2015,,,,4.0,1.0,0.25,,,,,,
,,2016 - 2017,,,,21.0,5.0,0.24,,,,,,
,,2017 - 2018,,,,6.0,1.0,0.17,,,,,,
,,2018 - 2019,,,,5.0,1.0,0.2,,,,,,
,,2019 - 2020,,,,5.0,1.0,0.2,,,,,,
,,2020 - 2021,,,,6.0,2.0,0.33,,,,,,
,,2022 - 2023,,,,6.0,4.0,0.67,,,,,,
,Gonda,2002 - 2003,1.0,,0.0,,,,,,,,,
,,2007 - 2008,,,,1.0,,0.0,,,,,,
,,2009 - 2010,,,,2.0,1.0,0.5,,,,,,
,Gorakhpur,2004 - 2005,,,,1.0,,0.0,,,,,,
,,2006 - 2007,,,,2.0,1.0,0.5,,,,,,
,Hamirpur,2002 - 2003,396.0,125.0,0.32,,,,,,,,,
,,2003 - 2004,553.0,166.0,0.3,,,,,,,,,
,,2004 - 2005,,,,453.0,125.0,0.28,,,,,,
,,2005 - 2006,,,,571.0,197.0,0.35,,,,,,
,,2006 - 2007,,,,604.0,168.0,0.28,,,,,,
,,2007 - 2008,,,,319.0,62.0,0.19,,,,,,
,,2008 - 2009,,,,186.0,60.0,0.32,,,,,,
,,2009 - 2010,,,,46.0,8.0,0.17,,,,,,
,,2010 - 2011,,,,335.0,109.0,0.33,,,,,,
,,2011 - 2012,,,,322.0,88.0,0.27,,,,,,
,,2012 - 2013,,,,683.0,252.0,0.37,,,,,,
,,2013 - 2014,,,,478.0,136.0,0.28,,,,,,
,,2014 - 2015,,,,435.0,167.0,0.38,,,,,,
,,2015 - 2016,,,,373.0,106.0,0.28,,,,,,
,,2016 - 2017,,,,725.0,170.0,0.23,,,,,,
,,2017 - 2018,,,,334.0,65.0,0.19,,,,,,
,,2018 - 2019,,,,220.0,42.0,0.19,,,,,,
,,2019 - 2020,,,,300.0,86.0,0.29,,,,,,
,,2020 - 2021,,,,128.0,35.0,0.27,,,,,,
,,2021 - 2022,,,,641.0,376.0,0.59,,,,,,
,,2022 - 2023,,,,286.0,168.0,0.59,,,,,,
,Hardoi,2003 - 2004,7.0,2.0,0.29,,,,,,,,,
,,2004 - 2005,,,,8.0,2.0,0.25,,,,,,
,,2005 - 2006,,,,4.0,1.0,0.25,,,,,,
,,2008 - 2009,,,,7.0,2.0,0.29,,,,,,
,Hathras,2003 - 2004,5.0,2.0,0.4,,,,,,,,,
,,2005 - 2006,,,,3.0,1.0,0.33,,,,,,
,,2015 - 2016,,,,2.0,1.0,0.5,,,,,,
,Jalaun,2002 - 2003,104.0,33.0,0.32,,,,,,,,,
,,2003 - 2004,88.0,26.0,0.3,,,,,,,,,
,,2004 - 2005,,,,83.0,23.0,0.28,,,,,,
,,2005 - 2006,,,,71.0,25.0,0.35,,,,,,
,,2006 - 2007,,,,93.0,26.0,0.28,,,,,,
,,2007 - 2008,,,,48.0,9.0,0.19,,,,,,
,,2008 - 2009,,,,8.0,3.0,0.38,,,,,,
,,2009 - 2010,,,,21.0,4.0,0.19,,,,,,
,,2010 - 2011,,,,9.0,3.0,0.33,,,,,,
,,2011 - 2012,,,,30.0,8.0,0.27,,,,,,
,,2012 - 2013,,,,77.0,29.0,0.38,,,,,,
,,2013 - 2014,,,,62.0,18.0,0.29,,,,,,
,,2014 - 2015,,,,61.0,23.0,0.38,,,,,,
,,2015 - 2016,,,,187.0,53.0,0.28,,,,,,
,,2016 - 2017,,,,74.0,17.0,0.23,,,,,,
,,2019 - 2020,,,,62.0,17.0,0.27,,,,,,
,,2020 - 2021,,,,737.0,201.0,0.27,,,,,,
,,2021 - 2022,,,,1.0,1.0,1.0,,,,,,
,,2022 - 2023,,,,62.0,36.0,0.58,,,,,,
,Jaunpur,2002 - 2003,634.0,200.0,0.32,,,,,,,,,
,,2003 - 2004,365.0,110.0,0.3,,,,,,,,,
,,2004 - 2005,,,,186.0,52.0,0.28,,,,,,
,,2005 - 2006,,,,387.0,134.0,0.35,,,,,,
,,2006 - 2007,,,,70.0,20.0,0.29,,,,,,
,,2007 - 2008,,,,237.0,46.0,0.19,,,,,,
,,2008 - 2009,,,,184.0,59.0,0.32,,,,,,
,,2009 - 2010,,,,163.0,30.0,0.18,,,,,,
,,2010 - 2011,,,,172.0,56.0,0.33,,,,,,
,,2011 - 2012,,,,212.0,58.0,0.27,,,,,,
,,2012 - 2013,,,,270.0,99.0,0.37,,,,,,
,,2013 - 2014,,,,155.0,44.0,0.28,,,,,,
,,2014 - 2015,,,,148.0,57.0,0.39,,,,,,
,,2015 - 2016,,,,143.0,40.0,0.28,,,,,,
,,2016 - 2017,,,,151.0,35.0,0.23,,,,,,
,,2017 - 2018,,,,171.0,33.0,0.19,,,,,,
,,2018 - 2019,,,,156.0,30.0,0.19,,,,,,
,,2019 - 2020,,,,153.0,44.0,0.29,,,,,,
,,2020 - 2021,,,,151.0,41.0,0.27,,,,,,
,,2021 - 2022,,,,154.0,90.0,0.58,,,,,,
,,2022 - 2023,,,,151.0,88.0,0.58,,,,,,
,Jhansi,2002 - 2003,3.0,1.0,0.33,,,,,,,,,
,,2003 - 2004,23.0,7.0,0.3,,,,,,,,,
,,2004 - 2005,,,,21.0,6.0,0.29,,,,,,
,,2005 - 2006,,,,27.0,9.0,0.33,,,,,,
,,2006 - 2007,,,,17.0,4.0,0.24,,,,,,
,,2007 - 2008,,,,3.0,1.0,0.33,,,,,,
,,2010 - 2011,,,,2.0,1.0,0.5,,,,,,
,,2011 - 2012,,,,8.0,2.0,0.25,,,,,,
,,2012 - 2013,,,,1.0,,0.0,,,,,,
,,2013 - 2014,,,,4.0,1.0,0.25,,,,,,
,,2014 - 2015,,,,1.0,1.0,1.0,,,,,,
,,2015 - 2016,,,,6.0,2.0,0.33,,,,,,
,,2016 - 2017,,,,2.0,1.0,0.5,,,,,,
,,2017 - 2018,,,,19.0,4.0,0.21,,,,,,
,,2018 - 2019,,,,2.0,,0.0,,,,,,
,,2019 - 2020,,,,2.0,1.0,0.5,,,,,,
,,2021 - 2022,,,,2.0,1.0,0.5,,,,,,
,,2022 - 2023,,,,2.0,1.0,0.5,,,,,,
,Kannauj,2002 - 2003,45.0,14.0,0.31,,,,,,,,,
,,2003 - 2004,29.0,9.0,0.31,,,,,,,,,
,,2004 - 2005,,,,44.0,12.0,0.27,,,,,,
,,2005 - 2006,,,,35.0,12.0,0.34,,,,,,
,,2006 - 2007,,,,37.0,10.0,0.27,,,,,,
,,2008 - 2009,,,,53.0,17.0,0.32,,,,,,
,,2009 - 2010,,,,50.0,9.0,0.18,,,,,,
,,2010 - 2011,,,,6.0,2.0,0.33,,,,,,
,,2011 - 2012,,,,28.0,8.0,0.29,,,,,,
,,2012 - 2013,,,,26.0,10.0,0.38,,,,,,
,,2013 - 2014,,,,18.0,5.0,0.28,,,,,,
,,2014 - 2015,,,,19.0,7.0,0.37,,,,,,
,,2015 - 2016,,,,8.0,2.0,0.25,,,,,,
,,2016 - 2017,,,,17.0,4.0,0.24,,,,,,
,,2017 - 2018,,,,16.0,3.0,0.19,,,,,,
,,2018 - 2019,,,,17.0,3.0,0.18,,,,,,
,,2019 - 2020,,,,17.0,5.0,0.29,,,,,,
,,2020 - 2021,,,,17.0,5.0,0.29,,,,,,
,,2021 - 2022,,,,31.0,18.0,0.58,,,,,,
,,2022 - 2023,,,,17.0,10.0,0.59,,,,,,
,Kanpur dehat,2003 - 2004,35.0,11.0,0.31,,,,,,,,,
,,2004 - 2005,,,,25.0,7.0,0.28,,,,,,
,,2005 - 2006,,,,50.0,17.0,0.34,,,,,,
,,2006 - 2007,,,,27.0,7.0,0.26,,,,,,
,,2007 - 2008,,,,35.0,7.0,0.2,,,,,,
,,2008 - 2009,,,,23.0,7.0,0.3,,,,,,
,,2009 - 2010,,,,61.0,11.0,0.18,,,,,,
,,2010 - 2011,,,,24.0,8.0,0.33,,,,,,
,,2011 - 2012,,,,16.0,4.0,0.25,,,,,,
,,2012 - 2013,,,,23.0,8.0,0.35,,,,,,
,,2013 - 2014,,,,20.0,6.0,0.3,,,,,,
,,2014 - 2015,,,,2.0,1.0,0.5,,,,,,
,,2015 - 2016,,,,7.0,2.0,0.29,,,,,,
,,2016 - 2017,,,,17.0,4.0,0.24,,,,,,
,,2018 - 2019,,,,19.0,4.0,0.21,,,,,,
,,2019 - 2020,,,,19.0,5.0,0.26,,,,,,
,,2020 - 2021,,,,9.0,2.0,0.22,,,,,,
,,2022 - 2023,,,,19.0,11.0,0.58,,,,,,
,Kanpur nagar,2002 - 2003,62.0,20.0,0.32,,,,,,,,,
,,2003 - 2004,50.0,15.0,0.3,,,,,,,,,
,,2004 - 2005,,,,40.0,11.0,0.28,,,,,,
,,2005 - 2006,,,,62.0,21.0,0.34,,,,,,
,,2006 - 2007,,,,2.0,1.0,0.5,,,,,,
,,2007 - 2008,,,,47.0,9.0,0.19,,,,,,
,,2008 - 2009,,,,70.0,22.0,0.31,,,,,,
,,2009 - 2010,,,,26.0,5.0,0.19,,,,,,
,,2010 - 2011,,,,11.0,4.0,0.36,,,,,,
,,2011 - 2012,,,,6.0,2.0,0.33,,,,,,
,,2012 - 2013,,,,17.0,6.0,0.35,,,,,,
,,2013 - 2014,,,,34.0,9.0,0.26,,,,,,
,,2014 - 2015,,,,9.0,3.0,0.33,,,,,,
,,2015 - 2016,,,,10.0,3.0,0.3,,,,,,
,,2016 - 2017,,,,20.0,5.0,0.25,,,,,,
,,2017 - 2018,,,,18.0,3.0,0.17,,,,,,
,,2018 - 2019,,,,16.0,3.0,0.19,,,,,,
,,2019 - 2020,,,,16.0,5.0,0.31,,,,,,
,,2020 - 2021,,,,24.0,7.0,0.29,,,,,,
,,2021 - 2022,,,,11.0,6.0,0.55,,,,,,
,,2022 - 2023,,,,16.0,9.0,0.56,,,,,,
,Kasganj,2010 - 2011,,,,6.0,1.0,0.17,,,,,,
,Kaushambi,2002 - 2003,9.0,3.0,0.33,,,,,,,,,
,,2003 - 2004,6.0,2.0,0.33,,,,,,,,,
,,2004 - 2005,,,,15.0,4.0,0.27,,,,,,
,,2006 - 2007,,,,3.0,1.0,0.33,,,,,,
,,2007 - 2008,,,,7.0,1.0,0.14,,,,,,
,,2009 - 2010,,,,74.0,14.0,0.19,,,,,,
,,2010 - 2011,,,,13.0,4.0,0.31,,,,,,
,,2011 - 2012,,,,11.0,3.0,0.27,,,,,,
,,2012 - 2013,,,,20.0,8.0,0.4,,,,,,
,,2013 - 2014,,,,19.0,5.0,0.26,,,,,,
,,2014 - 2015,,,,18.0,7.0,0.39,,,,,,
,,2016 - 2017,,,,10.0,2.0,0.2,,,,,,
,,2017 - 2018,,,,10.0,2.0,0.2,,,,,,
,,2018 - 2019,,,,10.0,2.0,0.2,,,,,,
,,2019 - 2020,,,,10.0,3.0,0.3,,,,,,
,,2020 - 2021,,,,10.0,3.0,0.3,,,,,,
,,2021 - 2022,,,,8.0,5.0,0.63,,,,,,
,,2022 - 2023,,,,10.0,6.0,0.6,,,,,,
,Kheri,2002 - 2003,7.0,2.0,0.29,,,,,,,,,
,,2003 - 2004,7.0,2.0,0.29,,,,,,,,,
,,2004 - 2005,,,,24.0,7.0,0.29,,,,,,
,,2006 - 2007,,,,31.0,9.0,0.29,,,,,,
,,2007 - 2008,,,,5.0,1.0,0.2,,,,,,
,,2014 - 2015,,,,1.0,1.0,1.0,,,,,,
,Kushi nagar,2002 - 2003,190.0,60.0,0.32,,,,,,,,,
,,2003 - 2004,118.0,35.0,0.3,,,,,,,,,
,,2004 - 2005,,,,176.0,49.0,0.28,,,,,,
,,2005 - 2006,,,,101.0,35.0,0.35,,,,,,
,,2006 - 2007,,,,244.0,68.0,0.28,,,,,,
,,2007 - 2008,,,,188.0,36.0,0.19,,,,,,
,,2008 - 2009,,,,307.0,98.0,0.32,,,,,,
,,2009 - 2010,,,,98.0,18.0,0.18,,,,,,
,,2010 - 2011,,,,87.0,28.0,0.32,,,,,,
,,2011 - 2012,,,,105.0,29.0,0.28,,,,,,
,,2012 - 2013,,,,146.0,54.0,0.37,,,,,,
,,2013 - 2014,,,,125.0,35.0,0.28,,,,,,
,,2014 - 2015,,,,88.0,34.0,0.39,,,,,,
,,2015 - 2016,,,,95.0,27.0,0.28,,,,,,
,,2016 - 2017,,,,98.0,23.0,0.23,,,,,,
,,2017 - 2018,,,,98.0,19.0,0.19,,,,,,
,,2018 - 2019,,,,98.0,19.0,0.19,,,,,,
,,2019 - 2020,,,,98.0,28.0,0.29,,,,,,
,,2020 - 2021,,,,44.0,12.0,0.27,,,,,,
,,2022 - 2023,,,,98.0,57.0,0.58,,,,,,
,Lalitpur,2003 - 2004,14.0,4.0,0.29,,,,,,,,,
,,2004 - 2005,,,,30.0,8.0,0.27,,,,,,
,,2005 - 2006,,,,7.0,2.0,0.29,,,,,,
,,2006 - 2007,,,,10.0,3.0,0.3,,,,,,
,,2007 - 2008,,,,11.0,2.0,0.18,,,,,,
,,2010 - 2011,,,,15.0,5.0,0.33,,,,,,
,,2013 - 2014,,,,14.0,4.0,0.29,,,,,,
,,2016 - 2017,,,,14.0,3.0,0.21,,,,,,
,,2018 - 2019,,,,14.0,3.0,0.21,,,,,,
,,2021 - 2022,,,,14.0,8.0,0.57,,,,,,
,,2022 - 2023,,,,14.0,8.0,0.57,,,,,,
,Lucknow,2003 - 2004,1.0,,0.0,,,,,,,,,
,Maharajganj,2003 - 2004,6.0,2.0,0.33,,,,,,,,,
,,2004 - 2005,,,,15.0,4.0,0.27,,,,,,
,,2005 - 2006,,,,6.0,2.0,0.33,,,,,,
,,2006 - 2007,,,,15.0,4.0,0.27,,,,,,
,,2007 - 2008,,,,5.0,1.0,0.2,,,,,,
,Mahoba,2002 - 2003,225.0,71.0,0.32,,,,,,,,,
,,2003 - 2004,307.0,92.0,0.3,,,,,,,,,
,,2004 - 2005,,,,222.0,62.0,0.28,,,,,,
,,2005 - 2006,,,,218.0,75.0,0.34,,,,,,
,,2006 - 2007,,,,210.0,58.0,0.28,,,,,,
,,2007 - 2008,,,,87.0,17.0,0.2,,,,,,
,,2008 - 2009,,,,190.0,61.0,0.32,,,,,,
,,2009 - 2010,,,,99.0,18.0,0.18,,,,,,
,,2010 - 2011,,,,55.0,18.0,0.33,,,,,,
,,2011 - 2012,,,,62.0,17.0,0.27,,,,,,
,,2012 - 2013,,,,99.0,37.0,0.37,,,,,,
,,2013 - 2014,,,,89.0,25.0,0.28,,,,,,
,,2014 - 2015,,,,58.0,22.0,0.38,,,,,,
,,2015 - 2016,,,,77.0,22.0,0.29,,,,,,
,,2016 - 2017,,,,69.0,16.0,0.23,,,,,,
,,2017 - 2018,,,,372.0,72.0,0.19,,,,,,
,,2018 - 2019,,,,67.0,13.0,0.19,,,,,,
,,2019 - 2020,,,,34.0,10.0,0.29,,,,,,
,,2020 - 2021,,,,34.0,9.0,0.26,,,,,,
,,2021 - 2022,,,,19.0,11.0,0.58,,,,,,
,,2022 - 2023,,,,85.0,50.0,0.59,,,,,,
,Mainpuri,2012 - 2013,,,,18.0,7.0,0.39,,,,,,
,,2013 - 2014,,,,17.0,5.0,0.29,,,,,,
,,2016 - 2017,,,,16.0,4.0,0.25,,,,,,
,,2017 - 2018,,,,14.0,3.0,0.21,,,,,,
,,2018 - 2019,,,,11.0,2.0,0.18,,,,,,
,,2019 - 2020,,,,16.0,4.0,0.25,,,,,,
,,2020 - 2021,,,,5.0,1.0,0.2,,,,,,
,,2021 - 2022,,,,17.0,10.0,0.59,,,,,,
,,2022 - 2023,,,,15.0,9.0,0.6,,,,,,
,Mathura,2002 - 2003,19.0,6.0,0.32,,,,,,,,,
,,2003 - 2004,15.0,4.0,0.27,,,,,,,,,
,,2004 - 2005,,,,4.0,1.0,0.25,,,,,,
,,2005 - 2006,,,,10.0,4.0,0.4,,,,,,
,,2006 - 2007,,,,4.0,1.0,0.25,,,,,,
,,2010 - 2011,,,,2.0,1.0,0.5,,,,,,
,Mau,2002 - 2003,4.0,1.0,0.25,,,,,,,,,
,,2003 - 2004,2.0,,0.0,,,,,,,,,
,,2005 - 2006,,,,2.0,1.0,0.5,,,,,,
,Meerut,2002 - 2003,7.0,2.0,0.29,,,,,,,,,
,,2004 - 2005,,,,4.0,1.0,0.25,,,,,,
,,2007 - 2008,,,,6.0,1.0,0.17,,,,,,
,Mirzapur,2002 - 2003,88.0,28.0,0.32,,,,,,,,,
,,2003 - 2004,94.0,28.0,0.3,,,,,,,,,
,,2004 - 2005,,,,96.0,27.0,0.28,,,,,,
