state,district,year,coriander_whole_year_area_hectare,coriander_whole_year_production_tonne,coriander_whole_year_yield_tonne_per_hectare,coriander_kharif_area_hectare,coriander_kharif_production_tonne,coriander_kharif_yield_tonne_per_hectare,coriander_rabi_area_hectare,coriander_rabi_production_tonne,coriander_rabi_yield_tonne_per_hectare
,,2010 - 2011,8.0,3.0,0.38,,,,,,
,,2011 - 2012,58.0,24.0,0.41,,,,,,
,,2012 - 2013,42.0,17.0,0.4,,,,,,
,,2014 - 2015,3.0,1.0,0.33,,,,,,
,,2015 - 2016,9.0,4.0,0.44,,,,,,
,,2018 - 2019,26.0,23.0,0.88,,,,,,
,,2022 - 2023,1.0,1.0,1.0,,,,,,
,Udupi,2018 - 2019,3.0,3.0,1.0,,,,,,
,,2021 - 2022,6.0,3.0,0.5,,,,,,
,,2022 - 2023,2.0,1.0,0.5,,,,,,
,Uttar kannad,2018 - 2019,4.0,4.0,1.0,,,,,,
,Yadgir,2010 - 2011,1.0,,0.0,,,,,,
,,2011 - 2012,2.0,1.0,0.5,,,,,,
,,2014 - 2015,1.0,,0.0,,,,,,
,,2018 - 2019,10.0,9.0,0.9,,,,,,
,,2019 - 2020,9.0,4.0,0.44,,,,,,
,,2021 - 2022,1.0,1.0,1.0,,,,,,
Madhya Pradesh,Agar malwa,2013 - 2014,,,0.48,,,,,,
,,2015 - 2016,,,0.77,,,,,,
,,2016 - 2017,,,2.0,,,,,,
,,2017 - 2018,,,2.0,,,,,,
,,2018 - 2019,,,0.77,,,,,,
,,2019 - 2020,,,0.77,,,,,,
,Alirajpur,2010 - 2011,24.0,12.0,0.5,,,,,,
,,2011 - 2012,21.0,9.0,0.43,,,,,,
,,2012 - 2013,54.0,23.0,0.43,,,,,,
,,2013 - 2014,66.0,48.0,0.73,,,,,,
,,2015 - 2016,198.0,237.6,1.2,,,,,,
,,2016 - 2017,252.0,630.0,2.5,,,,,,
,,2017 - 2018,258.0,696.6,2.7,,,,,,
,,2018 - 2019,264.3,718.89,2.72,,,,,,
,,2019 - 2020,285.0,495.9,1.74,,,,,,
,Anuppur,2003 - 2004,82.0,21.0,0.26,,,,,,
,,2004 - 2005,70.0,19.0,0.27,,,,,,
,,2006 - 2007,80.0,21.0,0.26,,,,,,
,,2007 - 2008,110.0,29.0,0.26,,,,,,
,,2008 - 2009,77.0,20.0,0.26,,,,,,
,,2009 - 2010,72.0,19.0,0.26,,,,,,
,,2010 - 2011,124.0,21.0,0.17,,,,,,
,,2011 - 2012,79.0,14.0,0.18,,,,,,
,,2012 - 2013,163.0,49.0,0.3,,,,,,
,,2013 - 2014,124.0,41.0,0.33,,,,,,
,,2015 - 2016,210.0,315.0,1.5,,,,,,
,,2016 - 2017,235.0,390.54,1.66,,,,,,
,,2017 - 2018,310.0,514.6,1.66,,,,,,
,,2018 - 2019,331.0,562.7,1.7,,,,,,
,,2019 - 2020,487.37,877.27,1.8,,,,,,
,Ashoknagar,2003 - 2004,,,0.27,,,,,,
,,2004 - 2005,,,0.26,,,,,,
,,2006 - 2007,,,0.31,,,,,,
,,2007 - 2008,,950.0,0.29,,,,,,
,,2008 - 2009,,843.0,0.31,,,,,,
,,2009 - 2010,,651.0,0.33,,,,,,
,,2010 - 2011,,327.0,0.2,,,,,,
,,2011 - 2012,,347.0,0.25,,,,,,
,,2012 - 2013,918.0,573.0,0.62,,,,,,
,,2013 - 2014,808.0,505.0,0.63,,,,,,
,,2015 - 2016,,,1.5,,,,,,
,,2016 - 2017,,,1.5,,,,,,
,,2017 - 2018,,,1.5,,,,,,
,,2018 - 2019,,,1.53,,,,,,
,,2019 - 2020,,,1.52,,,,,,
,Balaghat,2000 - 2001,291.0,65.0,0.22,,,,,,
,,2001 - 2002,298.0,86.0,0.29,,,,,,
,,2002 - 2003,342.0,91.0,0.27,,,,,,
,,2003 - 2004,325.0,90.0,0.28,,,,,,
,,2004 - 2005,324.0,87.0,0.27,,,,,,
,,2006 - 2007,340.0,91.0,0.27,,,,,,
,,2007 - 2008,308.0,83.0,0.27,,,,,,
,,2008 - 2009,408.0,109.0,0.27,,,,,,
,,2009 - 2010,339.0,91.0,0.27,,,,,,
,,2010 - 2011,323.0,87.0,0.27,,,,,,
,,2011 - 2012,333.0,89.0,0.27,,,,,,
,,2012 - 2013,340.0,67.0,0.2,,,,,,
,,2013 - 2014,333.0,76.0,0.23,,,,,,
,,2015 - 2016,333.0,534.0,1.6,,,,,,
,,2016 - 2017,349.0,554.0,1.59,,,,,,
,,2017 - 2018,349.0,333.0,0.95,,,,,,
,,2018 - 2019,359.0,350.0,0.97,,,,,,
,,2019 - 2020,375.0,366.0,0.98,,,,,,
,Barwani,2000 - 2001,46.0,10.0,0.22,,,,,,
,,2001 - 2002,88.0,23.0,0.26,,,,,,
,,2002 - 2003,121.0,35.0,0.29,,,,,,
,,2003 - 2004,145.0,42.0,0.29,,,,,,
,,2004 - 2005,138.0,31.0,0.22,,,,,,
,,2006 - 2007,68.0,14.0,0.21,,,,,,
,,2007 - 2008,77.0,14.0,0.18,,,,,,
,,2008 - 2009,53.0,10.0,0.19,,,,,,
,,2009 - 2010,178.0,33.0,0.19,,,,,,
,,2010 - 2011,174.0,38.0,0.22,,,,,,
,,2011 - 2012,183.0,39.0,0.21,,,,,,
,,2012 - 2013,128.0,54.0,0.42,,,,,,
,,2013 - 2014,149.0,66.0,0.44,,,,,,
,,2015 - 2016,71.0,71.0,1.0,,,,,,
,,2016 - 2017,631.0,631.0,1.0,,,,,,
,,2017 - 2018,187.0,187.0,1.0,,,,,,
,,2018 - 2019,176.0,176.0,1.0,,,,,,
,,2019 - 2020,164.0,164.0,1.0,,,,,,
,Betul,2000 - 2001,128.0,33.0,0.26,,,,,,
,,2001 - 2002,257.0,71.0,0.28,,,,,,
,,2002 - 2003,225.0,57.0,0.25,,,,,,
,,2003 - 2004,278.0,74.0,0.27,,,,,,
,,2004 - 2005,500.0,137.0,0.27,,,,,,
,,2006 - 2007,411.0,124.0,0.3,,,,,,
,,2007 - 2008,558.0,172.0,0.31,,,,,,
,,2008 - 2009,256.0,78.0,0.3,,,,,,
,,2009 - 2010,766.0,239.0,0.31,,,,,,
,,2010 - 2011,629.0,184.0,0.29,,,,,,
,,2011 - 2012,409.0,127.0,0.31,,,,,,
,,2012 - 2013,391.0,160.0,0.41,,,,,,
,,2013 - 2014,426.0,203.0,0.48,,,,,,
,,2015 - 2016,40.0,120.0,3.0,,,,,,
,,2016 - 2017,58.0,162.0,2.79,,,,,,
,,2017 - 2018,60.0,167.0,2.78,,,,,,
,,2018 - 2019,47.0,132.0,2.81,,,,,,
,,2019 - 2020,56.0,159.2,2.84,,,,,,
,Bhind,2000 - 2001,2.0,1.0,0.5,,,,,,
,,2001 - 2002,2.0,1.0,0.5,,,,,,
,,2002 - 2003,1.0,0.01,0.01,,,,,,
,,2003 - 2004,6.0,2.0,0.33,,,,,,
,,2004 - 2005,4.0,1.0,0.25,,,,,,
,,2006 - 2007,4.0,1.0,0.25,,,,,,
,,2007 - 2008,7.0,1.0,0.14,,,,,,
,,2008 - 2009,1.0,,0.0,,,,,,
,,2015 - 2016,90.4,90.4,1.0,,,,,,
,,2016 - 2017,95.0,95.0,1.0,,,,,,
,,2017 - 2018,97.0,145.0,1.49,,,,,,
,,2018 - 2019,97.0,145.0,1.49,,,,,,
,,2019 - 2020,105.0,157.0,1.5,,,,,,
,Bhopal,2000 - 2001,508.0,206.0,0.41,,,,,,
,,2001 - 2002,569.0,197.0,0.35,,,,,,
,,2002 - 2003,386.0,134.0,0.35,,,,,,
,,2003 - 2004,614.0,221.0,0.36,,,,,,
,,2004 - 2005,667.0,235.0,0.35,,,,,,
,,2006 - 2007,672.0,257.0,0.38,,,,,,
,,2007 - 2008,,525.0,0.39,,,,,,
,,2008 - 2009,,517.0,0.4,,,,,,
,,2009 - 2010,984.0,465.0,0.47,,,,,,
,,2010 - 2011,,576.0,0.32,,,,,,
,,2011 - 2012,,658.0,0.45,,,,,,
,,2012 - 2013,,973.0,0.68,,,,,,
,,2013 - 2014,,,0.8,,,,,,
,,2015 - 2016,832.0,,1.5,,,,,,
,,2016 - 2017,,,1.5,,,,,,
,,2017 - 2018,,,1.5,,,,,,
,,2018 - 2019,943.0,,1.5,,,,,,
,,2019 - 2020,903.0,,1.61,,,,,,
,Burhanpur,2003 - 2004,196.0,70.0,0.36,,,,,,
,,2004 - 2005,155.0,41.0,0.26,,,,,,
,,2006 - 2007,99.0,31.0,0.31,,,,,,
,,2007 - 2008,78.0,26.0,0.33,,,,,,
,,2008 - 2009,70.0,20.0,0.29,,,,,,
,,2009 - 2010,53.0,18.0,0.34,,,,,,
,,2010 - 2011,62.0,15.0,0.24,,,,,,
,,2011 - 2012,66.0,17.0,0.26,,,,,,
,,2012 - 2013,133.0,50.0,0.38,,,,,,
,,2013 - 2014,145.0,41.0,0.28,,,,,,
,,2015 - 2016,573.0,654.0,1.14,,,,,,
,,2016 - 2017,583.0,874.5,1.5,,,,,,
,,2017 - 2018,590.0,885.0,1.5,,,,,,
,,2018 - 2019,602.0,903.0,1.5,,,,,,
,,2019 - 2020,610.0,915.0,1.5,,,,,,
,Chhatarpur,2000 - 2001,460.0,85.0,0.18,,,,,,
,,2001 - 2002,535.0,101.0,0.19,,,,,,
,,2002 - 2003,540.0,100.0,0.19,,,,,,
,,2003 - 2004,596.0,114.0,0.19,,,,,,
,,2004 - 2005,563.0,108.0,0.19,,,,,,
,,2006 - 2007,463.0,74.0,0.16,,,,,,
,,2007 - 2008,269.0,39.0,0.14,,,,,,
,,2008 - 2009,399.0,80.0,0.2,,,,,,
,,2009 - 2010,369.0,72.0,0.2,,,,,,
,,2010 - 2011,342.0,66.0,0.19,,,,,,
,,2011 - 2012,458.0,92.0,0.2,,,,,,
,,2012 - 2013,443.0,93.0,0.21,,,,,,
,,2013 - 2014,536.0,98.0,0.18,,,,,,
,,2015 - 2016,,,1.0,,,,,,
,,2016 - 2017,,,1.02,,,,,,
,,2017 - 2018,,,1.02,,,,,,
,,2018 - 2019,,,1.0,,,,,,
,,2019 - 2020,,,1.12,,,,,,
,Chhindwara,2000 - 2001,333.0,79.0,0.24,,,,,,
,,2001 - 2002,296.0,64.0,0.22,,,,,,
,,2002 - 2003,469.0,99.0,0.21,,,,,,
,,2003 - 2004,448.0,119.0,0.27,,,,,,
,,2004 - 2005,302.0,76.0,0.25,,,,,,
,,2006 - 2007,465.0,129.0,0.28,,,,,,
,,2007 - 2008,508.0,132.0,0.26,,,,,,
,,2008 - 2009,596.0,158.0,0.27,,,,,,
,,2009 - 2010,352.0,104.0,0.3,,,,,,
,,2010 - 2011,353.0,92.0,0.26,,,,,,
,,2011 - 2012,429.0,149.0,0.35,,,,,,
,,2012 - 2013,537.0,198.0,0.37,,,,,,
,,2013 - 2014,362.0,148.0,0.41,,,,,,
,,2015 - 2016,,,8.0,,,,,,
,,2016 - 2017,350.0,350.0,1.0,,,,,,
,,2017 - 2018,378.0,378.0,1.0,,,,,,
,,2018 - 2019,378.0,378.0,1.0,,,,,,
,,2019 - 2020,378.1,378.1,1.0,,,,,,
,Damoh,2000 - 2001,267.0,52.0,0.19,,,,,,
,,2001 - 2002,293.0,70.0,0.24,,,,,,
,,2002 - 2003,318.0,65.0,0.2,,,,,,
,,2003 - 2004,305.0,81.0,0.27,,,,,,
,,2004 - 2005,328.0,88.0,0.27,,,,,,
,,2006 - 2007,316.0,75.0,0.24,,,,,,
,,2007 - 2008,355.0,71.0,0.2,,,,,,
,,2008 - 2009,415.0,136.0,0.33,,,,,,
,,2009 - 2010,480.0,159.0,0.33,,,,,,
,,2010 - 2011,413.0,136.0,0.33,,,,,,
,,2011 - 2012,464.0,148.0,0.32,,,,,,
,,2012 - 2013,491.0,187.0,0.38,,,,,,
,,2013 - 2014,376.0,172.0,0.46,,,,,,
,Datia,2000 - 2001,3.0,1.0,0.33,,,,,,
,,2001 - 2002,4.0,1.0,0.25,,,,,,
,,2002 - 2003,10.0,2.0,0.2,,,,,,
,,2003 - 2004,5.0,1.0,0.2,,,,,,
,,2004 - 2005,3.0,1.0,0.33,,,,,,
,,2006 - 2007,5.0,1.0,0.2,,,,,,
,,2007 - 2008,7.0,1.0,0.14,,,,,,
,,2008 - 2009,11.0,4.0,0.36,,,,,,
,,2009 - 2010,22.0,6.0,0.27,,,,,,
,,2010 - 2011,51.0,13.0,0.25,,,,,,
,,2011 - 2012,9.0,3.0,0.33,,,,,,
,,2012 - 2013,19.0,8.0,0.42,,,,,,
,,2013 - 2014,19.0,7.0,0.37,,,,,,
,,2015 - 2016,100.0,100.0,1.0,,,,,,
,,2016 - 2017,300.0,450.0,1.5,,,,,,
,,2017 - 2018,308.0,462.0,1.5,,,,,,
,,2018 - 2019,309.0,463.5,1.5,,,,,,
,,2019 - 2020,320.0,480.0,1.5,,,,,,
,Dewas,2000 - 2001,69.0,16.0,0.23,,,,,,
,,2001 - 2002,55.0,16.0,0.29,,,,,,
,,2002 - 2003,65.0,21.0,0.32,,,,,,
,,2003 - 2004,81.0,27.0,0.33,,,,,,
,,2004 - 2005,112.0,36.0,0.32,,,,,,
,,2006 - 2007,103.0,39.0,0.38,,,,,,
,,2007 - 2008,63.0,26.0,0.41,,,,,,
,,2008 - 2009,79.0,28.0,0.35,,,,,,
,,2009 - 2010,93.0,34.0,0.37,,,,,,
,,2010 - 2011,82.0,34.0,0.41,,,,,,
,,2011 - 2012,219.0,90.0,0.41,,,,,,
,,2012 - 2013,224.0,108.0,0.48,,,,,,
,,2013 - 2014,121.0,31.0,0.26,,,,,,
,,2015 - 2016,73.8,150.4,2.04,,,,,,
,,2016 - 2017,73.8,150.0,2.03,,,,,,
,,2017 - 2018,82.0,172.0,2.1,,,,,,
,,2018 - 2019,85.0,179.1,2.11,,,,,,
,,2019 - 2020,95.0,200.0,2.11,,,,,,
,Dhar,2000 - 2001,60.0,14.0,0.23,,,,,,
,,2001 - 2002,37.0,13.0,0.35,,,,,,
,,2002 - 2003,39.0,12.0,0.31,,,,,,
,,2003 - 2004,51.0,19.0,0.37,,,,,,
,,2004 - 2005,68.0,25.0,0.37,,,,,,
,,2006 - 2007,70.0,29.0,0.41,,,,,,
,,2007 - 2008,153.0,58.0,0.38,,,,,,
,,2008 - 2009,141.0,52.0,0.37,,,,,,
,,2009 - 2010,162.0,59.0,0.36,,,,,,
,,2010 - 2011,220.0,87.0,0.4,,,,,,
,,2011 - 2012,94.0,37.0,0.39,,,,,,
,,2012 - 2013,325.0,131.0,0.4,,,,,,
,,2013 - 2014,276.0,169.0,0.61,,,,,,
,,2015 - 2016,,827.0,0.8,,,,,,
,,2016 - 2017,,,1.0,,,,,,
,,2017 - 2018,,,1.01,,,,,,
,,2018 - 2019,,,1.53,,,,,,
,,2019 - 2020,,,1.69,,,,,,
,Dindori,2000 - 2001,229.0,32.0,0.14,,,,,,
,,2001 - 2002,213.0,40.0,0.19,,,,,,
,,2002 - 2003,334.0,48.0,0.14,,,,,,
,,2003 - 2004,215.0,41.0,0.19,,,,,,
,,2004 - 2005,229.0,44.0,0.19,,,,,,
,,2006 - 2007,245.0,34.0,0.14,,,,,,
,,2007 - 2008,191.0,21.0,0.11,,,,,,
,,2008 - 2009,209.0,25.0,0.12,,,,,,
,,2009 - 2010,139.0,17.0,0.12,,,,,,
,,2010 - 2011,184.0,22.0,0.12,,,,,,
,,2011 - 2012,225.0,27.0,0.12,,,,,,
,,2012 - 2013,199.0,36.0,0.18,,,,,,
,,2013 - 2014,231.0,57.0,0.25,,,,,,
,,2016 - 2017,32.0,92.48,2.89,,,,,,
,,2017 - 2018,45.0,130.5,2.9,,,,,,
,,2018 - 2019,50.0,140.0,2.8,,,,,,
,,2019 - 2020,165.0,462.0,2.8,,,,,,
,Guna,2000 - 2001,,,0.25,,,,,,
,,2001 - 2002,,,0.32,,,,,,
,,2002 - 2003,,,0.11,,,,,,
,,2003 - 2004,,,0.3,,,,,,
,,2004 - 2005,,,0.29,,,,,,
,,2006 - 2007,,,0.33,,,,,,
,,2007 - 2008,,,0.23,,,,,,
,,2008 - 2009,,,0.33,,,,,,
,,2009 - 2010,,,0.33,,,,,,
,,2010 - 2011,,,0.26,,,,,,
,,2011 - 2012,,,0.3,,,,,,
,,2012 - 2013,,,0.91,,,,,,
,,2013 - 2014,,,1.06,,,,,,
,,2015 - 2016,,,1.0,,,,,,
,,2016 - 2017,,,1.2,,,,,,
,,2017 - 2018,,,1.2,,,,,,
,,2018 - 2019,,,1.2,,,,,,
,,2019 - 2020,,,1.2,,,,,,
,Gwalior,2000 - 2001,28.0,12.0,0.43,,,,,,
,,2001 - 2002,23.0,14.0,0.61,,,,,,
,,2002 - 2003,30.0,8.0,0.27,,,,,,
,,2003 - 2004,25.0,11.0,0.44,,,,,,
,,2004 - 2005,22.0,10.0,0.45,,,,,,
,,2006 - 2007,23.0,7.0,0.3,,,,,,
,,2007 - 2008,21.0,7.0,0.33,,,,,,
,,2008 - 2009,27.0,14.0,0.52,,,,,,
,,2009 - 2010,9.0,5.0,0.56,,,,,,
,,2010 - 2011,11.0,5.0,0.45,,,,,,
,,2011 - 2012,10.0,5.0,0.5,,,,,,
,,2012 - 2013,3.0,1.0,0.33,,,,,,
,,2013 - 2014,31.0,10.0,0.32,,,,,,
,,2015 - 2016,,,2.5,,,,,,
,,2016 - 2017,,,2.5,,,,,,
,,2017 - 2018,,,2.5,,,,,,
,,2018 - 2019,,,2.5,,,,,,
,,2019 - 2020,,,3.0,,,,,,
,Harda,2000 - 2001,255.0,74.0,0.29,,,,,,
,,2001 - 2002,305.0,111.0,0.36,,,,,,
,,2002 - 2003,376.0,138.0,0.37,,,,,,
,,2003 - 2004,305.0,110.0,0.36,,,,,,
,,2004 - 2005,294.0,126.0,0.43,,,,,,
,,2006 - 2007,188.0,59.0,0.31,,,,,,
,,2007 - 2008,282.0,84.0,0.3,,,,,,
,,2008 - 2009,180.0,70.0,0.39,,,,,,
,,2009 - 2010,290.0,105.0,0.36,,,,,,
,,2010 - 2011,252.0,93.0,0.37,,,,,,
,,2011 - 2012,189.0,64.0,0.34,,,,,,
,,2012 - 2013,234.0,92.0,0.39,,,,,,
,,2013 - 2014,179.0,60.0,0.34,,,,,,
,,2015 - 2016,310.0,465.0,1.5,,,,,,
,,2016 - 2017,320.0,480.0,1.5,,,,,,
,,2017 - 2018,330.0,498.0,1.51,,,,,,
,,2018 - 2019,150.0,227.0,1.51,,,,,,
,,2019 - 2020,150.0,227.0,1.51,,,,,,
,Hoshangabad,2000 - 2001,329.0,146.0,0.44,,,,,,
,,2001 - 2002,277.0,120.0,0.43,,,,,,
,,2002 - 2003,352.0,144.0,0.41,,,,,,
,,2003 - 2004,403.0,144.0,0.36,,,,,,
,,2004 - 2005,396.0,160.0,0.4,,,,,,
,,2006 - 2007,360.0,167.0,0.46,,,,,,
,,2007 - 2008,430.0,196.0,0.46,,,,,,
,,2008 - 2009,279.0,127.0,0.46,,,,,,
,,2009 - 2010,327.0,149.0,0.46,,,,,,
,,2010 - 2011,330.0,152.0,0.46,,,,,,
,,2011 - 2012,299.0,156.0,0.52,,,,,,
,,2012 - 2013,305.0,143.0,0.47,,,,,,
,,2013 - 2014,302.0,129.0,0.43,,,,,,
,,2015 - 2016,97.0,194.0,2.0,,,,,,
,,2016 - 2017,104.0,114.4,1.1,,,,,,
,,2017 - 2018,277.0,304.7,1.1,,,,,,
,,2018 - 2019,283.5,311.15,1.1,,,,,,
,,2019 - 2020,285.0,312.79,1.1,,,,,,
,Indore,2000 - 2001,39.0,10.0,0.26,,,,,,
,,2002 - 2003,44.0,14.0,0.32,,,,,,
,,2003 - 2004,47.0,17.0,0.36,,,,,,
,,2004 - 2005,19.0,7.0,0.37,,,,,,
,,2006 - 2007,162.0,54.0,0.33,,,,,,
,,2007 - 2008,211.0,78.0,0.37,,,,,,
,,2008 - 2009,221.0,80.0,0.36,,,,,,
,,2009 - 2010,103.0,40.0,0.39,,,,,,
,,2010 - 2011,37.0,15.0,0.41,,,,,,
,,2011 - 2012,80.0,31.0,0.39,,,,,,
,,2012 - 2013,95.0,27.0,0.28,,,,,,
,,2013 - 2014,35.0,11.0,0.31,,,,,,
,,2015 - 2016,440.0,440.0,1.0,,,,,,
,,2016 - 2017,740.0,740.0,1.0,,,,,,
,,2017 - 2018,400.0,400.0,1.0,,,,,,
,,2018 - 2019,410.0,410.0,1.0,,,,,,
,,2019 - 2020,412.0,412.0,1.0,,,,,,
,Jabalpur,2000 - 2001,754.0,175.0,0.23,,,,,,
,,2001 - 2002,760.0,225.0,0.3,,,,,,
,,2002 - 2003,874.0,250.0,0.29,,,,,,
,,2003 - 2004,,360.0,0.35,,,,,,
,,2004 - 2005,786.0,281.0,0.36,,,,,,
,,2006 - 2007,758.0,271.0,0.36,,,,,,
,,2007 - 2008,651.0,141.0,0.22,,,,,,
,,2008 - 2009,705.0,163.0,0.23,,,,,,
,,2009 - 2010,301.0,70.0,0.23,,,,,,
,,2010 - 2011,620.0,168.0,0.27,,,,,,
,,2011 - 2012,676.0,197.0,0.29,,,,,,
,,2012 - 2013,830.0,224.0,0.27,,,,,,
,,2013 - 2014,717.0,258.0,0.36,,,,,,
,,2015 - 2016,,,1.4,,,,,,
,,2016 - 2017,,,1.4,,,,,,
,,2017 - 2018,,,1.4,,,,,,
,,2018 - 2019,,,1.5,,,,,,
,,2019 - 2020,,,1.4,,,,,,
,Jhabua,2007 - 2008,3.0,1.0,0.33,,,,,,
,,2010 - 2011,2.0,1.0,0.5,,,,,,
,,2012 - 2013,8.0,4.0,0.5,,,,,,
,,2013 - 2014,2.0,1.0,0.5,,,,,,
,,2015 - 2016,47.0,47.0,1.0,,,,,,
,,2016 - 2017,61.0,61.0,1.0,,,,,,
,,2017 - 2018,76.0,76.0,1.0,,,,,,
,,2018 - 2019,87.0,87.0,1.0,,,,,,
,,2019 - 2020,98.0,98.0,1.0,,,,,,
,Katni,2000 - 2001,114.0,22.0,0.19,,,,,,
,,2001 - 2002,116.0,24.0,0.21,,,,,,
,,2002 - 2003,122.0,23.0,0.19,,,,,,
,,2003 - 2004,128.0,29.0,0.23,,,,,,
,,2004 - 2005,128.0,29.0,0.23,,,,,,
,,2006 - 2007,110.0,17.0,0.15,,,,,,
,,2007 - 2008,102.0,17.0,0.17,,,,,,
,,2008 - 2009,110.0,21.0,0.19,,,,,,
,,2009 - 2010,107.0,20.0,0.19,,,,,,
,,2010 - 2011,124.0,21.0,0.17,,,,,,
,,2011 - 2012,90.0,18.0,0.2,,,,,,
,,2012 - 2013,224.0,47.0,0.21,,,,,,
,,2013 - 2014,191.0,92.0,0.48,,,,,,
,,2015 - 2016,,,1.99,,,,,,
,,2016 - 2017,,,0.83,,,,,,
,,2017 - 2018,,,1.13,,,,,,
,,2018 - 2019,,,1.13,,,,,,
,,2019 - 2020,,,1.13,,,,,,
,Khandwa,2000 - 2001,250.0,56.0,0.22,,,,,,
,,2001 - 2002,510.0,126.0,0.25,,,,,,
,,2002 - 2003,596.0,175.0,0.29,,,,,,
,,2003 - 2004,515.0,151.0,0.29,,,,,,
,,2004 - 2005,566.0,151.0,0.27,,,,,,
,,2006 - 2007,653.0,208.0,0.32,,,,,,
,,2007 - 2008,696.0,235.0,0.34,,,,,,
,,2008 - 2009,727.0,210.0,0.29,,,,,,
,,2009 - 2010,947.0,319.0,0.34,,,,,,
,,2010 - 2011,963.0,315.0,0.33,,,,,,
,,2011 - 2012,930.0,314.0,0.34,,,,,,
,,2012 - 2013,967.0,250.0,0.26,,,,,,
,,2013 - 2014,911.0,300.0,0.33,,,,,,
,,2015 - 2016,34.0,544.0,16.0,,,,,,
,,2016 - 2017,65.0,104.0,1.6,,,,,,
,,2017 - 2018,67.0,107.2,1.6,,,,,,
,,2018 - 2019,67.0,107.2,1.6,,,,,,
,,2019 - 2020,70.0,113.0,1.61,,,,,,
,Khargone,2000 - 2001,154.0,31.0,0.2,,,,,,
,,2001 - 2002,235.0,63.0,0.27,,,,,,
,,2002 - 2003,381.0,99.0,0.26,,,,,,
,,2003 - 2004,466.0,136.0,0.29,,,,,,
,,2004 - 2005,474.0,135.0,0.28,,,,,,
,,2006 - 2007,443.0,156.0,0.35,,,,,,
,,2007 - 2008,541.0,187.0,0.35,,,,,,
,,2008 - 2009,414.0,141.0,0.34,,,,,,
,,2009 - 2010,534.0,184.0,0.34,,,,,,
,,2010 - 2011,566.0,221.0,0.39,,,,,,
,,2011 - 2012,597.0,224.0,0.38,,,,,,
,,2012 - 2013,685.0,202.0,0.29,,,,,,
,,2013 - 2014,875.0,281.0,0.32,,,,,,
,,2015 - 2016,211.0,232.0,1.1,,,,,,
,,2016 - 2017,275.0,303.0,1.1,,,,,,
,,2017 - 2018,245.0,270.0,1.1,,,,,,
,,2018 - 2019,251.0,276.0,1.1,,,,,,
,,2019 - 2020,326.0,485.0,1.49,,,,,,
,Mandla,2000 - 2001,193.0,20.0,0.1,,,,,,
,,2001 - 2002,247.0,48.0,0.19,,,,,,
,,2002 - 2003,272.0,52.0,0.19,,,,,,
,,2003 - 2004,265.0,62.0,0.23,,,,,,
,,2004 - 2005,316.0,73.0,0.23,,,,,,
,,2006 - 2007,280.0,65.0,0.23,,,,,,
,,2007 - 2008,294.0,68.0,0.23,,,,,,
,,2008 - 2009,280.0,65.0,0.23,,,,,,
,,2009 - 2010,310.0,64.0,0.21,,,,,,
,,2010 - 2011,342.0,71.0,0.21,,,,,,
,,2011 - 2012,483.0,101.0,0.21,,,,,,
,,2012 - 2013,315.0,69.0,0.22,,,,,,
,,2013 - 2014,388.0,145.0,0.37,,,,,,
,,2015 - 2016,393.32,,2.87,,,,,,
,,2016 - 2017,405.38,554.11,1.37,,,,,,
,,2017 - 2018,415.6,600.37,1.44,,,,,,
,,2018 - 2019,425.0,615.3,1.45,,,,,,
,,2019 - 2020,605.0,880.52,1.46,,,,,,
,Mandsaur,2000 - 2001,,,0.44,,,,,,
,,2001 - 2002,,,0.53,,,,,,
,,2002 - 2003,,,0.35,,,,,,
,,2003 - 2004,,,0.54,,,,,,
,,2004 - 2005,,,0.56,,,,,,
,,2006 - 2007,,,0.61,,,,,,
,,2007 - 2008,,,0.49,,,,,,
,,2008 - 2009,,,0.62,,,,,,
,,2009 - 2010,,,0.61,,,,,,
,,2010 - 2011,,,0.59,,,,,,
,,2011 - 2012,,,0.53,,,,,,
,,2012 - 2013,,,0.59,,,,,,
,,2013 - 2014,,,0.58,,,,,,
,,2015 - 2016,,,1.4,,,,,,
,,2016 - 2017,,,1.4,,,,,,
,,2017 - 2018,,,1.4,,,,,,
,,2018 - 2019,,,1.4,,,,,,
,,2019 - 2020,,,1.4,,,,,,
,Morena,2001 - 2002,7.0,4.0,0.57,,,,,,
,,2002 - 2003,7.0,2.0,0.29,,,,,,
,,2003 - 2004,1.0,0.01,0.01,,,,,,
,,2018 - 2019,3.0,3.02,1.01,,,,,,
,,2019 - 2020,10.0,10.3,1.03,,,,,,
,Narsinghpur,2000 - 2001,583.0,316.0,0.54,,,,,,
,,2001 - 2002,785.0,426.0,0.54,,,,,,
,,2002 - 2003,812.0,405.0,0.5,,,,,,
,,2003 - 2004,,533.0,0.53,,,,,,
,,2004 - 2005,,549.0,0.53,,,,,,
,,2006 - 2007,884.0,467.0,0.53,,,,,,
,,2007 - 2008,884.0,447.0,0.51,,,,,,
,,2008 - 2009,973.0,492.0,0.51,,,,,,
,,2009 - 2010,828.0,419.0,0.51,,,,,,
,,2010 - 2011,690.0,299.0,0.43,,,,,,
,,2011 - 2012,481.0,233.0,0.48,,,,,,
,,2012 - 2013,640.0,278.0,0.43,,,,,,
,,2013 - 2014,627.0,303.0,0.48,,,,,,
,,2015 - 2016,995.58,,1.45,,,,,,
