state,district,year,banana_whole_year_area_hectare,banana_whole_year_production_tonne,banana_whole_year_yield_tonne_per_hectare,banana_kharif_area_hectare,banana_kharif_production_tonne,banana_kharif_yield_tonne_per_hectare,banana_rabi_area_hectare,banana_rabi_production_tonne,banana_rabi_yield_tonne_per_hectare,banana_summer_area_hectare,banana_summer_production_tonne,banana_summer_yield_tonne_per_hectare
,,2007 - 2008,1.0,49.0,49.0,,,,,,,,,
,,2010 - 2011,2.0,93.0,46.5,,,,,,,,,
,,2011 - 2012,14.0,,0.0,,,,,,,,,
,,2012 - 2013,20.0,543.0,27.15,,,,,,,,,
,,2013 - 2014,14.0,86.0,6.14,,,,,,,,,
,,2015 - 2016,180.0,,60.17,,,,,,,,,
,,2016 - 2017,190.0,,60.18,,,,,,,,,
,,2017 - 2018,190.0,,60.18,,,,,,,,,
,,2018 - 2019,10.0,602.0,60.2,,,,,,,,,
,,2019 - 2020,10.0,605.0,60.5,,,,,,,,,
,Hoshangabad,2001 - 2002,29.0,799.0,27.55,,,,,,,,,
,,2002 - 2003,25.0,646.0,25.84,,,,,,,,,
,,2003 - 2004,16.0,430.0,26.88,,,,,,,,,
,,2006 - 2007,10.0,248.0,24.8,,,,,,,,,
,,2007 - 2008,5.0,297.0,59.4,,,,,,,,,
,,2008 - 2009,3.0,143.0,47.67,,,,,,,,,
,,2009 - 2010,2.0,118.0,59.0,,,,,,,,,
,,2010 - 2011,2.0,84.0,42.0,,,,,,,,,
,,2015 - 2016,35.0,,40.0,,,,,,,,,
,,2016 - 2017,34.0,,40.0,,,,,,,,,
,,2017 - 2018,84.0,,40.0,,,,,,,,,
,,2018 - 2019,88.0,,39.62,,,,,,,,,
,,2019 - 2020,88.0,,39.62,,,,,,,,,
,Jabalpur,2013 - 2014,7.0,,0.0,,,,,,,,,
,,2015 - 2016,150.4,,41.41,,,,,,,,,
,,2016 - 2017,168.0,,41.41,,,,,,,,,
,,2017 - 2018,184.8,,41.42,,,,,,,,,
,,2018 - 2019,188.04,,36.0,,,,,,,,,
,,2019 - 2020,194.04,,41.42,,,,,,,,,
,Jhabua,2001 - 2002,1.0,40.0,40.0,,,,,,,,,
,,2002 - 2003,1.0,0.0,0.0,,,,,,,,,
,,2006 - 2007,1.0,,0.0,,,,,,,,,
,Katni,2012 - 2013,18.0,,0.0,,,,,,,,,
,,2013 - 2014,19.0,,138.42,,,,,,,,,
,,2015 - 2016,58.0,,34.48,,,,,,,,,
,,2016 - 2017,417.0,,62.01,,,,,,,,,
,,2017 - 2018,417.75,,62.01,,,,,,,,,
,,2018 - 2019,418.0,,62.01,,,,,,,,,
,,2019 - 2020,418.2,,62.01,,,,,,,,,
,Khandwa,2001 - 2002,,,32.02,,,,,,,,,
,,2002 - 2003,,,22.67,,,,,,,,,
,,2003 - 2004,49.0,911.0,18.59,,,,,,,,,
,,2006 - 2007,31.0,680.0,21.94,,,,,,,,,
,,2007 - 2008,20.0,,64.1,,,,,,,,,
,,2008 - 2009,7.0,248.0,35.43,,,,,,,,,
,,2009 - 2010,20.0,,63.8,,,,,,,,,
,,2010 - 2011,17.0,752.0,44.24,,,,,,,,,
,,2011 - 2012,25.0,74.0,2.96,,,,,,,,,
,,2012 - 2013,34.0,,33.82,,,,,,,,,
,,2013 - 2014,36.0,,40.53,,,,,,,,,
,,2015 - 2016,484.0,,80.0,,,,,,,,,
,,2016 - 2017,,,81.03,,,,,,,,,
,,2017 - 2018,913.0,,86.08,,,,,,,,,
,,2018 - 2019,822.0,,85.6,,,,,,,,,
,,2019 - 2020,500.0,,85.6,,,,,,,,,
,Khargone,2001 - 2002,781.0,,27.5,,,,,,,,,
,,2002 - 2003,705.0,,21.02,,,,,,,,,
,,2003 - 2004,733.0,,24.7,,,,,,,,,
,,2006 - 2007,370.0,,21.25,,,,,,,,,
,,2007 - 2008,175.0,,49.87,,,,,,,,,
,,2008 - 2009,153.0,,38.19,,,,,,,,,
,,2009 - 2010,139.0,,45.78,,,,,,,,,
,,2010 - 2011,150.0,,37.19,,,,,,,,,
,,2011 - 2012,214.0,,26.69,,,,,,,,,
,,2012 - 2013,276.0,,24.71,,,,,,,,,
,,2013 - 2014,337.0,,19.5,,,,,,,,,
,,2015 - 2016,910.0,,65.0,,,,,,,,,
,,2016 - 2017,,,74.0,,,,,,,,,
,,2017 - 2018,627.0,,74.0,,,,,,,,,
,,2018 - 2019,650.0,,74.0,,,,,,,,,
,,2019 - 2020,653.0,,74.0,,,,,,,,,
,Mandla,2012 - 2013,1.0,,0.0,,,,,,,,,
,,2015 - 2016,26.8,,44.56,,,,,,,,,
,,2016 - 2017,28.2,,43.39,,,,,,,,,
,,2017 - 2018,31.5,,43.45,,,,,,,,,
,,2018 - 2019,35.35,,43.71,,,,,,,,,
,,2019 - 2020,35.35,,45.94,,,,,,,,,
,Mandsaur,2003 - 2004,1.0,0.0,0.0,,,,,,,,,
,Narsinghpur,2006 - 2007,1.0,,0.0,,,,,,,,,
,,2015 - 2016,1.0,25.0,25.0,,,,,,,,,
,,2016 - 2017,11.0,275.0,25.0,,,,,,,,,
,,2017 - 2018,11.0,275.0,25.0,,,,,,,,,
,,2018 - 2019,25.0,,40.04,,,,,,,,,
,,2019 - 2020,30.0,,43.87,,,,,,,,,
,Panna,2001 - 2002,11.0,355.0,32.27,,,,,,,,,
,,2002 - 2003,3.0,0.0,0.0,,,,,,,,,
,,2003 - 2004,2.0,51.0,25.5,,,,,,,,,
,,2008 - 2009,1.0,24.0,24.0,,,,,,,,,
,,2015 - 2016,7.1,12.2,1.72,,,,,,,,,
,,2016 - 2017,47.1,94.0,2.0,,,,,,,,,
,,2017 - 2018,59.0,,50.0,,,,,,,,,
,,2018 - 2019,60.0,,50.0,,,,,,,,,
,,2019 - 2020,65.0,,50.0,,,,,,,,,
,Raisen,2002 - 2003,4.0,0.0,0.0,,,,,,,,,
,,2003 - 2004,13.0,0.0,0.0,,,,,,,,,
,Rajgarh,2002 - 2003,1.0,0.0,0.0,,,,,,,,,
,Ratlam,2001 - 2002,6.0,255.0,42.5,,,,,,,,,
,,2002 - 2003,7.0,271.0,38.71,,,,,,,,,
,,2006 - 2007,6.0,281.0,46.83,,,,,,,,,
,,2007 - 2008,1.0,45.0,45.0,,,,,,,,,
,,2008 - 2009,1.0,36.0,36.0,,,,,,,,,
,,2009 - 2010,5.0,225.0,45.0,,,,,,,,,
,,2011 - 2012,5.0,,0.0,,,,,,,,,
,,2012 - 2013,2.0,,0.0,,,,,,,,,
,Rewa,2001 - 2002,2.0,58.0,29.0,,,,,,,,,
,,2002 - 2003,1.0,28.0,28.0,,,,,,,,,
,,2003 - 2004,2.0,27.0,13.5,,,,,,,,,
,,2006 - 2007,1.0,30.0,30.0,,,,,,,,,
,,2009 - 2010,1.0,28.0,28.0,,,,,,,,,
,,2010 - 2011,1.0,19.0,19.0,,,,,,,,,
,,2011 - 2012,2.0,19.0,9.5,,,,,,,,,
,,2012 - 2013,2.0,24.0,12.0,,,,,,,,,
,,2013 - 2014,1.0,,0.0,,,,,,,,,
,,2015 - 2016,18.8,605.6,32.21,,,,,,,,,
,,2016 - 2017,83.0,,35.3,,,,,,,,,
,,2017 - 2018,83.0,,35.3,,,,,,,,,
,,2018 - 2019,85.0,,35.3,,,,,,,,,
,,2019 - 2020,98.0,,35.3,,,,,,,,,
,Sagar,2001 - 2002,3.0,40.0,13.33,,,,,,,,,
,,2002 - 2003,4.0,77.0,19.25,,,,,,,,,
,,2003 - 2004,3.0,112.0,37.33,,,,,,,,,
,,2006 - 2007,4.0,,0.0,,,,,,,,,
,,2007 - 2008,1.0,33.0,33.0,,,,,,,,,
,,2008 - 2009,1.0,26.0,26.0,,,,,,,,,
,,2011 - 2012,4.0,85.0,21.25,,,,,,,,,
,,2012 - 2013,2.0,44.0,22.0,,,,,,,,,
,,2013 - 2014,2.0,115.0,57.5,,,,,,,,,
,Satna,2001 - 2002,2.0,22.0,11.0,,,,,,,,,
,,2002 - 2003,2.0,50.0,25.0,,,,,,,,,
,Sehore,2001 - 2002,3.0,118.0,39.33,,,,,,,,,
,Seoni,2010 - 2011,1.0,46.0,46.0,,,,,,,,,
,,2011 - 2012,1.0,53.0,53.0,,,,,,,,,
,,2012 - 2013,3.0,,0.0,,,,,,,,,
,,2013 - 2014,3.0,,0.0,,,,,,,,,
,,2015 - 2016,4.0,212.0,53.0,,,,,,,,,
,,2016 - 2017,4.0,217.2,54.3,,,,,,,,,
,,2017 - 2018,4.0,216.0,54.0,,,,,,,,,
,,2018 - 2019,4.0,218.0,54.5,,,,,,,,,
,,2019 - 2020,5.0,272.0,54.4,,,,,,,,,
,Shahdol,2001 - 2002,6.0,81.0,13.5,,,,,,,,,
,,2002 - 2003,6.0,43.0,7.17,,,,,,,,,
,,2003 - 2004,4.0,42.0,10.5,,,,,,,,,
,,2006 - 2007,4.0,20.0,5.0,,,,,,,,,
,,2007 - 2008,3.0,57.0,19.0,,,,,,,,,
,,2010 - 2011,3.0,31.0,10.33,,,,,,,,,
,,2011 - 2012,3.0,42.0,14.0,,,,,,,,,
,,2012 - 2013,3.0,,0.0,,,,,,,,,
,,2013 - 2014,2.0,,0.0,,,,,,,,,
,,2015 - 2016,32.0,,108.44,,,,,,,,,
,,2016 - 2017,34.0,,49.55,,,,,,,,,
,,2017 - 2018,20.0,,50.01,,,,,,,,,
,,2018 - 2019,10.0,492.1,49.21,,,,,,,,,
,,2019 - 2020,10.0,492.1,49.21,,,,,,,,,
,Shivpuri,2003 - 2004,37.0,0.0,0.0,,,,,,,,,
,Sidhi,2001 - 2002,14.0,21.0,1.5,,,,,,,,,
,,2002 - 2003,9.0,166.0,18.44,,,,,,,,,
,,2003 - 2004,10.0,122.0,12.2,,,,,,,,,
,,2006 - 2007,6.0,112.0,18.67,,,,,,,,,
,,2007 - 2008,3.0,66.0,22.0,,,,,,,,,
,,2008 - 2009,1.0,18.0,18.0,,,,,,,,,
,,2009 - 2010,1.0,22.0,22.0,,,,,,,,,
,,2011 - 2012,2.0,14.0,7.0,,,,,,,,,
,,2012 - 2013,3.0,,0.0,,,,,,,,,
,,2013 - 2014,2.0,160.0,80.0,,,,,,,,,
,,2015 - 2016,105.0,,55.0,,,,,,,,,
,,2016 - 2017,107.0,,32.7,,,,,,,,,
,,2017 - 2018,108.0,,33.0,,,,,,,,,
,,2018 - 2019,110.0,,33.0,,,,,,,,,
,,2019 - 2020,228.0,,33.0,,,,,,,,,
,Singrauli,2008 - 2009,4.0,71.0,17.75,,,,,,,,,
,,2009 - 2010,2.0,61.0,30.5,,,,,,,,,
,,2010 - 2011,3.0,53.0,17.67,,,,,,,,,
,,2011 - 2012,4.0,47.0,11.75,,,,,,,,,
,,2012 - 2013,4.0,29.0,7.25,,,,,,,,,
,,2013 - 2014,2.0,58.0,29.0,,,,,,,,,
,,2015 - 2016,5.0,150.0,30.0,,,,,,,,,
,,2016 - 2017,6.0,180.9,30.15,,,,,,,,,
,,2017 - 2018,15.0,457.5,30.5,,,,,,,,,
,,2018 - 2019,50.0,,31.0,,,,,,,,,
,,2019 - 2020,82.0,,32.0,,,,,,,,,
,Tikamgarh,2001 - 2002,12.0,76.0,6.33,,,,,,,,,
,,2002 - 2003,7.0,252.0,36.0,,,,,,,,,
,,2003 - 2004,8.0,232.0,29.0,,,,,,,,,
,,2006 - 2007,6.0,188.0,31.33,,,,,,,,,
,,2007 - 2008,3.0,91.0,30.33,,,,,,,,,
,,2008 - 2009,2.0,54.0,27.0,,,,,,,,,
,,2010 - 2011,1.0,17.0,17.0,,,,,,,,,
,,2011 - 2012,2.0,,0.0,,,,,,,,,
,,2012 - 2013,2.0,28.0,14.0,,,,,,,,,
,Ujjain,2002 - 2003,2.0,0.0,0.0,,,,,,,,,
,,2010 - 2011,2.0,100.0,50.0,,,,,,,,,
,,2012 - 2013,1.0,47.0,47.0,,,,,,,,,
,Umaria,2001 - 2002,1.0,22.0,22.0,,,,,,,,,
,,2011 - 2012,1.0,,0.0,,,,,,,,,
,,2015 - 2016,19.0,109.2,5.75,,,,,,,,,
,,2016 - 2017,25.0,875.0,35.0,,,,,,,,,
,,2017 - 2018,25.0,875.0,35.0,,,,,,,,,
,,2018 - 2019,27.0,945.0,35.0,,,,,,,,,
,,2019 - 2020,30.0,,35.0,,,,,,,,,
Maharashtra,Ahilyanagar,2003 - 2004,100.0,,111.7,,,,,,,,,
,Akola,2003 - 2004,500.0,,52.5,,,,,,,,,
,Amravati,2003 - 2004,400.0,,69.98,,,,,,,,,
,Beed,2003 - 2004,200.0,,65.65,,,,,,,,,
,Bhandara,2003 - 2004,100.0,,24.2,,,,,,,,,
,Buldhana,2003 - 2004,,,48.28,,,,,,,,,
,Chhatrapati Sambhajinagar,2003 - 2004,200.0,,42.95,,,,,,,,,
,Dharashiv,2003 - 2004,100.0,,75.1,,,,,,,,,
,Dhule,2003 - 2004,400.0,,97.4,,,,,,,,,
,Hingoli,2003 - 2004,,,53.05,,,,,,,,,
,Jalgaon,2003 - 2004,,,66.6,,,,,,,,,
,Jalna,2003 - 2004,300.0,,59.87,,,,,,,,,
,Kolhapur,2003 - 2004,500.0,,47.06,,,,,,,,,
,Latur,2003 - 2004,100.0,,64.3,,,,,,,,,
,Nanded,2003 - 2004,,,53.3,,,,,,,,,
,Nandurbar,2003 - 2004,,,70.38,,,,,,,,,
,Parbhani,2003 - 2004,,,53.15,,,,,,,,,
,Pune,2003 - 2004,900.0,,84.83,,,,,,,,,
,Raigad,2003 - 2004,100.0,,17.3,,,,,,,,,
,Ratnagiri,2003 - 2004,100.0,,23.3,,,,,,,,,
,Sangli,2003 - 2004,100.0,,50.6,,,,,,,,,
,Satara,2003 - 2004,300.0,,42.93,,,,,,,,,
,Sindhudurg,2003 - 2004,100.0,,25.2,,,,,,,,,
,Solapur,2003 - 2004,200.0,,39.55,,,,,,,,,
,Thane,2003 - 2004,500.0,,23.34,,,,,,,,,
,Wardha,2003 - 2004,100.0,,55.7,,,,,,,,,
,Washim,2003 - 2004,100.0,,137.4,,,,,,,,,
,Yavatmal,2003 - 2004,100.0,,56.3,,,,,,,,,
Manipur,Bishnupur,2000 - 2001,210.0,,12.9,,,,,,,,,
,,2001 - 2002,510.0,,12.86,,,,,,,,,
,,2002 - 2003,181.0,,7.18,,,,,,,,,
,,2003 - 2004,191.0,,7.85,,,,,,,,,
,,2004 - 2005,10.0,130.0,13.0,,,,,,,,,
,,2005 - 2006,10.0,130.0,13.0,,,,,,,,,
,,2006 - 2007,30.0,390.0,13.0,,,,,,,,,
,,2007 - 2008,130.0,,12.85,,,,,,,,,
,,2008 - 2009,555.0,,12.89,,,,,,,,,
,,2009 - 2010,650.0,,9.92,,,,,,,,,
,,2010 - 2011,655.0,,12.96,,,,,,,,,
,,2011 - 2012,660.0,,12.96,,,,,,,,,
,,2012 - 2013,693.0,,13.4,,,,,,,,,
,,2013 - 2014,710.0,,13.5,,,,,,,,,
,,2014 - 2015,761.0,,13.7,,,,,,,,,
,,2015 - 2016,799.0,,13.61,,,,,,,,,
,,2016 - 2017,820.0,,13.6,,,,,,,,,
,,2017 - 2018,827.0,,13.63,,,,,,,,,
,,2018 - 2019,858.0,,13.59,,,,,,,,,
,,2019 - 2020,876.0,,133.6,,,,,,,,,
,Chandel,2000 - 2001,750.0,,12.87,,,,,,,,,
,,2001 - 2002,830.0,,12.86,,,,,,,,,
,,2002 - 2003,286.0,,7.34,,,,,,,,,
,,2003 - 2004,296.0,,7.85,,,,,,,,,
,,2004 - 2005,,,12.86,,,,,,,,,
,,2005 - 2006,,,12.87,,,,,,,,,
,,2006 - 2007,130.0,,12.85,,,,,,,390.0,,12.87
,,2007 - 2008,110.0,,12.82,,,,,,,,,
,,2008 - 2009,570.0,,12.89,,,,,,,,,
,,2009 - 2010,665.0,,13.0,,,,,,,,,
,,2010 - 2011,672.0,,12.93,,,,,,,,,
,,2011 - 2012,684.0,,13.7,,,,,,,,,
,,2012 - 2013,719.0,,13.4,,,,,,,,,
,,2013 - 2014,733.0,,13.5,,,,,,,,,
,,2014 - 2015,670.0,,13.7,,,,,,,,,
,,2015 - 2016,950.0,,13.0,,,,,,,,,
,,2016 - 2017,,,12.83,,,,,,,,,
,,2017 - 2018,960.0,,13.0,,,,,,,,,
,,2018 - 2019,960.0,,13.0,,,,,,,,,
,,2019 - 2020,235.0,,10.85,,,,,,,,,
,Churachandpur,2000 - 2001,470.0,,12.87,,,,,,,,,
,,2001 - 2002,340.0,,12.85,,,,,,,,,
,,2002 - 2003,,,0.69,,,,,,,,,
,,2003 - 2004,280.0,,7.85,,,,,,,,,
,,2004 - 2005,290.0,,12.86,,,,,,,,,
,,2005 - 2006,60.0,770.0,12.83,,,,,,,,,
,,2006 - 2007,370.0,,12.86,,,,,,,20.0,260.0,13.0
,,2007 - 2008,,,12.86,,,,,,,,,
,,2008 - 2009,715.0,,12.98,,,,,,,,,
,,2009 - 2010,810.0,,13.0,,,,,,,,,
,,2010 - 2011,817.0,,13.01,,,,,,,,,
,,2011 - 2012,863.0,,13.0,,,,,,,,,
,,2012 - 2013,906.0,,13.4,,,,,,,,,
,,2013 - 2014,924.0,,13.5,,,,,,,,,
,,2014 - 2015,950.0,,12.0,,,,,,,,,
,,2015 - 2016,,,13.17,,,,,,,,,
,,2016 - 2017,800.0,,13.08,,,,,,,,,
,,2017 - 2018,810.0,,12.99,,,,,,,,,
,,2018 - 2019,814.0,,12.96,,,,,,,,,
,,2019 - 2020,962.0,,13.06,,,,,,,,,
,Imphal east,2000 - 2001,500.0,,12.86,,,,,,,,,
,,2001 - 2002,550.0,,12.85,,,,,,,,,
,,2002 - 2003,54.0,378.0,7.0,,,,,,,,,
,,2003 - 2004,83.0,652.0,7.86,,,,,,,,,
,,2004 - 2005,80.0,,12.88,,,,,,,,,
,,2005 - 2006,130.0,,12.85,,,,,,,,,
,,2006 - 2007,410.0,,12.85,,,,,,,40.0,520.0,13.0
,,2007 - 2008,580.0,,12.86,,,,,,,,,
,,2008 - 2009,585.0,,12.89,,,,,,,,,
,,2009 - 2010,680.0,,8.59,,,,,,,,,
,,2010 - 2011,682.0,,12.98,,,,,,,,,
,,2011 - 2012,690.0,,13.0,,,,,,,,,
,,2012 - 2013,724.0,,13.4,,,,,,,,,
,,2013 - 2014,734.0,,13.5,,,,,,,,,
,,2014 - 2015,779.0,,13.99,,,,,,,,,
,,2015 - 2016,396.0,,14.0,,,,,,,,,
,,2016 - 2017,401.0,,14.01,,,,,,,,,
,,2017 - 2018,401.0,,13.47,,,,,,,,,
,,2018 - 2019,412.0,,13.7,,,,,,,,,
,,2019 - 2020,470.0,,133.48,,,,,,,,,
,Imphal west,2000 - 2001,30.0,380.0,12.67,,,,,,,,,
,,2001 - 2002,30.0,390.0,13.0,,,,,,,,,
,,2002 - 2003,190.0,,7.0,,,,,,,,,
,,2003 - 2004,202.0,,7.85,,,,,,,,,
,,2004 - 2005,40.0,510.0,12.75,,,,,,,,,
,,2005 - 2006,160.0,,12.88,,,,,,,,,
,,2006 - 2007,60.0,770.0,12.83,,,,,,,20.0,260.0,13.0
,,2007 - 2008,10.0,130.0,13.0,,,,,,,,,
,,2008 - 2009,580.0,,12.89,,,,,,,,,
,,2009 - 2010,675.0,,8.56,,,,,,,,,
,,2010 - 2011,684.0,,12.9,,,,,,,,,
,,2011 - 2012,720.0,,12.99,,,,,,,,,
,,2012 - 2013,756.0,,13.4,,,,,,,,,
,,2013 - 2014,775.0,,13.5,,,,,,,,,
,,2014 - 2015,825.0,,13.6,,,,,,,,,
,,2015 - 2016,832.0,,13.5,,,,,,,,,
,,2016 - 2017,834.0,,13.5,,,,,,,,,
,,2017 - 2018,836.0,,13.49,,,,,,,,,
,,2018 - 2019,871.0,,14.23,,,,,,,,,
,,2019 - 2020,746.0,,14.2,,,,,,,,,
,Senapati,2000 - 2001,770.0,,12.86,,,,,,,,,
,,2001 - 2002,740.0,,12.86,,,,,,,,,
,,2002 - 2003,221.0,,8.24,,,,,,,,,
,,2003 - 2004,229.0,,7.85,,,,,,,,,
,,2004 - 2005,200.0,,12.85,,,,,,,,,
,,2005 - 2006,520.0,,12.87,,,,,,,,,
,,2006 - 2007,760.0,,12.87,,,,,,,130.0,,12.85
,,2007 - 2008,540.0,,12.85,,,,,,,,,
,,2008 - 2009,415.0,,12.89,,,,,,,,,
,,2009 - 2010,510.0,,13.0,,,,,,,,,
,,2010 - 2011,521.0,,12.88,,,,,,,,,
,,2011 - 2012,624.0,,12.96,,,,,,,,,
,,2012 - 2013,654.0,,13.4,,,,,,,,,
,,2013 - 2014,660.0,,13.5,,,,,,,,,
,,2014 - 2015,717.0,,13.6,,,,,,,,,
,,2015 - 2016,580.0,,13.58,,,,,,,,,
,,2016 - 2017,595.0,,13.64,,,,,,,,,
,,2017 - 2018,607.0,,13.64,,,,,,,,,
,,2018 - 2019,607.0,,13.64,,,,,,,,,
,,2019 - 2020,820.0,,13.1,,,,,,,,,
,Tamenglong,2000 - 2001,370.0,,12.84,,,,,,,,,
,,2001 - 2002,480.0,,12.85,,,,,,,,,
,,2002 - 2003,467.0,,8.78,,,,,,,,,
,,2003 - 2004,477.0,,7.85,,,,,,,,,
,,2004 - 2005,,,12.86,,,,,,,,,
,,2005 - 2006,990.0,,12.86,,,,,,,,,
,,2006 - 2007,,,12.86,,,,,,,260.0,,12.85
,,2007 - 2008,,,12.86,,,,,,,,,
,,2008 - 2009,801.0,,12.89,,,,,,,,,
,,2009 - 2010,896.0,,7.42,,,,,,,,,
,,2010 - 2011,900.0,,13.0,,,,,,,,,
,,2011 - 2012,950.0,,12.9,,,,,,,,,
,,2012 - 2013,997.0,,13.4,,,,,,,,,
,,2013 - 2014,,,13.5,,,,,,,,,
,,2014 - 2015,,,13.6,,,,,,,,,
,,2015 - 2016,872.0,,13.46,,,,,,,,,
,,2016 - 2017,871.0,,13.46,,,,,,,,,
,,2017 - 2018,876.0,,13.43,,,,,,,,,
,,2018 - 2019,900.0,,15.91,,,,,,,,,
,,2019 - 2020,810.0,,19.1,,,,,,,,,
,Thoubal,2002 - 2003,131.0,,8.32,,,,,,,,,
,,2003 - 2004,138.0,,7.85,,,,,,,,,
,,2004 - 2005,20.0,260.0,13.0,,,,,,,,,
,,2007 - 2008,10.0,130.0,13.0,,,,,,,,,
,,2008 - 2009,450.0,,12.89,,,,,,,,,
,,2009 - 2010,545.0,,9.33,,,,,,,,,
,,2010 - 2011,550.0,,12.95,,,,,,,,,
,,2011 - 2012,598.0,,12.99,,,,,,,,,
,,2012 - 2013,618.0,,13.4,,,,,,,,,
,,2013 - 2014,627.0,,13.5,,,,,,,,,
,,2014 - 2015,685.0,,13.8,,,,,,,,,
,,2015 - 2016,724.0,,14.29,,,,,,,,,
,,2016 - 2017,923.0,,14.29,,,,,,,,,
,,2017 - 2018,927.0,,14.25,,,,,,,,,
,,2018 - 2019,927.0,,14.25,,,,,,,,,
,,2019 - 2020,927.0,,14.25,,,,,,,,,
,Ukhrul,2000 - 2001,320.0,,12.84,,,,,,,,,
,,2001 - 2002,940.0,,12.86,,,,,,,,,
,,2002 - 2003,50.0,393.0,7.86,,,,,,,,,
,,2003 - 2004,54.0,424.0,7.85,,,,,,,,,
,,2004 - 2005,680.0,,12.87,,,,,,,,,
,,2005 - 2006,,,12.86,,,,,,,,,
,,2006 - 2007,980.0,,12.86,,,,,,,370.0,,12.84
,,2007 - 2008,,,12.86,,,,,,,,,
,,2008 - 2009,320.0,,12.98,,,,,,,,,
,,2009 - 2010,410.0,,13.0,,,,,,,,,
,,2010 - 2011,418.0,,12.93,,,,,,,,,
,,2011 - 2012,490.0,,12.99,,,,,,,,,
,,2012 - 2013,514.0,,13.4,,,,,,,,,
,,2013 - 2014,520.0,,13.5,,,,,,,,,
,,2014 - 2015,561.0,,13.7,,,,,,,,,
,,2015 - 2016,682.0,,13.61,,,,,,,,,
,,2016 - 2017,650.0,,13.55,,,,,,,,,
,,2017 - 2018,688.0,,13.46,,,,,,,,,
,,2018 - 2019,235.0,,12.12,,,,,,,,,
,,2019 - 2020,613.0,,13.7,,,,,,,,,
Meghalaya,East garo hills,2000 - 2001,,,12.55,,,,,,,,,
,,2002 - 2003,,,13.58,,,,,,,,,
,,2003 - 2004,,,13.2,,,,,,,,,
,,2004 - 2005,,,10.23,,,,,,,,,
,,2005 - 2006,,,11.66,,,,,,,,,
,,2006 - 2007,,,,,,11.66,,,,,,
,,2008 - 2009,,,11.69,,,,,,,,,
,,2009 - 2010,,,,,,13.58,,,,,,
,,2010 - 2011,,,,,,14.32,,,,,,
,,2011 - 2012,,,,,,14.34,,,,,,
,,2012 - 2013,,,,,,14.58,,,,,,
,,2013 - 2014,,,,869.0,,17.59,,,,,,
,,2014 - 2015,,,,872.0,,17.63,,,,,,
,,2015 - 2016,,,,876.0,,17.79,,,,,,
,,2016 - 2017,,,,892.0,,18.29,,,,,,
,,2017 - 2018,,,,895.0,,18.29,,,,,,
,,2018 - 2019,,,,896.0,,18.29,,,,,,
,,2019 - 2020,,,,897.0,,18.29,,,,,,
,,2020 - 2021,,,,898.0,,18.3,,,,,,
,,2021 - 2022,,,,899.0,,18.3,,,,,,
,,2022 - 2023,,,,905.0,,18.3,,,,,,
,East jaintia hills,2000 - 2001,315.0,,4.67,,,,,,,,,
,,2002 - 2003,325.0,,4.35,,,,,,,,,
,,2003 - 2004,347.0,,4.07,,,,,,,,,
,,2004 - 2005,376.0,,3.84,,,,,,,,,
,,2005 - 2006,381.0,,3.8,,,,,,,,,
,,2006 - 2007,,,,382.0,,3.81,,,,,,
,,2008 - 2009,384.0,,4.34,,,,,,,,,
,,2009 - 2010,,,,403.0,,4.46,,,,,,
,,2010 - 2011,,,,349.0,,3.2,,,,,,
,,2011 - 2012,,,,350.0,,3.22,,,,,,
,,2012 - 2013,,,,352.0,,3.26,,,,,,
,,2013 - 2014,,,,102.0,335.0,3.28,,,,,,
,,2014 - 2015,,,,103.0,339.0,3.29,,,,,,
,,2015 - 2016,,,,104.0,346.0,3.33,,,,,,
,,2016 - 2017,,,,106.0,361.0,3.41,,,,,,
,,2017 - 2018,,,,108.0,368.0,3.41,,,,,,
,,2018 - 2019,,,,108.0,368.0,3.41,,,,,,
,,2019 - 2020,,,,109.0,372.0,3.41,,,,,,
,,2020 - 2021,,,,110.0,376.0,3.42,,,,,,
,,2021 - 2022,,,,111.0,380.0,3.42,,,,,,
,,2022 - 2023,,,,111.0,380.0,3.42,,,,,,
,East khasi hills,2000 - 2001,672.0,,13.57,,,,,,,,,
,,2002 - 2003,645.0,,13.14,,,,,,,,,
,,2003 - 2004,703.0,,12.41,,,,,,,,,
,,2004 - 2005,740.0,,11.78,,,,,,,,,
,,2005 - 2006,766.0,,11.37,,,,,,,,,
,,2006 - 2007,,,,765.0,,11.19,,,,,,
,,2008 - 2009,754.0,,10.64,,,,,,,,,
,,2009 - 2010,,,,760.0,,10.51,,,,,,
,,2010 - 2011,,,,752.0,,10.13,,,,,,
,,2011 - 2012,,,,760.0,,10.36,,,,,,
,,2012 - 2013,,,,764.0,,10.54,,,,,,
,,2013 - 2014,,,,769.0,,10.71,,,,,,
,,2014 - 2015,,,,773.0,,10.8,,,,,,
,,2015 - 2016,,,,776.0,,10.99,,,,,,
,,2016 - 2017,,,,791.0,,11.41,,,,,,
,,2017 - 2018,,,,795.0,,11.41,,,,,,
,,2018 - 2019,,,,796.0,,11.41,,,,,,
,,2019 - 2020,,,,797.0,,11.42,,,,,,
,,2020 - 2021,,,,798.0,,11.42,,,,,,
,,2021 - 2022,,,,799.0,,11.42,,,,,,
,,2022 - 2023,,,,810.0,,11.42,,,,,,
,North garo hills,2013 - 2014,,,,,,12.37,,,,,,
,,2014 - 2015,,,,,,12.41,,,,,,
